SITE,DATE,DATE,Watershed,WEIR-REP,Sample ID
Hubbard Brook ,9/3/2019,9/3/2019,HBK,HBK-04,ST190919
Hubbard Brook ,9/9/2019,9/9/2019,HBK,HBK-04,ST190959
Hubbard Brook ,9/16/2019,9/16/2019,HBK,HBK-04,ST191999
Hubbard Brook ,9/23/2019,9/23/2019,HBK,HBK-04,ST191039
Hubbard Brook ,9/30/2019,9/30/2019,HBK,HBK-04,ST191079
Hubbard Brook ,10/7/2019,10/7/2019,HBK,HBK-04,ST191119
Hubbard Brook ,10/15/2019,10/15/2019,HBK,HBK-04,ST191159
Hubbard Brook ,10/21/2019,10/21/2019,HBK,HBK-04,ST191199
Hubbard Brook ,10/28/2019,10/28/2019,HBK,HBK-04,ST191239
Hubbard Brook ,11/4/2019,11/4/2019,HBK,HBK-04,ST191279
Hubbard Brook ,11/11/2019,11/11/2019,HBK,HBK-04,ST191319
Hubbard Brook ,11/18/2019,11/18/2019,HBK,HBK-04,ST191359
Hubbard Brook ,11/25/2019,11/25/2019,HBK,HBK-04,ST191399
Hubbard Brook ,12/3/2019,12/3/2019,HBK,HBK-04,ST191439
Hubbard Brook ,3/25/2019,3/25/2019,HBK,HBK-05,ST190040
Hubbard Brook ,4/1/2019,4/1/2019,HBK,HBK-05,ST190080
Hubbard Brook ,4/8/2019,4/8/2019,HBK,HBK-05,
Hubbard Brook ,4/15/2019,4/15/2019,HBK,HBK-05,ST190120
Hubbard Brook ,4/22/2019,4/22/2019,HBK,HBK-05,ST190160
Hubbard Brook ,4/29/2019,4/29/2019,HBK,HBK-05,ST190200
Hubbard Brook ,5/6/2019,5/6/2019,HBK,HBK-05,ST190240
Hubbard Brook ,5/13/2019,5/13/2019,HBK,HBK-05,ST190280
Hubbard Brook ,5/20/2019,5/20/2019,HBK,HBK-05,ST190320
Hubbard Brook ,5/28/2019,5/28/2019,HBK,HBK-05,ST190360
Hubbard Brook ,6/2/2019,6/2/2019,HBK,HBK-05,ST190400
Hubbard Brook ,6/10/2019,6/10/2019,HBK,HBK-05,ST190440
Hubbard Brook ,6/17/2019,6/17/2019,HBK,HBK-05,ST190480
Hubbard Brook ,6/24/2019,6/24/2019,HBK,HBK-05,ST190520
Hubbard Brook ,7/1/2019,7/1/2019,HBK,HBK-05,ST190560
Hubbard Brook ,7/8/2019,7/8/2019,HBK,HBK-05,ST190600
Hubbard Brook ,7/15/2019,7/15/2019,HBK,HBK-05,ST190640
Hubbard Brook ,7/22/2019,7/22/2019,HBK,HBK-05,ST190680
Hubbard Brook ,7/29/2019,7/29/2019,HBK,HBK-05,ST190720
Hubbard Brook ,8/5/2019,8/5/2019,HBK,HBK-05,ST190760
Hubbard Brook ,8/12/2019,8/12/2019,HBK,HBK-05,ST190800
Hubbard Brook ,8/19/2019,8/19/2019,HBK,HBK-05,ST190840
Hubbard Brook ,8/26/2019,8/26/2019,HBK,HBK-05,ST190880
Hubbard Brook ,9/3/2019,9/3/2019,HBK,HBK-05,ST190920
Hubbard Brook ,9/9/2019,9/9/2019,HBK,HBK-05,ST190960
Hubbard Brook ,9/16/2019,9/16/2019,HBK,HBK-05,ST191000
Hubbard Brook ,9/23/2019,9/23/2019,HBK,HBK-05,ST191040
Hubbard Brook ,9/30/2019,9/30/2019,HBK,HBK-05,ST191080
Hubbard Brook ,10/7/2019,10/7/2019,HBK,HBK-05,ST191120
Hubbard Brook ,10/15/2019,10/15/2019,HBK,HBK-05,ST191160
Hubbard Brook ,10/21/2019,10/21/2019,HBK,HBK-05,ST191200
Hubbard Brook ,10/28/2019,10/28/2019,HBK,HBK-05,ST191240
Hubbard Brook ,11/4/2019,11/4/2019,HBK,HBK-05,ST191280
Hubbard Brook ,11/11/2019,11/11/2019,HBK,HBK-05,ST191320
Hubbard Brook ,11/18/2019,11/18/2019,HBK,HBK-05,ST191360
Hubbard Brook ,11/25/2019,11/25/2019,HBK,HBK-05,ST191400
Hubbard Brook ,12/3/2019,12/3/2019,HBK,HBK-05,ST191440
Hubbard Brook ,3/25/2019,3/25/2019,1,W1-01,ST190001
Hubbard Brook ,4/1/2019,4/1/2019,1,W1-01,ST190041
Hubbard Brook ,4/8/2019,4/8/2019,1,W1-01,
Hubbard Brook ,4/15/2019,4/15/2019,1,W1-01,ST190081
Hubbard Brook ,4/22/2019,4/22/2019,1,W1-01,ST190121
Hubbard Brook ,4/29/2019,4/29/2019,1,W1-01,ST190161
Hubbard Brook ,5/6/2019,5/6/2019,1,W1-01,ST190201
Hubbard Brook ,5/13/2019,5/13/2019,1,W1-01,ST190241
Hubbard Brook ,5/20/2019,5/20/2019,1,W1-01,ST190281
Hubbard Brook ,5/28/2019,5/28/2019,1,W1-01,ST190321
Hubbard Brook ,6/2/2019,6/2/2019,1,W1-01,ST190361
Hubbard Brook ,6/10/2019,6/10/2019,1,W1-01,ST190401
Hubbard Brook ,6/17/2019,6/17/2019,1,W1-01,ST190441
Hubbard Brook ,6/24/2019,6/24/2019,1,W1-01,ST190481
Hubbard Brook ,7/1/2019,7/1/2019,1,W1-01,ST190521
Hubbard Brook ,7/8/2019,7/8/2019,1,W1-01,ST190561
Hubbard Brook ,7/15/2019,7/15/2019,1,W1-01,ST190601
Hubbard Brook ,7/22/2019,7/22/2019,1,W1-01,ST190641
Hubbard Brook ,7/29/2019,7/29/2019,1,W1-01,ST190681
Hubbard Brook ,8/5/2019,8/5/2019,1,W1-01,ST190721
Hubbard Brook ,8/12/2019,8/12/2019,1,W1-01,ST190761
Hubbard Brook ,8/19/2019,8/19/2019,1,W1-01,ST190801
Hubbard Brook ,8/26/2019,8/26/2019,1,W1-01,ST190841
Hubbard Brook ,9/3/2019,9/3/2019,1,W1-01,ST190881
Hubbard Brook ,9/9/2019,9/9/2019,1,W1-01,ST190921
Hubbard Brook ,9/16/2019,9/16/2019,1,W1-01,ST191961
Hubbard Brook ,9/23/2019,9/23/2019,1,W1-01,ST191001
Hubbard Brook ,9/30/2019,9/30/2019,1,W1-01,ST191041
Hubbard Brook ,10/7/2019,10/7/2019,1,W1-01,ST191081
Hubbard Brook ,10/15/2019,10/15/2019,1,W1-01,ST191121
Hubbard Brook ,10/21/2019,10/21/2019,1,W1-01,ST191161
Hubbard Brook ,10/28/2019,10/28/2019,1,W1-01,ST191201
Hubbard Brook ,11/4/2019,11/4/2019,1,W1-01,ST191241
Hubbard Brook ,11/11/2019,11/11/2019,1,W1-01,ST191281
Hubbard Brook ,11/18/2019,11/18/2019,1,W1-01,ST191321
Hubbard Brook ,11/25/2019,11/25/2019,1,W1-01,ST191361
Hubbard Brook ,12/3/2019,12/3/2019,1,W1-01,ST191401
Hubbard Brook ,3/25/2019,3/25/2019,1,W1-02,ST190002
Hubbard Brook ,4/1/2019,4/1/2019,1,W1-02,ST190042
Hubbard Brook ,4/8/2019,4/8/2019,1,W1-02,
Hubbard Brook ,4/15/2019,4/15/2019,1,W1-02,ST190082
Hubbard Brook ,4/22/2019,4/22/2019,1,W1-02,ST190122
Hubbard Brook ,4/29/2019,4/29/2019,1,W1-02,ST190162
Hubbard Brook ,5/6/2019,5/6/2019,1,W1-02,ST190202
Hubbard Brook ,5/13/2019,5/13/2019,1,W1-02,ST190242
Hubbard Brook ,5/20/2019,5/20/2019,1,W1-02,ST190282
Hubbard Brook ,5/28/2019,5/28/2019,1,W1-02,ST190322
Hubbard Brook ,6/2/2019,6/2/2019,1,W1-02,ST190362
Hubbard Brook ,6/10/2019,6/10/2019,1,W1-02,ST190402
Hubbard Brook ,6/17/2019,6/17/2019,1,W1-02,ST190442
Hubbard Brook ,6/24/2019,6/24/2019,1,W1-02,ST190482
Hubbard Brook ,7/1/2019,7/1/2019,1,W1-02,ST190522
Hubbard Brook ,7/8/2019,7/8/2019,1,W1-02,ST190562
Hubbard Brook ,7/15/2019,7/15/2019,1,W1-02,ST190602
Hubbard Brook ,7/22/2019,7/22/2019,1,W1-02,ST190642
Hubbard Brook ,7/29/2019,7/29/2019,1,W1-02,ST190682
Hubbard Brook ,8/5/2019,8/5/2019,1,W1-02,ST190722
Hubbard Brook ,8/12/2019,8/12/2019,1,W1-02,ST190762
Hubbard Brook ,8/19/2019,8/19/2019,1,W1-02,ST190802
Hubbard Brook ,8/26/2019,8/26/2019,1,W1-02,ST190842
Hubbard Brook ,9/3/2019,9/3/2019,1,W1-02,ST190882
Hubbard Brook ,9/9/2019,9/9/2019,1,W1-02,ST190922
Hubbard Brook ,9/16/2019,9/16/2019,1,W1-02,ST191962
Hubbard Brook ,9/23/2019,9/23/2019,1,W1-02,ST191002
Hubbard Brook ,9/30/2019,9/30/2019,1,W1-02,ST191042
Hubbard Brook ,10/7/2019,10/7/2019,1,W1-02,ST191082
Hubbard Brook ,10/15/2019,10/15/2019,1,W1-02,ST191122
Hubbard Brook ,10/21/2019,10/21/2019,1,W1-02,ST191162
Hubbard Brook ,10/28/2019,10/28/2019,1,W1-02,ST191202
Hubbard Brook ,11/4/2019,11/4/2019,1,W1-02,ST191242
Hubbard Brook ,11/11/2019,11/11/2019,1,W1-02,ST191282
Hubbard Brook ,11/18/2019,11/18/2019,1,W1-02,ST191322
Hubbard Brook ,11/25/2019,11/25/2019,1,W1-02,ST191362
Hubbard Brook ,12/3/2019,12/3/2019,1,W1-02,ST191402
Hubbard Brook ,3/25/2019,3/25/2019,1,W1-03,ST190003
Hubbard Brook ,4/1/2019,4/1/2019,1,W1-03,ST190043
Hubbard Brook ,4/8/2019,4/8/2019,1,W1-03,
Hubbard Brook ,4/15/2019,4/15/2019,1,W1-03,ST190083
Hubbard Brook ,4/22/2019,4/22/2019,1,W1-03,ST190123
Hubbard Brook ,4/29/2019,4/29/2019,1,W1-03,ST190163
Hubbard Brook ,5/6/2019,5/6/2019,1,W1-03,ST190203
Hubbard Brook ,5/13/2019,5/13/2019,1,W1-03,ST190243
Hubbard Brook ,5/20/2019,5/20/2019,1,W1-03,ST190283
Hubbard Brook ,5/28/2019,5/28/2019,1,W1-03,ST190323
Hubbard Brook ,6/2/2019,6/2/2019,1,W1-03,ST190363
Hubbard Brook ,6/10/2019,6/10/2019,1,W1-03,ST190403
Hubbard Brook ,6/17/2019,6/17/2019,1,W1-03,ST190443
Hubbard Brook ,6/24/2019,6/24/2019,1,W1-03,ST190483
Hubbard Brook ,7/1/2019,7/1/2019,1,W1-03,ST190523
Hubbard Brook ,7/8/2019,7/8/2019,1,W1-03,ST190563
Hubbard Brook ,7/15/2019,7/15/2019,1,W1-03,ST190603
Hubbard Brook ,7/22/2019,7/22/2019,1,W1-03,ST190643
Hubbard Brook ,7/29/2019,7/29/2019,1,W1-03,ST190683
Hubbard Brook ,8/5/2019,8/5/2019,1,W1-03,ST190723
Hubbard Brook ,8/12/2019,8/12/2019,1,W1-03,ST190763
Hubbard Brook ,8/19/2019,8/19/2019,1,W1-03,ST190803
Hubbard Brook ,8/26/2019,8/26/2019,1,W1-03,ST190843
Hubbard Brook ,9/3/2019,9/3/2019,1,W1-03,ST190883
Hubbard Brook ,9/9/2019,9/9/2019,1,W1-03,ST190923
Hubbard Brook ,9/16/2019,9/16/2019,1,W1-03,ST191963
Hubbard Brook ,9/23/2019,9/23/2019,1,W1-03,ST191003
Hubbard Brook ,9/30/2019,9/30/2019,1,W1-03,ST191043
Hubbard Brook ,10/7/2019,10/7/2019,1,W1-03,ST191083
Hubbard Brook ,10/15/2019,10/15/2019,1,W1-03,ST191123
Hubbard Brook ,10/21/2019,10/21/2019,1,W1-03,ST191163
Hubbard Brook ,10/28/2019,10/28/2019,1,W1-03,ST191203
Hubbard Brook ,11/4/2019,11/4/2019,1,W1-03,ST191243
Hubbard Brook ,11/11/2019,11/11/2019,1,W1-03,ST191283
Hubbard Brook ,11/18/2019,11/18/2019,1,W1-03,ST191323
Hubbard Brook ,11/25/2019,11/25/2019,1,W1-03,ST191363
Hubbard Brook ,12/3/2019,12/3/2019,1,W1-03,ST191403
Hubbard Brook ,3/25/2019,3/25/2019,1,W1-04,ST190004
Hubbard Brook ,4/1/2019,4/1/2019,1,W1-04,ST190044
Hubbard Brook ,4/8/2019,4/8/2019,1,W1-04,
Hubbard Brook ,4/15/2019,4/15/2019,1,W1-04,ST190084
Hubbard Brook ,4/22/2019,4/22/2019,1,W1-04,ST190124
Hubbard Brook ,4/29/2019,4/29/2019,1,W1-04,ST190164
Hubbard Brook ,5/6/2019,5/6/2019,1,W1-04,ST190204
Hubbard Brook ,5/13/2019,5/13/2019,1,W1-04,ST190244
Hubbard Brook ,5/20/2019,5/20/2019,1,W1-04,ST190284
Hubbard Brook ,5/28/2019,5/28/2019,1,W1-04,ST190324
Hubbard Brook ,6/2/2019,6/2/2019,1,W1-04,ST190364
Hubbard Brook ,6/10/2019,6/10/2019,1,W1-04,ST190404
Hubbard Brook ,6/17/2019,6/17/2019,1,W1-04,ST190444
Hubbard Brook ,6/24/2019,6/24/2019,1,W1-04,ST190484
Hubbard Brook ,7/1/2019,7/1/2019,1,W1-04,ST190524
Hubbard Brook ,7/8/2019,7/8/2019,1,W1-04,ST190564
Hubbard Brook ,7/15/2019,7/15/2019,1,W1-04,ST190604
Hubbard Brook ,7/22/2019,7/22/2019,1,W1-04,ST190644
Hubbard Brook ,7/29/2019,7/29/2019,1,W1-04,ST190684
Hubbard Brook ,8/5/2019,8/5/2019,1,W1-04,ST190724
Hubbard Brook ,8/12/2019,8/12/2019,1,W1-04,ST190764
Hubbard Brook ,8/19/2019,8/19/2019,1,W1-04,ST190804
Hubbard Brook ,8/26/2019,8/26/2019,1,W1-04,ST190844
Hubbard Brook ,9/3/2019,9/3/2019,1,W1-04,ST190884
Hubbard Brook ,9/9/2019,9/9/2019,1,W1-04,ST190924
Hubbard Brook ,9/16/2019,9/16/2019,1,W1-04,ST191964
Hubbard Brook ,9/23/2019,9/23/2019,1,W1-04,ST191004
Hubbard Brook ,9/30/2019,9/30/2019,1,W1-04,ST191044
Hubbard Brook ,10/7/2019,10/7/2019,1,W1-04,ST191084
Hubbard Brook ,10/15/2019,10/15/2019,1,W1-04,ST191124
Hubbard Brook ,10/21/2019,10/21/2019,1,W1-04,ST191164
Hubbard Brook ,10/28/2019,10/28/2019,1,W1-04,ST191204
Hubbard Brook ,11/4/2019,11/4/2019,1,W1-04,ST191244
Hubbard Brook ,11/11/2019,11/11/2019,1,W1-04,ST191284
Hubbard Brook ,11/18/2019,11/18/2019,1,W1-04,ST191324
Hubbard Brook ,11/25/2019,11/25/2019,1,W1-04,ST191364
Hubbard Brook ,12/3/2019,12/3/2019,1,W1-04,ST191404
Hubbard Brook ,3/25/2019,3/25/2019,1,W1-05,ST190005
Hubbard Brook ,4/1/2019,4/1/2019,1,W1-05,ST190045
Hubbard Brook ,4/8/2019,4/8/2019,1,W1-05,
Hubbard Brook ,4/15/2019,4/15/2019,1,W1-05,ST190085
Hubbard Brook ,4/22/2019,4/22/2019,1,W1-05,ST190125
Hubbard Brook ,4/29/2019,4/29/2019,1,W1-05,ST190165
Hubbard Brook ,5/6/2019,5/6/2019,1,W1-05,ST190205
Hubbard Brook ,5/13/2019,5/13/2019,1,W1-05,ST190245
Hubbard Brook ,5/20/2019,5/20/2019,1,W1-05,ST190285
Hubbard Brook ,5/28/2019,5/28/2019,1,W1-05,ST190325
Hubbard Brook ,6/2/2019,6/2/2019,1,W1-05,ST190365
Hubbard Brook ,6/10/2019,6/10/2019,1,W1-05,ST190405
Hubbard Brook ,6/17/2019,6/17/2019,1,W1-05,ST190445
Hubbard Brook ,6/24/2019,6/24/2019,1,W1-05,ST190485
Hubbard Brook ,7/1/2019,7/1/2019,1,W1-05,ST190525
Hubbard Brook ,7/8/2019,7/8/2019,1,W1-05,ST190565
Hubbard Brook ,7/15/2019,7/15/2019,1,W1-05,ST190605
Hubbard Brook ,7/22/2019,7/22/2019,1,W1-05,ST190645
Hubbard Brook ,7/29/2019,7/29/2019,1,W1-05,ST190685
Hubbard Brook ,8/5/2019,8/5/2019,1,W1-05,ST190725
Hubbard Brook ,8/12/2019,8/12/2019,1,W1-05,ST190765
Hubbard Brook ,8/19/2019,8/19/2019,1,W1-05,ST190805
Hubbard Brook ,8/26/2019,8/26/2019,1,W1-05,ST190845
Hubbard Brook ,9/3/2019,9/3/2019,1,W1-05,ST190885
Hubbard Brook ,9/9/2019,9/9/2019,1,W1-05,ST190925
Hubbard Brook ,9/16/2019,9/16/2019,1,W1-05,ST191965
Hubbard Brook ,9/23/2019,9/23/2019,1,W1-05,ST191005
Hubbard Brook ,9/30/2019,9/30/2019,1,W1-05,ST191045
Hubbard Brook ,10/7/2019,10/7/2019,1,W1-05,ST191085
Hubbard Brook ,10/15/2019,10/15/2019,1,W1-05,ST191125
Hubbard Brook ,10/21/2019,10/21/2019,1,W1-05,ST191165
Hubbard Brook ,10/28/2019,10/28/2019,1,W1-05,ST191205
Hubbard Brook ,11/4/2019,11/4/2019,1,W1-05,ST191245
Hubbard Brook ,11/11/2019,11/11/2019,1,W1-05,ST191285
Hubbard Brook ,11/18/2019,11/18/2019,1,W1-05,ST191325
Hubbard Brook ,11/25/2019,11/25/2019,1,W1-05,ST191365
Hubbard Brook ,12/3/2019,12/3/2019,1,W1-05,ST191405
Hubbard Brook ,3/25/2019,3/25/2019,1,W2-01,ST190006
Hubbard Brook ,4/1/2019,4/1/2019,1,W2-01,ST190046
