Sample ID,Side,Date,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,,Other
10,,6/25/2018,9,6/25/2018,10,5,,,,,19,,,6
1,,7/2/2018,9,7/2/2018,11,,1,,,2,18,,,10
2,,7/2/2018,9,7/2/2018,25,,,,,2,10,,,12
3,,7/2/2018,9,7/2/2018,5,1,,,,3,14,,,12
4,,7/2/2018,9,7/2/2018,2,,1,,,2,5,,,6
5,,7/2/2018,9,7/2/2018,4,2,,,,,15,,,25
6,,7/2/2018,9,7/2/2018,10,2,,,,,18,,,33
7,,7/2/2018,9,7/2/2018,6,,4,,,2,25,,,19
8,,7/2/2018,9,7/2/2018,4,,,,,,22,,,6
9,,7/2/2018,9,7/2/2018,4,,,,,1,20,,,53
10,,7/2/2018,9,7/2/2018,2,4,,,1,2,11,,,2
1,,7/9/2018,9,7/9/2018,2,2,,,,2,17,,,21
2,,7/9/2018,9,7/9/2018,8,2,,,1,3,30,,,33
3,,7/9/2018,9,7/9/2018,3,1,,,,3,30,,,33
4,,7/9/2018,9,7/9/2018,3,,,,,,11,,,28
5,,7/9/2018,9,7/9/2018,1,7,1,,,,21,,,24
6,,7/9/2018,9,7/9/2018,1,2,,,4,,31,,,95
7,,7/9/2018,9,7/9/2018,2,,2,,,,42,,,45
8,,7/9/2018,9,7/9/2018,,3,1,,,3,20,,,29
9,,7/9/2018,9,7/9/2018,,2,,,3,4,37,,,57
10,,7/9/2018,9,7/9/2018,3,6,1,,,3,16,,,
1,,7/16/2018,9,7/16/2018,,3,,,,3,22,,,14
2,,7/16/2018,9,7/16/2018,,2,2,,1,,46,,,20
3,,7/16/2018,9,7/16/2018,3,3,,,,1,29,,,17
4,,7/16/2018,9,7/16/2018,,,,,3,1,23,,,6
5,,7/16/2018,9,7/16/2018,2,1,1,,,1,16,,,34
6,,7/16/2018,9,7/16/2018,1,,2,,,,11,,,7
7,,7/16/2018,9,7/16/2018,2,9,2,,,,21,,,16
8,,7/16/2018,9,7/16/2018,3,5,,,2,,36,,,40
9,,7/16/2018,9,7/16/2018,2,11,,,2,3,46,,,39
10,,7/16/2018,9,7/16/2018,1,5,,,1,1,16,,,14
1,,7/23/2018,9,7/23/2018,5,,,,,,12,,,15
2,,7/23/2018,9,7/23/2018,5,3,,,2,,9,,,12
3,,7/23/2018,9,7/23/2018,5,3,2,,,1,14,,,3
4,,7/23/2018,9,7/23/2018,3,1,1,,1,,20,,,
5,,7/23/2018,9,7/23/2018,8,1,1,,2,,14,,,12
6,,7/23/2018,9,7/23/2018,2,1,2,,4,1,13,,,5
7,,7/23/2018,9,7/23/2018,3,8,,,,,17,,,7
8,,7/23/2018,9,7/23/2018,3,1,,,5,,17,,,10
9,,7/23/2018,9,7/23/2018,2,5,,,14,2,6,,,14
10,,7/23/2018,9,7/23/2018,1,4,1,,6,,19,3,,5
1,,7/30/2018,9,7/30/2018,2,,,,6,,9,,,
2,,7/30/2018,9,7/30/2018,,,,,4,1,13,1,,
3,,7/30/2018,9,7/30/2018,,1,1,,2,,9,,,3
4,,7/30/2018,9,7/30/2018,,2,,,,,6,,,
5,,7/30/2018,9,7/30/2018,1,,1,,11,,5,,,
6,,7/30/2018,9,7/30/2018,3,,,,12,1,10,,,3
7,,7/30/2018,9,7/30/2018,1,,,,,,3,,,1
8,,7/30/2018,9,7/30/2018,1,,,,1,,2,,,1
9,,7/30/2018,9,7/30/2018,1,,,,,2,5,,,1
10,,7/30/2018,9,7/30/2018,,,,,2,,3,,,4
1,,8/6/2018,9,8/6/2018,4,,,,1,,3,,,2
2,,8/6/2018,9,8/6/2018,8,,,,1,1,5,,,2
3,,8/6/2018,9,8/6/2018,8,,,,5,,7,,,
4,,8/6/2018,9,8/6/2018,5,,1,,4,,3,,,
5,,8/6/2018,9,8/6/2018,9,,,,1,,8,,,2
6,,8/6/2018,9,8/6/2018,,,,,1,,1,,,
7,,8/6/2018,9,8/6/2018,3,,,,8,,9,,,2
8,,8/6/2018,9,8/6/2018,1,2,,,8,1,8,,,
9,,8/6/2018,9,8/6/2018,1,,,,4,,2,,,1
10,,8/6/2018,9,8/6/2018,3,1,,,9,2,6,,,
1,,8/13/2018,9,8/13/2018,2,,,,1,,2,,,
2,,8/13/2018,9,8/13/2018,4,,,,,1,11,,,1
3,,8/13/2018,9,8/13/2018,1,,,,2,,8,,,
4,,8/13/2018,9,8/13/2018,7,,,,2,2,3,,,
5,,8/13/2018,9,8/13/2018,3,,,,1,,7,,,
6,,8/13/2018,9,8/13/2018,1,1,,,16,2,5,,,2
7,,8/13/2018,9,8/13/2018,3,,,,4,2,5,,,
8,,8/13/2018,9,8/13/2018,,,,,5,,2,,,
9,,8/13/2018,9,8/13/2018,4,,,,6,1,5,,,
10,,8/13/2018,9,8/13/2018,2,,,,5,1,10,,,
1,,8/20/2018,9,8/20/2018,1,,,,2,1,7,,,
2,,8/20/2018,9,8/20/2018,4,,,,13,1,15,,,2
3,,8/20/2018,9,8/20/2018,,1,1,,3,3,10,,,
4,,8/20/2018,9,8/20/2018,2,,,,4,1,15,,,
5,,8/20/2018,9,8/20/2018,1,3,,,1,,5,,,
6,,8/20/2018,9,8/20/2018,6,1,,,1,,13,,,
7,,8/20/2018,9,8/20/2018,2,,,,3,1,7,,,1
8,,8/20/2018,9,8/20/2018,,,,,,,9,,,2
9,,8/20/2018,9,8/20/2018,1,,,,1,,,,,
10,,8/20/2018,9,8/20/2018,3,,,,,1,5,,,
1,,8/27/2018,9,8/27/2018,3,1,2,,1,,2,,,1
2,,8/27/2018,9,8/27/2018,2,,,,1,,2,,,1
3,,8/27/2018,9,8/27/2018,2,1,1,,1,1,11,,,1
4,,8/27/2018,9,8/27/2018,1,,,,,,9,,,
5,,8/27/2018,9,8/27/2018,6,,1,,1,,4,,,
6,,8/27/2018,9,8/27/2018,5,,,,2,,5,,,2
7,,8/27/2018,9,8/27/2018,2,,,,2,1,10,,,
8,,8/27/2018,9,8/27/2018,7,1,,,2,,13,,,1
9,,8/27/2018,9,8/27/2018,2,1,1,,,,6,,,
10,,8/27/2018,9,8/27/2018,4,,,,6,,1,,,
1,,9/4/2018,9,9/4/2018,4,,,,1,,6,,,
2,,9/4/2018,9,9/4/2018,4,,,,3,,7,,,
3,,9/4/2018,9,9/4/2018,7,,,,,,7,,,
4,,9/4/2018,9,9/4/2018,,,,,1,,6,,,
5,,9/4/2018,9,9/4/2018,3,1,1,,,,6,,,
6,,9/4/2018,9,9/4/2018,4,,,,1,,3,,,
7,,9/4/2018,9,9/4/2018,2,,1,,5,,9,,,
8,,9/4/2018,9,9/4/2018,,,,,,,11,,,
9,,9/4/2018,9,9/4/2018,2,,,,1,,2,,,
10,,9/4/2018,9,9/4/2018,1,,,,,,4,,,4
1,,9/10/2018,9,9/10/2018,1,,1,,,,2,,,1
2,,9/10/2018,9,9/10/2018,5,,,,,,9,,,2
3,,9/10/2018,9,9/10/2018,4,,1,,1,,,,,3
4,,9/10/2018,9,9/10/2018,1,,,,,,4,,,
5,,9/10/2018,9,9/10/2018,4,,1,,3,,10,,,1
6,,9/10/2018,9,9/10/2018,3,,,,,,12,,,2
7,,9/10/2018,9,9/10/2018,1,,1,,1,,5,,,2
8,,9/10/2018,9,9/10/2018,2,,,,9,1,5,,,
9,,9/10/2018,9,9/10/2018,1,,,,4,,3,,,3
10,,9/10/2018,9,9/10/2018,2,,,,3,,1,,,
1,,9/17/2018,9,9/17/2018,5,2,1,,2,,10,,,
2,,9/17/2018,9,9/17/2018,2,,,,2,,6,,,
3,,9/17/2018,9,9/17/2018,,,,,,,1,,,
4,,9/17/2018,9,9/17/2018,,,,,,,5,,,1
5,,9/17/2018,9,9/17/2018,1,,2,,,,,,,1
6,,9/17/2018,9,9/17/2018,2,,,,,,4,,,3
7,,9/17/2018,9,9/17/2018,1,,,,,,3,,,3
8,,9/17/2018,9,9/17/2018,2,,,,,,1,,,1
9,,9/17/2018,9,9/17/2018,1,,,,,,2,,,2
10,,9/17/2018,9,9/17/2018,2,,,,3,,3,,,1
1,,9/24/2018,9,9/24/2018,2,,,,2,,8,,,1
2,,9/24/2018,9,9/24/2018,1,,,,,,7,,,
3,,9/24/2018,9,9/24/2018,2,,,,2,,7,,,1
4,,9/24/2018,9,9/24/2018,4,,,,3,1,2,,,
5,,9/24/2018,9,9/24/2018,3,,,,,,2,,,
6,,9/24/2018,9,9/24/2018,3,,,,,,1,,,1
7,,9/24/2018,9,9/24/2018,1,,,,,,2,,,
8,,9/24/2018,9,9/24/2018,,,,,,,2,,,
9,,9/24/2018,9,9/24/2018,,,,,,,5,,,
10,,9/24/2018,9,9/24/2018,,,,,,,6,,,
1,,10/1/2018,9,10/1/2018,4,,,,,,5,2,,
2,,10/1/2018,9,10/1/2018,4,2,,,,1,5,2,,
3,,10/1/2018,9,10/1/2018,,,,,,,3,1,,
4,,10/1/2018,9,10/1/2018,2,,,,,,3,1,,
5,,10/1/2018,9,10/1/2018,8,3,,,,,5,3,,
6,,10/1/2018,9,10/1/2018,4,2,,,,,6,,,2
7,,10/1/2018,9,10/1/2018,3,1,,,,,5,1,,
8,,10/1/2018,9,10/1/2018,,,,,,,5,2,,1
9,,10/1/2018,9,10/1/2018,2,,,,,,,,,
10,,10/1/2018,9,10/1/2018,2,,,,,,2,2,,
1,,10/8/2018,9,10/8/2018,,,,,,,12,,,
2,,10/8/2018,9,10/8/2018,1,,,,,,1,,,
3,,10/8/2018,9,10/8/2018,2,,,,,1,4,,,
4,,10/8/2018,9,10/8/2018,3,1,,,,,7,,,
5,,10/8/2018,9,10/8/2018,,,,,,,9,,,2
6,,10/8/2018,9,10/8/2018,1,,,,,,8,,,1
7,,10/8/2018,9,10/8/2018,,,,,,,7,,,
8,,10/8/2018,9,10/8/2018,4,,,,2,1,9,,,
9,,10/8/2018,9,10/8/2018,,,,,,,13,,,2
10,,10/8/2018,9,10/8/2018,2,,,,,,,,,
1,,10/15/2018,9,10/15/2018,4,,,,,,12,,,
2,,10/15/2018,9,10/15/2018,3,1,,,,,5,,,
3,,10/15/2018,9,10/15/2018,3,,,,,,4,,,
4,,10/15/2018,9,10/15/2018,4,,,,,,8,,,1
5,,10/15/2018,9,10/15/2018,5,,,,,,7,,,
6,,10/15/2018,9,10/15/2018,3,,,,1,,9,,,
7,,10/15/2018,9,10/15/2018,3,,,,,,17,,,
8,,10/15/2018,9,10/15/2018,1,,,,,,9,,,2
9,,10/15/2018,9,10/15/2018,,,,,,,4,,,
10,,10/15/2018,9,10/15/2018,2,,,,,,3,,,
1,,10/22/2018,9,10/22/2018,2,,,,,,7,,,
2,,10/22/2018,9,10/22/2018,3,,,,,,3,,,
3,,10/22/2018,9,10/22/2018,,,,,,,1,,,
4,,10/22/2018,9,10/22/2018,1,,,,,,2,,,
5,,10/22/2018,9,10/22/2018,2,,,,,,1,,,
6,,10/22/2018,9,10/22/2018,1,,,,,,4,,,
7,,10/22/2018,9,10/22/2018,3,,,,,,4,,,
8,,10/22/2018,9,10/22/2018,,,,,,,1,,,
9,,10/22/2018,9,10/22/2018,1,,,,,,3,,,
10,,10/22/2018,9,10/22/2018,2,,,,,,2,,,
1,,10/29/2018,9,10/29/2018,,,,,,,1,,,
2,,10/29/2018,9,10/29/2018,,,,,,,1,,,
3,,10/29/2018,9,10/29/2018,,,,,,,2,,,
4,,10/29/2018,9,10/29/2018,,,,,,,1,,,
5,,10/29/2018,9,10/29/2018,,,,,,,1,,,
6,,10/29/2018,9,10/29/2018,,,,,,,1,,,
7,,10/29/2018,9,10/29/2018,,,,,,,0,,,
8,,10/29/2018,9,10/29/2018,,,,,,,1,,,
9,,10/29/2018,9,10/29/2018,,,,,,,1,,,
10,,10/29/2018,9,10/29/2018,1,,,,,,1,,,
1,,11/5/2018,9,11/5/2018,2,,,,,,1,,,
2,,11/5/2018,9,11/5/2018,2,,,,,,2,,,
3,,11/5/2018,9,11/5/2018,,,,,,,1,,,
4,,11/5/2018,9,11/5/2018,2,,,,,,4,,,
5,,11/5/2018,9,11/5/2018,3,,,,,,2,,,
6,,11/5/2018,9,11/5/2018,,,,,,,1,,,1
7,,11/5/2018,9,11/5/2018,2,,,,,,,,,
8,,11/5/2018,9,11/5/2018,2,,,,,,2,,,
9,,11/5/2018,9,11/5/2018,,,,,,,1,,,
10,,11/5/2018,9,11/5/2018,,,,,,,2,,,
1,,11/12/2018,9,11/12/2018,2,,,,,,3,,,
2,,11/12/2018,9,11/12/2018,3,,,,,,4,,,
3,,11/12/2018,9,11/12/2018,,,,,,,2,,,1
4,,11/12/2018,9,11/12/2018,1,,,,,,,,,
5,,11/12/2018,9,11/12/2018,10,,,,,,,,,
6,,11/12/2018,9,11/12/2018,0,,,,,,,,,
7,,11/12/2018,9,11/12/2018,1,,,,,,2,,,
8,,11/12/2018,9,11/12/2018,3,,,,,,1,,,
9,,11/12/2018,9,11/12/2018,,,,,,,1,,,
10,,11/12/2018,9,11/12/2018,2,,,,,,3,,,2
ST190391,A,6/2/2019,9,6/2/2019,6,1,,,,,15,,,4
ST190391,B,6/2/2019,9,6/2/2019,4,,,,,,18,,,
ST190392,A,6/2/2019,9,6/2/2019,,,,,,,13,,,
ST190392,B,6/2/2019,9,6/2/2019,1,,,,,,26,,,2
ST190393,A,6/2/2019,9,6/2/2019,2,,1,,,,41,,,
ST190393,B,6/2/2019,9,6/2/2019,2,,,,,,51,,,
ST190394,A,6/2/2019,9,6/2/2019,8,,,,,,60,,,2
ST190394,B,6/2/2019,9,6/2/2019,3,,,,,,31,,,
ST190395,A,6/2/2019,9,6/2/2019,3,1,,,,,47,2,,1
ST190395,B,6/2/2019,9,6/2/2019,2,1,1,,,,59,,,1
ST190431,A,6/10/2019,9,6/10/2019,3,,,,,,78,,,2
ST190431,B,6/10/2019,9,6/10/2019,5,,,,,,38,,,2
ST190432,A,6/10/2019,9,6/10/2019,6,1,1,,,2,114,,,
ST190432,B,6/10/2019,9,6/10/2019,2,1,,,1,1,73,,,1
ST190433,A,6/10/2019,9,6/10/2019,3,16,,,1,9,106,,,3
ST190433,B,6/10/2019,9,6/10/2019,4,9,,,,4,62,,,3
ST190434,A,6/10/2019,9,6/10/2019,2,8,,,1,2,79,,,2
ST190434,B,6/10/2019,9,6/10/2019,2,6,,,,3,50,,,2
ST190435,A,6/10/2019,9,6/10/2019,4,,,,1,,68,,,4
ST190435,B,6/10/2019,9,6/10/2019,2,,,,,1,33,,,3
ST190471,A,6/17/2019,9,6/17/2019,3,5,,,1,,78,,,1
ST190471,B,6/17/2019,9,6/17/2019,5,,,,,1,35,,,3
ST190472,A,6/17/2019,9,6/17/2019,1,,,,,,33,,,2
ST190472,B,6/17/2019,9,6/17/2019,3,,,,,,19,,,3
ST190473,A,6/17/2019,9,6/17/2019,2,,,,1,,45,,,2
ST190473,B,6/17/2019,9,6/17/2019,2,1,,,,2,50,,,1
ST190474,A,6/17/2019,9,6/17/2019,,5,,,,4,50,,,2
ST190474,B,6/17/2019,9,6/17/2019,4,2,,,1,4,62,,,5
ST190475,A,6/17/2019,9,6/17/2019,3,,,,,,61,,,1
ST190475,B,6/17/2019,9,6/17/2019,4,3,,,,,30,,,4
ST190071,A,4/1/2019,9,4/1/2019,2,,,,,,,,,
ST190071,B,4/1/2019,9,4/1/2019,0,,,,,,,,,
ST190231,A,5/6/2019,9,5/6/2019,1,,,,,,,,,
ST190231,B,5/6/2019,9,5/6/2019,0,,,,,,,,,
ST190271,A,5/13/2019,9,5/13/2019,2,,,,,,4,,,
ST190271,B,5/13/2019,9,5/13/2019,0,,,,,,,,,
ST190311,A,5/20/2019,9,5/20/2019,5,,,,,,4,,,
ST190311,B,5/20/2019,9,5/20/2019,3,,,,,1,4,,,
ST190312,A,5/20/2019,9,5/20/2019,,,,,,1,5,,,1
ST190312,B,5/20/2019,9,5/20/2019,1,,,,,,2,,,
ST190313,A,5/20/2019,9,5/20/2019,4,,,,,,5,,,1
ST190313,B,5/20/2019,9,5/20/2019,1,,,,,,11,,,1
ST190314,A,5/20/2019,9,5/20/2019,8,,,,,1,2,,,1
ST190314,B,5/20/2019,9,5/20/2019,3,,,,,1,13,,,2
ST190315,A,5/20/2019,9,5/20/2019,6,,,,,1,8,,,
ST190315,B,5/20/2019,9,5/20/2019,11,,,,,1,2,,,9
ST190351,A,5/28/2019,9,5/28/2019,2,4,,,,,32,,,5
ST190351,B,5/28/2019,9,5/28/2019,,,,,,,10,,,2
ST190352,A,5/28/2019,9,5/28/2019,,1,1,,,7,81,,,
ST190352,B,5/28/2019,9,5/28/2019,1,,,,,1,22,,,1
ST190353,A,5/28/2019,9,5/28/2019,1,,,,,1,46,,,2
ST190353,B,5/28/2019,9,5/28/2019,,,,,,1,14,,,
ST190354,A,5/28/2019,9,5/28/2019,4,,,,,,82,,,2
ST190354,B,5/28/2019,9,5/28/2019,3,1,,,,1,42,,,1
ST190355,A,5/28/2019,9,5/28/2019,3,,,,,,79,,,1
ST190355,B,5/28/2019,9,5/28/2019,2,1,,,,4,73,,,
