Sample ID #,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other
5,7/23/2018,,6,7/23/2018,,3,,,,2,12,,,11
6,7/23/2018,,6,7/23/2018,,,,,,5,11,,,13
7,7/23/2018,,6,7/23/2018,2,,,,,5,10,,,7
8,7/23/2018,,6,7/23/2018,3,,,,,2,9,,,8
1,7/30/2018,,6,7/30/2018,,,,,,2,11,,,1
2,7/30/2018,,6,7/30/2018,2,,,,,,18,,,
3,7/30/2018,,6,7/30/2018,1,1,,,,4,12,,,1
4,7/30/2018,,6,7/30/2018,,,,,1,3,5,,,
5,7/30/2018,,6,7/30/2018,1,,,,,4,6,,,
6,7/30/2018,,6,7/30/2018,4,,,,,2,13,,,2
7,7/30/2018,,6,7/30/2018,1,,,,,3,13,,,
8,7/30/2018,,6,7/30/2018,2,1,,,1,1,11,,,3
9,7/30/2018,,6,7/30/2018,3,,,,,4,11,,,
10,7/30/2018,,6,7/30/2018,4,2,,,2,1,7,,,3
1,8/6/2018,,6,8/6/2018,,,,,,2,14,,,2
2,8/6/2018,,6,8/6/2018,1,,,,,4,4,,,2
3,8/6/2018,,6,8/6/2018,3,,2,,,4,7,,,2
4,8/6/2018,,6,8/6/2018,2,,,,,3,6,,,
5,8/6/2018,,6,8/6/2018,,1,,,2,1,7,,,2
6,8/6/2018,,6,8/6/2018,3,,,,,,7,,,
7,8/6/2018,,6,8/6/2018,,,,,,5,8,,,3
8,8/6/2018,,6,8/6/2018,,,,,,2,6,,,2
9,8/6/2018,,6,8/6/2018,,,,,,2,8,,,1
10,8/6/2018,,6,8/6/2018,,,,,,2,6,,,1
1,8/13/2018,,6,8/13/2018,2,,,,,4,8,,,3
2,8/13/2018,,6,8/13/2018,,,,,,3,4,,,3
3,8/13/2018,,6,8/13/2018,,,,,,4,8,,,3
4,8/13/2018,,6,8/13/2018,1,,,,,1,6,,,1
5,8/13/2018,,6,8/13/2018,,,,,,1,7,,,2
6,8/13/2018,,6,8/13/2018,,,,,,1,14,,,2
7,8/13/2018,,6,8/13/2018,1,,,,,1,2,,,
8,8/13/2018,,6,8/13/2018,,1,,,,,14,,,1
9,8/13/2018,,6,8/13/2018,,,,,1,,6,,,5
10,8/13/2018,,6,8/13/2018,,,,,,2,7,,,2
1,8/20/2018,,6,8/20/2018,,,1,,,6,3,,,
2,8/20/2018,,6,8/20/2018,,,,,1,1,14,,,4
3,8/20/2018,,6,8/20/2018,2,,,,,2,3,,,
4,8/20/2018,,6,8/20/2018,,,,,,1,6,,,
5,8/20/2018,,6,8/20/2018,1,,,,,3,6,,,3
6,8/20/2018,,6,8/20/2018,1,,,,,2,7,,,5
7,8/20/2018,,6,8/20/2018,1,,,,1,1,6,,,2
8,8/20/2018,,6,8/20/2018,,,,,,,7,,,2
9,8/20/2018,,6,8/20/2018,,,,,,,8,,,2
10,8/20/2018,,6,8/20/2018,,,,,,3,4,,,
1,8/27/2018,,6,8/27/2018,,1,,,,,3,,,1
2,8/27/2018,,6,8/27/2018,1,,,,2,,5,,,
3,8/27/2018,,6,8/27/2018,1,,,,,1,4,,,2
4,8/27/2018,,6,8/27/2018,1,,,,,,6,,,3
5,8/27/2018,,6,8/27/2018,1,,,,,1,2,,,
6,8/27/2018,,6,8/27/2018,,,,,,1,6,,,1
7,8/27/2018,,6,8/27/2018,,,,,,1,11,,,
8,8/27/2018,,6,8/27/2018,1,,,,,2,7,,,1
9,8/27/2018,,6,8/27/2018,,,,,,2,2,,,
10,8/27/2018,,6,8/27/2018,1,,,,,,7,,,
1,9/4/2018,,6,9/4/2018,1,,,,,,4,,,3
2,9/4/2018,,6,9/4/2018,,1,,,,1,3,,,2
3,9/4/2018,,6,9/4/2018,,,,,,3,7,,,1
4,9/4/2018,,6,9/4/2018,,,,,,,3,,,
5,9/4/2018,,6,9/4/2018,1,,,,,1,4,,,
6,9/4/2018,,6,9/4/2018,,,,,,1,7,,,
7,9/4/2018,,6,9/4/2018,,,,,,1,4,,,1
8,9/4/2018,,6,9/4/2018,,,,,,1,7,,,
9,9/4/2018,,6,9/4/2018,1,,,,,2,6,,,4
10,9/4/2018,,6,9/4/2018,,,,,,,4,,,
1,9/10/2018,,6,9/10/2018,,,,,,,6,,,1
2,9/10/2018,,6,9/10/2018,1,,,,,,5,,,1
3,9/10/2018,,6,9/10/2018,,,1,,,2,2,,,
4,9/10/2018,,6,9/10/2018,,,,,,1,2,,,
5,9/10/2018,,6,9/10/2018,,,,,,1,2,,,
6,9/10/2018,,6,9/10/2018,1,,,,1,,8,,,2
7,9/10/2018,,6,9/10/2018,1,,,,,,4,,,1
8,9/10/2018,,6,9/10/2018,1,,,,,2,6,,,2
9,9/10/2018,,6,9/10/2018,1,,,,,,5,,,1
10,9/10/2018,,6,9/10/2018,,,,,,1,5,,,1
1,9/17/2018,,6,9/17/2018,1,,,,,,3,,,
2,9/17/2018,,6,9/17/2018,1,,,,,,2,,,1
3,9/17/2018,,6,9/17/2018,1,,,,,,6,,,
4,9/17/2018,,6,9/17/2018,,,,,,,2,,,2
5,9/17/2018,,6,9/17/2018,,,,,,,3,,,
6,9/17/2018,,6,9/17/2018,,,,,,,6,,,
7,9/17/2018,,6,9/17/2018,,,,,,,5,,,2
8,9/17/2018,,6,9/17/2018,,,,,,1,7,,,3
9,9/17/2018,,6,9/17/2018,,,,,,,3,,,
10,9/17/2018,,6,9/17/2018,,,,,,2,9,,,1
1,9/24/2018,,6,9/24/2018,1,,,,,,9,,,3
2,9/24/2018,,6,9/24/2018,1,,,,,,7,,,1
3,9/24/2018,,6,9/24/2018,,,,,,,2,,,
4,9/24/2018,,6,9/24/2018,,,,,,,5,,,1
5,9/24/2018,,6,9/24/2018,1,,,,,,17,,,1
6,9/24/2018,,6,9/24/2018,,,,,,,15,,,1
7,9/24/2018,,6,9/24/2018,,,,,,,11,,,1
8,9/24/2018,,6,9/24/2018,,,,,,,4,,,
9,9/24/2018,,6,9/24/2018,2,,,,,,2,,,
10,9/24/2018,,6,9/24/2018,1,,,,,,4,,,
1,10/1/2018,,6,10/1/2018,4,,,,,,4,,,
2,10/1/2018,,6,10/1/2018,,,,,,,13,,,
3,10/1/2018,,6,10/1/2018,,,,,,1,4,,,1
4,10/1/2018,,6,10/1/2018,2,,,,,,7,,,
5,10/1/2018,,6,10/1/2018,,,,,,,6,,,
6,10/1/2018,,6,10/1/2018,4,,,,,,10,,,
7,10/1/2018,,6,10/1/2018,3,,,,,,6,,,1
8,10/1/2018,,6,10/1/2018,1,,,,,,13,,,
9,10/1/2018,,6,10/1/2018,1,,,,,,2,,,
10,10/1/2018,,6,10/1/2018,1,,,,,,7,,,
1,10/8/2018,,6,10/8/2018,1,,,,,,2,,,
2,10/8/2018,,6,10/8/2018,,,,,,,2,,,
3,10/8/2018,,6,10/8/2018,,,,,,,4,,,
4,10/8/2018,,6,10/8/2018,1,,,,,,3,,,
5,10/8/2018,,6,10/8/2018,2,,,,,,11,,,
6,10/8/2018,,6,10/8/2018,,,,,,,5,,,
7,10/8/2018,,6,10/8/2018,2,,,,,,6,,,
8,10/8/2018,,6,10/8/2018,2,,,,,,10,,,
9,10/8/2018,,6,10/8/2018,4,,,,,,13,,,
10,10/8/2018,,6,10/8/2018,9,,,,,,24,,,
1,10/15/2018,,6,10/15/2018,9,,,,,,1,,,
2,10/15/2018,,6,10/15/2018,2,,,,,,10,,,
3,10/15/2018,,6,10/15/2018,1,,,,,,4,,,2
4,10/15/2018,,6,10/15/2018,1,,,,,,7,,,
5,10/15/2018,,6,10/15/2018,2,,,,,,4,,,
6,10/15/2018,,6,10/15/2018,2,,,,,,6,,,
7,10/15/2018,,6,10/15/2018,,,,,,,4,,,
8,10/15/2018,,6,10/15/2018,1,,,,,,7,,,
9,10/15/2018,,6,10/15/2018,,,,,,,,,,
10,10/15/2018,,6,10/15/2018,,,,,,,,,,
1,10/22/2018,,6,10/22/2018,,,,,,,1,,,
2,10/22/2018,,6,10/22/2018,,,,,,,8,,,
3,10/22/2018,,6,10/22/2018,,,,,,,1,,,
4,10/22/2018,,6,10/22/2018,2,,,,,,2,,,
5,10/22/2018,,6,10/22/2018,1,,,,,,2,,,
6,10/22/2018,,6,10/22/2018,2,,,,,,3,,,1
7,10/22/2018,,6,10/22/2018,,,,,,,9,,,
8,10/22/2018,,6,10/22/2018,2,,,,,,2,,,1
9,10/22/2018,,6,10/22/2018,2,,,,,,5,,,
10,10/22/2018,,6,10/22/2018,1,,,,,,4,,,
1,10/29/2018,,6,10/29/2018,1,,,,,,4,,,
2,10/29/2018,,6,10/29/2018,,1,,,,,1,,,
3,10/29/2018,,6,10/29/2018,2,,,,,,,,,
4,10/29/2018,,6,10/29/2018,2,,,,,,,,,
5,10/29/2018,,6,10/29/2018,1,,,,,,,,,
6,10/29/2018,,6,10/29/2018,0,,,,,,,,,
7,10/29/2018,,6,10/29/2018,1,,,,,,2,,,
8,10/29/2018,,6,10/29/2018,0,,,,,,,,,
9,10/29/2018,,6,10/29/2018,1,,,,,,,,,
10,10/29/2018,,6,10/29/2018,1,,,,,,,,,
1,11/5/2018,,6,11/5/2018,5,,,,,,2,,,
2,11/5/2018,,6,11/5/2018,2,,,,,,1,,,
3,11/5/2018,,6,11/5/2018,0,,,,,,,,,
4,11/5/2018,,6,11/5/2018,3,,,,,,5,,,
5,11/5/2018,,6,11/5/2018,5,,,,,,4,,,
6,11/5/2018,,6,11/5/2018,1,,,,,,3,,,
7,11/5/2018,,6,11/5/2018,4,,,,,,2,,,
8,11/5/2018,,6,11/5/2018,4,,,,,,3,,,
9,11/5/2018,,6,11/5/2018,2,,,,,,2,,,
10,11/5/2018,,6,11/5/2018,1,,,,,,2,,,
1,11/12/2018,,6,11/12/2018,3,,,,,,2,,,
2,11/12/2018,,6,11/12/2018,4,,,,,,2,,,
3,11/12/2018,,6,11/12/2018,4,,,,,,5,,,
4,11/12/2018,,6,11/12/2018,3,,,,,,6,,,
5,11/12/2018,,6,11/12/2018,4,,,,,,3,,,
6,11/12/2018,,6,11/12/2018,4,,,,,,5,,,
7,11/12/2018,,6,11/12/2018,1,,,,,,4,,,
8,11/12/2018,,6,11/12/2018,4,,,,,,6,,,
9,11/12/2018,,6,11/12/2018,7,,,,,,4,,,
10,11/12/2018,,6,11/12/2018,10,,,,,,4,,,
ST190466,6/17/2019,A,6,6/17/2019,,,1,,,,16,4,,6
ST190466,6/17/2019,B,6,6/17/2019,3,,1,,2,3,20,5,,6
ST190467,6/17/2019,A,6,6/17/2019,1,2,,,2,,14,5,,
ST190467,6/17/2019,B,6,6/17/2019,2,4,,,,,11,1,,5
ST190468,6/17/2019,A,6,6/17/2019,1,2,,,,,20,6,,
ST190468,6/17/2019,B,6,6/17/2019,2,2,,,,,33,3,,3
ST190469,6/17/2019,A,6,6/17/2019,1,,,,,,32,7,,3
ST190469,6/17/2019,B,6,6/17/2019,,1,1,,,,24,10,,
ST190470,6/17/2019,A,6,6/17/2019,,1,,,,1,22,5,,2
ST190470,6/17/2019,B,6,6/17/2019,1,1,,,,,16,7,,1
ST190506,6/24/2019,A,6,6/24/2019,1,3,1,,,3,22,9,,
ST190506,6/24/2019,B,6,6/24/2019,,1,,,,2,19,10,,
ST190507,6/24/2019,A,6,6/24/2019,1,1,,,3,,30,3,,1
ST190507,6/24/2019,B,6,6/24/2019,,1,1,,2,2,22,8,,1
ST190508,6/24/2019,A,6,6/24/2019,2,,,,,3,29,3,,1
ST190508,6/24/2019,B,6,6/24/2019,10,3,,,,2,27,8,,1
ST190509,6/24/2019,A,6,6/24/2019,2,1,,,,3,29,1,,1
ST190509,6/24/2019,B,6,6/24/2019,2,1,,,,3,22,3,,1
ST190510,6/24/2019,A,6,6/24/2019,3,3,,,4,,11,5,, 
ST190510,6/24/2019,B,6,6/24/2019,3,4,,,,4,30,3,,1
ST190546,7/1/2019,A,6,7/1/2019,4,,3,,1,2,33,,,
ST190546,7/1/2019,B,6,7/1/2019,1,,,,,2,17,5,,1
ST190547,7/1/2019,A,6,7/1/2019,1,,,,1,1,45,4,,3
ST190547,7/1/2019,B,6,7/1/2019,,,,,1,1,24,3,,
ST190548,7/1/2019,A,6,7/1/2019,2,,,,1,4,20,2,,
ST190548,7/1/2019,B,6,7/1/2019,1,,,,,5,13,3,,1
ST190549,7/1/2019,A,6,7/1/2019,2,,,,,1,20,1,,3
ST190549,7/1/2019,B,6,7/1/2019,3,2,,,,2,52,3,,2
ST190550,7/1/2019,A,6,7/1/2019,3,4,,,,2,42,,,2
ST190550,7/1/2019,B,6,7/1/2019,1,1,,,,2,38,6,,3
ST190586,7/8/2019,A,6,7/8/2019,3,2,1,,1,2,19,1,,34
ST190586,7/8/2019,B,6,7/8/2019,2,,2,,1,,24,1,,32
ST190587,7/8/2019,A,6,7/8/2019,,,,,1,1,13,3,,9
ST190587,7/8/2019,B,6,7/8/2019,1,1,3,,,1,33,5,,21
ST190588,7/8/2019,A,6,7/8/2019,,,7,,2,2,17,5,,14
ST190588,7/8/2019,B,6,7/8/2019,3,,4,,1,3,15,3,,5
ST190589,7/8/2019,A,6,7/8/2019,,,1,,2,1,26,7,,8
ST190589,7/8/2019,B,6,7/8/2019,1,1,,,1,,10,2,,8
ST190590,7/8/2019,A,6,7/8/2019,1,1,,,1,1,11,2,,14
ST190590,7/8/2019,B,6,7/8/2019,,,,,,,21,3,,8
ST190626,7/15/2019,A,6,7/15/2019,1,,,,2,,9,7,3,15
ST190626,7/15/2019,B,6,7/15/2019,1,,,,4,1,6,2,1,9
ST190627,7/15/2019,A,6,7/15/2019,3,,4,,1,2,12,2,7,13
ST190627,7/15/2019,B,6,7/15/2019,4,1,1,,,1,10,2,3,6
ST190628,7/15/2019,A,6,7/15/2019,3,,,,,1,2,,,10
ST190628,7/15/2019,B,6,7/15/2019,,,,,,1,7,2,,10
ST190629,7/15/2019,A,6,7/15/2019,3,2,,,,,14,2,,11
ST190629,7/15/2019,B,6,7/15/2019,6,1,,,,1,12,2,,19
ST190630,7/15/2019,A,6,7/15/2019,3,2,,,,2,8,2,,54
ST190630,7/15/2019,B,6,7/15/2019,4,,,,2,3,9,3,,68
ST190666,7/22/2019,A,6,7/22/2019,1,1,,,,1,13,1,,16
ST190666,7/22/2019,B,6,7/22/2019,,,,,,1,7,,,16
ST190667,7/22/2019,A,6,7/22/2019,2,1,,,,,7,2,,12
ST190667,7/22/2019,B,6,7/22/2019,1,,,,1,,11,1,,2
ST190668,7/22/2019,A,6,7/22/2019,2,,,,,2,9,1,,5
ST190668,7/22/2019,B,6,7/22/2019,,,,,,1,12,,,3
ST190669,7/22/2019,A,6,7/22/2019,1,,2,,,2,12,1,,3
ST190669,7/22/2019,B,6,7/22/2019,,2,,,,1,10,,,
ST190670,7/22/2019,A,6,7/22/2019,1,,1,,1,2,15,,1,2
ST190670,7/22/2019,B,6,7/22/2019,1,,,,7,2,6,,,3
ST190706,7/29/2019,A,6,7/29/2019,6,4,,,,,4,,1,3
ST190706,7/29/2019,B,6,7/29/2019,3,,1,,,,12,1,,1
ST190707,7/29/2019,A,6,7/29/2019,,4,,,,2,15,,,4
ST190707,7/29/2019,B,6,7/29/2019,,,,,1,,8,,,1
ST190708,7/29/2019,A,6,7/29/2019,,8,2,,1,,18,4,,
ST190708,7/29/2019,B,6,7/29/2019,,4,,,1,,17,,,1
ST190709,7/29/2019,A,6,7/29/2019,,2,,,,9,9,,,
ST190709,7/29/2019,B,6,7/29/2019,1,2,,,,1,9,1,,2
ST190710,7/29/2019,A,6,7/29/2019,1,7,1,,,1,2,7,,
ST190710,7/29/2019,B,6,7/29/2019,2,3,1,,,,15,4,,
ST190746,8/5/2019,A,6,8/5/2019,2,6,`,,,1,11,,,2
ST190746,8/5/2019,B,6,8/5/2019,1,,,,,,11,,,1
ST190747,8/5/2019,A,6,8/5/2019,,,,,1,1,29,1,,
ST190747,8/5/2019,B,6,8/5/2019,,12,,,,,21,1,,1
ST190748,8/5/2019,A,6,8/5/2019,2,2,3,,1,1,15,,,3
ST190748,8/5/2019,B,6,8/5/2019,,8,2,,1,,13,2,,
ST190749,8/5/2019,A,6,8/5/2019,,2,,,,1,20,,,8
ST190749,8/5/2019,B,6,8/5/2019,1,7,,,,,20,,,5
ST190750,8/5/2019,A,6,8/5/2019,,4,,,3,1,12,1,,1
ST190750,8/5/2019,B,6,8/5/2019,1,6,1,,4,,13,1,,3
ST190786,8/12/2019,A,6,8/12/2019,4,6,,,4,,4,1,,1
ST190786,8/12/2019,B,6,8/12/2019,1,10,,,,,9,,,
ST190787,8/12/2019,A,6,8/12/2019,,2,,,1,1,14,6,,1
ST190787,8/12/2019,B,6,8/12/2019,,13,,,,,7,5,,1
ST190788,8/12/2019,A,6,8/12/2019,,7,,,,1,,2,,1
ST190788,8/12/2019,B,6,8/12/2019,1,,,,1,,11,1,,4
ST190789,8/12/2019,A,6,8/12/2019,,11,,,,1,9,1,,1
ST190789,8/12/2019,B,6,8/12/2019,1,2,,,,,7,4,,3
ST190790,8/12/2019,A,6,8/12/2019,,7,,,,3,1,2,,3
ST190790,8/12/2019,B,6,8/12/2019,,2,,,,1,9,1,,5
ST190826,8/19/2019,A,6,8/19/2019,1,1,,,,,8,1,,1
ST190826,8/19/2019,B,6,8/19/2019,,12,,,,1,7,2,,2
ST190827,8/19/2019,A,6,8/19/2019,,6,,,,,7,2,,
ST190827,8/19/2019,B,6,8/19/2019,,5,,,,,3,,,
ST190828,8/19/2019,A,6,8/19/2019,1,3,,,,,4,,,
ST190828,8/19/2019,B,6,8/19/2019,,1,,,,,11,2,,
ST190829,8/19/2019,A,6,8/19/2019,,9,,,,1,8,,,
ST190829,8/19/2019,B,6,8/19/2019,1,,,,,,8,2,,
ST190830,8/19/2019,A,6,8/19/2019,,2,,,,1,2,,,
ST190830,8/19/2019,B,6,8/19/2019,,9,1,,,1,5,,,2
ST190866,8/26/2019,A,6,8/26/2019,,2,1,,1,,10,,,
ST190866,8/26/2019,B,6,8/26/2019,1,7,,,,1,10,,,1
ST190867,8/26/2019,A,6,8/26/2019,,4,,,,,10,2,,
ST190867,8/26/2019,B,6,8/26/2019,,1,,,1,,6,,,
ST190868,8/26/2019,A,6,8/26/2019,,5,,,,,5,,,1
ST190868,8/26/2019,B,6,8/26/2019,,6,,,,,4,,,1
ST190869,8/26/2019,A,6,8/26/2019,,3,,,,1,6,1,,1
ST190869,8/26/2019,B,6,8/26/2019,,1,,,,,7,1,,
ST190870,8/26/2019,A,6,8/26/2019,1,4,1,2,,,3,,,
ST190870,8/26/2019,B,6,8/26/2019,1,11,1,,,,6,,,1
ST190386,6/2/2019,A,6,6/2/2019,3,,,,,,23,,,1
ST190386,6/2/2019,B,6,6/2/2019,2,,,,,,52,,,1
ST190387,6/2/2019,A,6,6/2/2019,,,,,,,26,,,3
ST190387,6/2/2019,B,6,6/2/2019,1,,,,1,,10,,,1
ST190388,6/2/2019,A,6,6/2/2019,,,,,,,44,,,
ST190388,6/2/2019,B,6,6/2/2019,6,,,,,,48,1,,1
ST190389,6/2/2019,A,6,6/2/2019,1,,,,,,17,,,
ST190389,6/2/2019,B,6,6/2/2019,2,,,,,,46,,,
ST190390,6/2/2019,A,6,6/2/2019,,1,,,,,53,,,1
ST190390,6/2/2019,B,6,6/2/2019,3,1,,,,,69,,,2
ST190426,6/10/2019,A,6,6/10/2019,1,4,2,,2,4,104,,,6
ST190426,6/10/2019,B,6,6/10/2019,1,1,,,1,8,99,,,8
ST190427,6/10/2019,A,6,6/10/2019,3,1,,,,,76,,,8
ST190427,6/10/2019,B,6,6/10/2019,1,3,,,,,78,,,8
ST190428,6/10/2019,A,6,6/10/2019,,,,,,1,61,,,3
ST190428,6/10/2019,B,6,6/10/2019,2,3,,,,1,132,,,1
ST190429,6/10/2019,A,6,6/10/2019,1,,,,2,,123,,,2
ST190429,6/10/2019,B,6,6/10/2019,2,,,,,,102,,,2
ST190226,5/6/2019,A,6,5/6/2019,,,,,,1,2,,,1
ST190226,5/6/2019,B,6,5/6/2019,5,2,,,,2,13,,,2
ST190227,5/6/2019,A,6,5/6/2019,1,,,,,,9,1,,2
ST190227,5/6/2019,B,6,5/6/2019,2,,,,,1,3,,,3
ST190228,5/6/2019,A,6,5/6/2019,9,,,,,,19,,,4
ST190228,5/6/2019,B,6,5/6/2019,8,1,,,,,9,,,
ST190229,5/6/2019,A,6,5/6/2019,26,,,,,,27,,,2
ST190229,5/6/2019,B,6,5/6/2019,3,,,,,,6,,,1
ST190230,5/6/2019,A,6,5/6/2019,,,,,,,4,,,1
ST190230,5/6/2019,B,6,5/6/2019,4,,,,,,12,,,4
ST190266,5/13/2019,A,6,5/13/2019,,,,,,1,24,,,4
