Sample #,WS,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terr,Caddisfly,Other
5,1,6/25/2018,,1,25-Jun,2,8,,,1,,49,10,,
6,1,6/25/2018,,1,25-Jun,2,7,3,,3,,,,,
7,1,6/25/2018,,1,25-Jun,2,7,,,,,43,10,,
8,1,6/25/2018,,1,25-Jun,,2,,,2,,47,8,,
9,1,6/25/2018,,1,25-Jun,,4,,,,,,,,
10,1,6/25/2018,,1,25-Jun,,3,,,,,,,,
1,1,7/16/2018,,1,7/16/2018,3,8,1,,,,18,,,
2,1,7/16/2018,,1,7/16/2018,,7,,,,,7,4,,
3,1,7/16/2018,,1,7/16/2018,2,5,,,,,,,,
4,1,7/16/2018,,1,7/16/2018,4,10,,,2,,,,,
5,1,7/16/2018,,1,7/16/2018,1,19,2,,,,6,20,,
6,1,7/16/2018,,1,7/16/2018,3,19,3,,,,,,,
7,1,7/16/2018,,1,7/16/2018,1,6,,,,,,,,
8,1,7/16/2018,,1,7/16/2018,,3,,,,,,,,
9,1,7/16/2018,,1,7/16/2018,3,25,,,1,,,,,
10,1,7/16/2018,,1,7/16/2018,1,2,,,,,8,1,,
1,1,7/23/2018,,1,7/23/2018,1,25,,,,,,,,
2,1,7/23/2018,,1,7/23/2018,1,10,,,,,8,2,,
3,1,7/23/2018,,1,7/23/2018,1,12,,,,,4,6,,
4,1,7/23/2018,,1,7/23/2018,,5,,,1,,,,,
5,1,7/23/2018,,1,7/23/2018,1,2,,,,,,,,
6,1,7/23/2018,,1,7/23/2018,1,15,,,,,,,,
7,1,7/23/2018,,1,7/23/2018,1,14,,,,,,,,
8,1,7/23/2018,,1,7/23/2018,1,17,,,1,,,,,
9,1,7/23/2018,,1,7/23/2018,2,13,,,,,12,3,,
10,1,7/23/2018,,1,7/23/2018,,5,,,,,14,10,,
3,1,8/6/2018,,1,8/6/2018,,,,,,,2,,,
4,1,8/6/2018,,1,8/6/2018,1,5,,,,,10,1,,
7,1,8/6/2018,,1,8/6/2018,,4,,,,,3,1,,
8,1,8/6/2018,,1,8/6/2018,,,,,,,8,,,
1,1,8/6/2018,,1,8/6/2018,,2,,,,,,,,
2,1,8/6/2018,,1,8/6/2018,2,1,,,,,,,,
5,1,8/6/2018,,1,8/6/2018,,2,,,,,,,,
6,1,8/6/2018,,1,8/6/2018,2,3,,,,,,,,
9,1,8/6/2018,,1,8/6/2018,,11,,,4,,,,,
10,1,8/6/2018,,1,8/6/2018,,5,,,,,,,,
2,1,8/13/2018,,1,8/13/2018,1,11,,,,,8,,,
5,1,8/13/2018,,1,8/13/2018,1,7,,,,,3,,,
6,1,8/13/2018,,1,8/13/2018,1,5,,,,,7,,,
8,1,8/13/2018,,1,8/13/2018,,6,,,,,3,,,
1,1,8/13/2018,,1,8/13/2018,1,3,,,1,,,,,
3,1,8/13/2018,,1,8/13/2018,,1,,,,,,,,
4,1,8/13/2018,,1,8/13/2018,1,4,,,,,,,,
7,1,8/13/2018,,1,8/13/2018,2,3,,,,,,,,
9,1,8/13/2018,,1,8/13/2018,3,1,,,,,,,,
10,1,8/13/2018,,1,8/13/2018,1,2,,,,,,,,
2,1,8/20/2018,,1,8/20/2018,,5,,,,,10,2,,
3,1,8/20/2018,,1,8/20/2018,,2,,,,,6,,,
8,1,8/20/2018,,1,8/20/2018,,2,,,,,10,2,,
9,1,8/20/2018,,1,8/20/2018,,2,,,,,2,,,
1,1,8/20/2018,,1,8/20/2018,,,,,,,,,,
4,1,8/20/2018,,1,8/20/2018,,3,,,,,,,,
5,1,8/20/2018,,1,8/20/2018,,2,,,,,,,,
6,1,8/20/2018,,1,8/20/2018,1,4,,,,,,,,
7,1,8/20/2018,,1,8/20/2018,,5,,,1,,,,,
10,1,8/20/2018,,1,8/20/2018,2,1,,,,,,,,
1,1,9/4/2018,,1,9/4/2018,2,2,,,1,,,,,
2,1,9/4/2018,,1,9/4/2018,1,4,,,,,,,,
3,1,9/4/2018,,1,9/4/2018,1,3,,,,,8,2,,
4,1,9/4/2018,,1,9/4/2018,1,,,,,,,,,
5,1,9/4/2018,,1,9/4/2018,,7,,,,,,,,
6,1,9/4/2018,,1,9/4/2018,1,4,,,,,9,,,
7,1,9/4/2018,,1,9/4/2018,,9,,,,,11,,,
8,1,9/4/2018,,1,9/4/2018,1,3,,,,,,,,
9,1,9/4/2018,,1,9/4/2018,,,,,,,6,,,
1,1,9/10/2018,,1,9/10/2018,,2,,,,,,,,
2,1,9/10/2018,,1,9/10/2018,1,1,,,,,2,,,
3,1,9/10/2018,,1,9/10/2018,1,1,,,,,,,,
4,1,9/10/2018,,1,9/10/2018,,,,,,,,,,
5,1,9/10/2018,,1,9/10/2018,2,,,,1,,3,,,
6,1,9/10/2018,,1,9/10/2018,,1,,,,,,,,
7,1,9/10/2018,,1,9/10/2018,,,,,,,4,1,,
8,1,9/10/2018,,1,9/10/2018,1,1,,,1,,,,,
9,1,9/10/2018,,1,9/10/2018,1,2,,,,,,,,
10,1,9/10/2018,,1,9/10/2018,,1,,,,,1,,,
1,1,9/17/2018,,1,9/17/2018,,,,,,,2,,,
2,1,9/17/2018,,1,9/17/2018,2,,,,,,,,,
3,1,9/17/2018,,1,9/17/2018,2,4,,,,,,,,
4,1,9/17/2018,,1,9/17/2018,2,,,,,,,,,
5,1,9/17/2018,,1,9/17/2018,,,,,,,2,,,
6,1,9/17/2018,,1,9/17/2018,,1,,,,,,,,
7,1,9/17/2018,,1,9/17/2018,,,,,,,5,5,,
8,1,9/17/2018,,1,9/17/2018,,,,,,,,,,
9,1,9/17/2018,,1,9/17/2018,,,,,,,5,2,,
10,1,9/17/2018,,1,9/17/2018,1,2,,,,,,,,
3,1,9/24/2018,,1,9/24/2018,5,3,,,,,5,,,
5,1,9/24/2018,,1,9/24/2018,1,,,,,,7,,,
7,1,9/24/2018,,1,9/24/2018,1,1,,,,,7,,,
9,1,9/24/2018,,1,9/24/2018,,,,,,,,,,
1,1,9/24/2018,,1,9/24/2018,1,,1,,,,,,,
2,1,9/24/2018,,1,9/24/2018,1,1,,,,,,,,
4,1,9/24/2018,,1,9/24/2018,,,,,,,,,,
6,1,9/24/2018,,1,9/24/2018,2,,,,,,,,,
8,1,9/24/2018,,1,9/24/2018,4,1,,,,,,,,
10,1,9/24/2018,,1,9/24/2018,,,,,,,,,,
1,1,10/1/2018,,1,10/1/2018,2,7,,,,,,,,
2,1,10/1/2018,,1,10/1/2018,3,2,,,,,,,,
3,1,10/1/2018,,1,10/1/2018,5,,,,,,6,,1,
4,1,10/1/2018,,1,10/1/2018,4,1,,,,,,,,
5,1,10/1/2018,,1,10/1/2018,4,4,,,,,5,,,
6,1,10/1/2018,,1,10/1/2018,1,2,1,,,,,,,
7,1,10/1/2018,,1,10/1/2018,3,1,,,,,3,,1,
8,1,10/1/2018,,1,10/1/2018,6,,,,,,,,,
9,1,10/1/2018,,1,10/1/2018,6,,,,,,8,2,,
10,1,10/1/2018,,1,10/1/2018,6,,,,,,,,,
1,1,10/8/2018,,1,8-Oct,1,,,,,,,,,
2,1,10/8/2018,,1,8-Oct,,1,,,,,,,,
3,1,10/8/2018,,1,8-Oct,3,,,,,,,,,
4,1,10/8/2018,,1,8-Oct,1,4,,,,,3,2,,
5,1,10/8/2018,,1,8-Oct,1,,,,,,6,,,
6,1,10/8/2018,,1,8-Oct,4,4,,,,,,,,
7,1,10/8/2018,,1,8-Oct,7,3,,,,,,,,
8,1,10/8/2018,,1,8-Oct,15,1,,,,,8,,,
9,1,10/8/2018,,1,8-Oct,5,1,,,,,2,1,,
10,1,10/8/2018,,1,8-Oct,6,,,,,,,,,
1,1,10/15/2018,,1,10/15/2018,6,1,,,,,,,,
2,1,10/15/2018,,1,10/15/2018,2,,,,,,,,,
3,1,10/15/2018,,1,10/15/2018,5,3,,,,,7,,,
4,1,10/15/2018,,1,10/15/2018,5,2,,,,,,,,
5,1,10/15/2018,,1,10/15/2018,15,2,,,,,,,,
6,1,10/15/2018,,1,10/15/2018,2,,,,,,4,1,,
7,1,10/15/2018,,1,10/15/2018,,2,,,,,,,,
8,1,10/15/2018,,1,10/15/2018,3,1,,,,,8,,,
9,1,10/15/2018,,1,10/15/2018,5,3,,,,,6,,,
10,1,10/15/2018,,1,10/15/2018,1,1,,,,,,,,
1,1,10/22/2018,,1,22-Oct,1,1,,,,,,,,
2,1,10/22/2018,,1,22-Oct,14,1,,,,,,,,
3,1,10/22/2018,,1,22-Oct,3,,,,,,6,1,,
4,1,10/22/2018,,1,22-Oct,6,2,,,,,6,,,
5,1,10/22/2018,,1,22-Oct,3,,,,,,,,,
6,1,10/22/2018,,1,22-Oct,3,4,,,,,5,3,,
7,1,10/22/2018,,1,22-Oct,7,6,,,,,,,,
8,1,10/22/2018,,1,22-Oct,11,,,,,,5,,,
9,1,10/22/2018,,1,22-Oct,8,,,,,,,,,
10,1,10/22/2018,,1,22-Oct,11,2,,,,,,,,
ST190441,1,6/17/2019,A,1,6/17/2019,,,1,,2,1,21,2,,
ST190441,1,6/17/2019,B,1,6/17/2019,1,,,,1,,20,2,,
ST190442,1,6/17/2019,A,1,6/17/2019,,,,,1,,,,,
ST190442,1,6/17/2019,B,1,6/17/2019,,,,,,,,,,
ST190443,1,6/17/2019,A,1,6/17/2019,1,,,,1,,19,,,
ST190443,1,6/17/2019,B,1,6/17/2019,,,,,3,,23,2,,1
ST190444,1,6/17/2019,A,1,6/17/2019,,,1,,1,,25,1,,
ST190444,1,6/17/2019,B,1,6/17/2019,,1,,,1,2,18,1,,
ST190445,1,6/17/2019,A,1,6/17/2019,1,2,,,1,,28,5,,
ST190445,1,6/17/2019,B,1,6/17/2019,,,,,1,,19,,,
ST190481,1,6/24/2019,A,1,6/24/2019,,2,,,,1,25,3,,
ST190481,1,6/24/2019,B,1,6/24/2019,,2,1,,2,,17,,1,1
ST190482,1,6/24/2019,A,1,6/24/2019,1,,,,3,2,47,1,,3
ST190482,1,6/24/2019,B,1,6/24/2019,,1,,,1,5,27,1,,
ST190483,1,6/24/2019,A,1,6/24/2019,,1,,,1,1,57,2,,
ST190483,1,6/24/2019,B,1,6/24/2019,1,,1,,,3,27,1,,
ST190484,1,6/24/2019,A,1,6/24/2019,,3,,,3,3,33,2,,
ST190484,1,6/24/2019,B,1,6/24/2019,,2,,,1,,17,,,
ST190485,1,6/24/2019,A,1,6/24/2019,2,,3,,,1,56,,,
ST190485,1,6/24/2019,B,1,6/24/2019,2,,,,,3,44,,,
ST190521,1,7/1/2019,A,1,7/1/2019,1,,1,,,1,17,,,
ST190521,1,7/1/2019,B,1,7/1/2019,,2,,,,2,26,1,,
ST190522,1,7/1/2019,A,1,7/1/2019,2,,2,,,2,25,2,,
ST190522,1,7/1/2019,B,1,7/1/2019,1,,1,,,1,47,1,,2
ST190523,1,7/1/2019,A,1,7/1/2019,,1,,,1,1,35,2,,1
ST190523,1,7/1/2019,B,1,7/1/2019,,1,2,,,1,31,1,,
ST190524,1,7/1/2019,A,1,7/1/2019,,4,2,,2,1,22,6,,3
ST190524,1,7/1/2019,B,1,7/1/2019,4,5,,,2,2,40,13,,1
ST190525,1,7/1/2019,A,1,7/1/2019,,2,1,,1,1,28,,,
ST190525,1,7/1/2019,B,1,7/1/2019,1,,,,,3,56,1,,2
ST190561,1,7/8/2019,A,1,7/8/2019,2,1,,,2,2,35,1,,1
ST190561,1,7/8/2019,B,1,7/8/2019,1,,1,,1,1,38,4,,7
ST190562,1,7/8/2019,A,1,7/8/2019,1,,1,,1,,22,1,,6
ST190562,1,7/8/2019,B,1,7/8/2019,1,,,,,2,22,1,,8
ST190563,1,7/8/2019,A,1,7/8/2019,,1,,,1,2,20,2,,3
ST190563,1,7/8/2019,B,1,7/8/2019,3,2,1,,,1,45,2,1,6
ST190564,1,7/8/2019,A,1,7/8/2019,,2,,,,1,18,1,2,2
ST190564,1,7/8/2019,B,1,7/8/2019,1,1,,,,1,19,3,,4
ST190565,1,7/8/2019,A,1,7/8/2019,,2,1,,1,2,30,3,,7
ST190565,1,7/8/2019,B,1,7/8/2019,1,2,,,,2,26,,,5
ST190601,1,7/15/2019,A,1,7/15/2019,4,,1,,,3,22,4,,7
ST190601,1,7/15/2019,B,1,7/15/2019,,2,,,,1,12,1,,2
ST190602,1,7/15/2019,A,1,7/15/2019,4,3,,,1,,29,2,,6
ST190602,1,7/15/2019,B,1,7/15/2019,,,,,,1,15,1,,5
ST190603,1,7/15/2019,A,1,7/15/2019,1,1,,,,1,13,2,,3
ST190603,1,7/15/2019,B,1,7/15/2019,6,,1,,,,9,3,,4
ST190604,1,7/15/2019,A,1,7/15/2019,1,1,,,,3,18,,,6
ST190604,1,7/15/2019,B,1,7/15/2019,4,1,2,,1,1,23,1,,6
ST190605,1,7/15/2019,A,1,7/15/2019,2,,,,,3,15,,,8
ST190605,1,7/15/2019,B,1,7/15/2019,4,1,,,,,13,2,,11
ST190641,1,7/22/2019,A,1,7/22/2019,2,4,1,,2,3,8,1,,2
ST190641,1,7/22/2019,B,1,7/22/2019,,1,,,,1,12,3,,5
ST190642,1,7/22/2019,A,1,7/22/2019,2,1,1,,,,13,1,,4
ST190642,1,7/22/2019,B,1,7/22/2019,3,,,,,,9,,,3
ST190643,1,7/22/2019,A,1,7/22/2019,,1,,,,,11,2,,3
ST190643,1,7/22/2019,B,1,7/22/2019,,,,,,,17,2,1,2
ST190644,1,7/22/2019,A,1,7/22/2019,,,,,,1,9,2,,2
ST190644,1,7/22/2019,B,1,7/22/2019,1,1,,,,3,7,,,2
ST190645,1,7/22/2019,A,1,7/22/2019,,,1,,,6,16,1,,
ST190645,1,7/22/2019,B,1,7/22/2019,1,,,,,2,10,1,,
ST190681,1,7/29/2019,A,1,7/29/2019,,,,,,,6,2,,
ST190681,1,7/29/2019,B,1,7/29/2019,1,,,,1,1,12,3,1,
ST190682,1,7/29/2019,A,1,7/29/2019,3,1,,,,,8,1,1,2
ST190682,1,7/29/2019,B,1,7/29/2019,2,,,,,1,10,3,,2
ST190683,1,7/29/2019,A,1,7/29/2019,2,2,1,,,1,8,1,,
ST190683,1,7/29/2019,B,1,7/29/2019,3,1,,,,,19,1,,
ST190684,1,7/29/2019,A,1,7/29/2019,3,,,,,1,10,,,
ST190684,1,7/29/2019,B,1,7/29/2019,1,,,,,1,11,5,,1
ST190685,1,7/29/2019,A,1,7/29/2019,3,,,,2,,10,2,,3
ST190685,1,7/29/2019,B,1,7/29/2019,5,7,,,1,,13,5,,1
ST190721,1,8/5/2019,A,1,8/5/2019,,1,,,,,11,2,,1
ST190721,1,8/5/2019,B,1,8/5/2019,,5,,,,1,14,,,
ST190722,1,8/5/2019,A,1,8/5/2019,,,,,,1,7,1,,
ST190722,1,8/5/2019,B,1,8/5/2019,,4,1,,,1,7,3,,2
ST190723,1,8/5/2019,A,1,8/5/2019,,3,,,,,9,2,,1
ST190723,1,8/5/2019,B,1,8/5/2019,,2,,,1,2,7,1,,1
ST190724,1,8/5/2019,A,1,8/5/2019,,2,,,,,9,2,,
ST190724,1,8/5/2019,B,1,8/5/2019,1,1,,,,2,9,3,,3
ST190725,1,8/5/2019,A,1,8/5/2019,,,,,1,1,8,2,,
ST190725,1,8/5/2019,B,1,8/5/2019,2,16,,,4,,4,3,,
ST190761,1,8/12/2019,A,1,8/12/2019,,1,,,1,,14,1,,2
ST190761,1,8/12/2019,B,1,8/12/2019,,17,,,1,1,5,5,,2
ST190762,1,8/12/2019,A,1,8/12/2019,,3,,,,1,8,3,,
ST190762,1,8/12/2019,B,1,8/12/2019,1,5,,,,,15,4,,1
ST190763,1,8/12/2019,A,1,8/12/2019,,2,1,,,1,5,,,
ST190763,1,8/12/2019,B,1,8/12/2019,,4,,,1,,8,4,,1
ST190764,1,8/12/2019,A,1,8/12/2019,,8,1,,,2,5,,,2
ST190764,1,8/12/2019,B,1,8/12/2019,,2,,,,2,9,,,1
ST190765,1,8/12/2019,A,1,8/12/2019,,3,,,,2,14,2,,2
ST190765,1,8/12/2019,B,1,8/12/2019,2,2,,,,1,10,3,,1
ST190801,1,8/19/2019,A,1,8/19/2019,1,3,,,,,11,4,,
ST190801,1,8/19/2019,B,1,8/19/2019,,2,,,,1,10,,,
ST190802,1,8/19/2019,A,1,8/19/2019,,3,,,1,,8,1,,
ST190802,1,8/19/2019,B,1,8/19/2019,1,4,,,,,6,,,
ST190803,1,8/19/2019,A,1,8/19/2019,1,9,1,,,,9,,,
ST190803,1,8/19/2019,B,1,8/19/2019,,,,,1,1,6,2,,
ST190804,1,8/19/2019,A,1,8/19/2019,,5,,,1,,6,2,,2
ST190804,1,8/19/2019,B,1,8/19/2019,1,14,,,,,3,2,,
ST190805,1,8/19/2019,A,1,8/19/2019,,3,,,,,10,3,,
ST190805,1,8/19/2019,B,1,8/19/2019,1,4,,,,1,12,4,,
ST190841,1,8/26/2019,A,1,8/26/2019,,2,,,,1,4,1,1,2
ST190841,1,8/26/2019,B,1,8/26/2019,,2,,,,,2,2,,
ST190842,1,8/26/2019,A,1,8/26/2019,,4,,,,,5,1,,1
ST190842,1,8/26/2019,B,1,8/26/2019,,3,,,,,7,6,,
ST190843,1,8/26/2019,A,1,8/26/2019,,5,2,,1,,7,2,,
ST190843,1,8/26/2019,B,1,8/26/2019,,1,1,,1,,5,1,,
ST190844,1,8/26/2019,A,1,8/26/2019,,2,,,,,5,2,,1
ST190844,1,8/26/2019,B,1,8/26/2019,1,4,,,,1,4,,,
ST190845,1,8/26/2019,A,1,8/26/2019,,7,2,,2,2,7,3,,
ST190845,1,8/26/2019,B,1,8/26/2019,,4,,,4,1,11,3,,
ST190041,1,4/1/2019,A,1,4/1/2019,,3,,,,,1,,,
ST190041,1,4/1/2019,B,1,4/1/2019,,,,,,,1,,,
1,1,4/8/2019,A,1,4/8/2019,1,,,,,,1,,,
2,,4/8/2019,B,1,4/8/2019,1,,,,,,,,,1
ST190081,,4/15/2019,A,1,4/15/2019,1,,,,,,,,,
ST190081,,4/15/2019,B,1,4/15/2019,2,,,,,,,,,
ST190121,,4/22/2019,A,1,4/22/2019,,2,,,,,,,,
ST190121,,4/22/2019,B,1,4/22/2019,,,,,,,1,,,
ST190161,,4/29/2019,A,1,4/29/2019,4,,,,,,4,,,5
ST190161,,4/29/2019,B,1,4/29/2019,2,,,,,1,2,1,,1
ST190162,,4/29/2019,A,1,4/29/2019,,,,,,,6,,,4
ST190162,,4/29/2019,B,1,4/29/2019,1,,,,,,11,,,
ST190163,,4/29/2019,A,1,4/29/2019,2,,,,,,7,,,1
ST190163,,4/29/2019,B,1,4/29/2019,3,,,,,,7,,,
ST190164,,4/29/2019,A,1,4/29/2019,2,,,,1,,6,,,3
ST190164,,4/29/2019,B,1,4/29/2019,,,,,,,3,,,5
ST190165,,4/29/2019,A,1,4/29/2019,,,,,,1,2,,,
ST190165,,4/29/2019,B,1,4/29/2019,1,,,,,,,,,
ST190361,,6/2/2019,A,1,6/2/2019,1,,,,1,,34,,,1
ST190361,,6/2/2019,B,1,6/2/2019,1,,1,,1,,38,,,1
ST190362,,6/2/2019,A,1,6/2/2019,,,,,3,,33,,,3
ST190362,,6/2/2019,B,1,6/2/2019,1,,,,,1,41,,,6
ST190363,,6/2/2019,A,1,6/2/2019,1,,,,,,27,,,
ST190363,,6/2/2019,B,1,6/2/2019,2,,,,,,24,,,1
ST190364,,6/2/2019,A,1,6/2/2019,6,,,,,,52,,,
ST190364,,6/2/2019,B,1,6/2/2019,1,,,,,,31,,,1
ST190365,,6/2/2019,A,1,6/2/2019,2,1,,,,,26,,,
ST190365,,6/2/2019,B,1,6/2/2019,,1,,,,,39,,,1
ST190401,,6/10/2019,A,1,6/10/2019,,4,,,1,1,80,,,1
ST190401,,6/10/2019,B,1,6/10/2019,2,5,,,1,1,46,,,1
ST190402,,6/10/2019,A,1,6/10/2019,6,,,,2,1,53,,,4
ST190402,,6/10/2019,B,1,6/10/2019,9,,,,2,2,35,,,5
ST190403,,6/10/2019,A,1,6/10/2019,1,1,,,,,52,,,3
ST190403,,6/10/2019,B,1,6/10/2019,3,,,,5,,40,,,2
ST190404,,6/10/2019,A,1,6/10/2019,4,2,,,,2,46,,,4
ST190404,,6/10/2019,B,1,6/10/2019,3,,,,,1,63,1,,2
ST190405,,6/10/2019,A,1,6/10/2019,4,,,,,1,92,,,7
ST190405,,6/10/2019,B,1,6/10/2019,,,,,1,2,89,,,1
ST190201,,5/6/2019,A,1,5/6/2019,6,1,,,,,12,,,1
ST190201,,5/6/2019,B,1,5/6/2019,3,,,,,,10,,,
ST190202,,5/6/2019,A,1,5/6/2019,3,,,,,,8,,,1
ST190202,,5/6/2019,B,1,5/6/2019,5,1,,,,,16,,,
ST190203,,5/6/2019,A,1,5/6/2019,3,2,,,,,25,,,
ST190203,,5/6/2019,B,1,5/6/2019,2,,,,,,33,,,1
ST190204,,5/6/2019,A,1,5/6/2019,,,,,,,11,,,2
ST190204,,5/6/2019,B,1,5/6/2019,2,,,,,1,6,,,
ST190205,,5/6/2019,A,1,5/6/2019,4,,,,,,14,,,1
ST190205,,5/6/2019,B,1,5/6/2019,2,,,,,2,15,,,1
ST190241,,5/13/2019,A,1,5/13/2019,,,,,,,23,,,
ST190241,,5/13/2019,B,1,5/13/2019,,,,,,,38,,,2
ST190242,,5/13/2019,A,1,5/13/2019,,,,,,,94,,,4
ST190242,,5/13/2019,B,1,5/13/2019,10,,,,,1,159,,,4
ST190243,,5/13/2019,A,1,5/13/2019,,1,,,,1,55,,,1
ST190243,,5/13/2019,B,1,5/13/2019,,,,,,2,67,,,1
ST190244,,5/13/2019,A,1,5/13/2019,1,,,,,1,47,,,2
ST190244,,5/13/2019,B,1,5/13/2019,3,,,,,2,32,,,2
ST190245,,5/13/2019,A,1,5/13/2019,4,1,,,1,1,94,,,1
ST190245,,5/13/2019,B,1,5/13/2019,8,,,,,,59,,,2
ST190281,,5/20/2019,A,1,5/20/2019,3,,,,,1,108,,,8
ST190281,,5/20/2019,B,1,5/20/2019,,,,,,1,78,,,4
ST190282,,5/20/2019,A,1,5/20/2019,,,,,,,,,,
ST190282,,5/20/2019,B,1,5/20/2019,,,,,,,,,,
ST190283,,5/20/2019,A,1,5/20/2019,6,,,,,3,67,,,2
ST190283,,5/20/2019,B,1,5/20/2019,3,,,,,,100,,,5
ST190284,,5/20/2019,A,1,5/20/2019,1,,,,,1,156,,,14
ST190284,,5/20/2019,B,1,5/20/2019,3,,,,,1,188,,,10
ST190285,,5/20/2019,A,1,5/20/2019,1,,,,,1,169,,,3
ST190285,,5/20/2019,B,1,5/20/2019,3,,,,,1,78,,,1
ST190321,,5/28/2019,A,1,5/28/2019,5,,,,,1,27,,,3
ST190321,,5/28/2019,B,1,5/28/2019,1,,,,,1,142,,,5
ST190322,,5/28/2019,A,1,5/28/2019,6,,,,,2,174,,,11
ST190322,,5/28/2019,B,1,5/28/2019,4,,,,,4,165,,,8
ST190323,,5/28/2019,A,1,5/28/2019,1,,,,2,2,211,,,8
ST190323,,5/28/2019,B,1,5/28/2019,7,,,,2,1,219,,,3
ST190324,,5/28/2019,A,1,5/28/2019,4,3,,,1,1,268,,,2
