,Sample,Watershed,Date,aDipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,aDipteran_Small,Terrestrial_Small,Other_Small
54,1,4,5/21/2018,2,0,0,0,0,3,96,0,0
55,1,6,5/21/2018,4,0,0,0,0,2,73,0,0
56,1,9,5/21/2018,10,2,0,0,0,3,16,2,10
57,1,9,5/21/2018,10,2,0,0,0,3,16,2,0
58,2,1,5/21/2018,1,0,1,0,0,0,0,0,0
59,2,2,5/21/2018,0,0,0,0,0,2,124,0,8
60,2,3,5/21/2018,5,0,0,0,0,1,39,0,3
61,2,4,5/21/2018,5,0,0,0,0,1,39,0,3
62,2,6,5/21/2018,0,0,0,0,0,0,26,0,1
63,2,9,5/21/2018,3,1,0,0,1,4,6,0,7
64,2,9,5/21/2018,3,1,0,0,1,4,6,0,8
65,3,1,5/21/2018,0,1,0,0,0,0,57,6,0
66,3,2,5/21/2018,0,0,0,0,0,1,69,0,6
67,3,3,5/21/2018,2,0,0,0,1,0,16,0,2
68,3,4,5/21/2018,2,0,0,0,1,0,16,0,2
69,3,6,5/21/2018,0,0,0,0,0,0,42,0,1
70,3,9,5/21/2018,2,3,0,0,0,0,6,2,0
71,3,9,5/21/2018,2,3,0,0,0,0,6,2,29
72,4,1,5/21/2018,3,0,0,0,0,0,0,0,0
73,4,2,5/21/2018,2,0,0,0,0,2,29,0,4
74,4,3,5/21/2018,4,0,0,0,0,1,33,0,2
75,4,4,5/21/2018,4,0,0,0,0,1,33,0,2
76,4,6,5/21/2018,0,0,0,0,0,1,28,0,1
77,4,9,5/21/2018,4,1,0,0,0,0,13,2,5
78,4,9,5/21/2018,4,1,0,0,0,0,13,2,0
79,5,1,5/21/2018,2,3,0,0,0,0,0,0,0
80,5,2,5/21/2018,0,0,0,0,2,0,42,0,3
81,5,3,5/21/2018,2,0,0,0,0,3,46,0,6
82,5,4,5/21/2018,2,0,0,0,0,3,46,0,6
83,5,6,5/21/2018,0,1,0,0,0,1,18,0,0
84,5,9,5/21/2018,4,1,0,0,0,0,8,2,3
85,5,9,5/21/2018,4,1,0,0,0,0,8,2,0
86,6,1,5/21/2018,1,1,0,0,0,0,0,0,0
87,6,2,5/21/2018,0,1,0,0,0,1,54,1,5
88,6,3,5/21/2018,7,0,0,0,0,5,56,0,5
89,6,4,5/21/2018,7,0,0,0,0,5,56,0,5
90,6,6,5/21/2018,3,0,0,0,0,2,0,0,5
91,6,9,5/21/2018,3,0,0,0,0,2,7,1,3
92,6,9,5/21/2018,3,0,0,0,0,2,7,1,0
93,7,1,5/21/2018,1,4,0,0,2,0,0,0,0
94,7,2,5/21/2018,2,0,0,0,0,3,86,0,4
95,7,3,5/21/2018,0,0,0,0,0,5,57,4,11
96,7,4,5/21/2018,0,0,0,0,0,5,57,4,11
97,7,6,5/21/2018,0,0,0,0,1,3,73,0,1
98,7,9,5/21/2018,2,0,0,0,0,0,67,0,0
99,7,9,5/21/2018,2,0,0,0,0,0,67,0,14
100,8,1,5/21/2018,1,6,0,0,0,0,0,0,0
101,8,2,5/21/2018,0,0,0,0,0,1,32,0,1
102,8,3,5/21/2018,0,0,0,0,2,0,54,5,9
103,8,4,5/21/2018,0,0,0,0,2,0,54,5,9
104,8,6,5/21/2018,1,0,0,0,0,4,32,0,4
105,8,9,5/21/2018,4,2,0,0,1,0,29,0,2
106,8,9,5/21/2018,4,2,0,0,1,0,29,0,0
107,9,1,5/21/2018,4,1,0,0,0,0,30,4,0
108,9,2,5/21/2018,0,1,0,0,0,2,74,0,1
109,9,3,5/21/2018,0,0,0,0,0,1,39,0,9
110,9,4,5/21/2018,0,0,0,0,0,1,39,0,9
111,9,6,5/21/2018,1,0,0,0,0,1,30,0,6
112,9,9,5/21/2018,3,0,0,0,1,1,17,2,8
113,9,9,5/21/2018,3,0,0,0,1,1,17,2,0
114,10,1,5/21/2018,2,3,0,0,0,0,34,10,0
115,10,2,5/21/2018,13,0,0,0,0,0,45,0,7
116,10,3,5/21/2018,1,0,0,0,0,3,58,0,11
117,10,4,5/21/2018,1,0,0,0,0,3,58,0,11
118,10,6,5/21/2018,0,0,0,0,1,2,64,0,4
119,10,9,5/21/2018,3,1,0,0,0,2,7,5,6
120,10,9,5/21/2018,3,1,0,0,0,2,7,5,0
121,1,1,5/29/2018,4,6,1,0,1,0,0,0,0
122,1,2,5/29/2018,0,3,0,0,1,0,112,0,1
123,1,3,5/29/2018,0,0,0,0,0,9,100,2,9
124,1,4,5/29/2018,0,0,0,0,0,9,100,2,9
125,1,6,5/29/2018,0,0,0,0,1,2,56,0,6
126,1,9,5/29/2018,5,4,0,0,1,2,21,9,32
127,1,9,5/29/2018,5,4,0,0,1,2,21,9,0
128,2,1,5/29/2018,0,1,2,0,2,0,0,0,0
129,2,2,5/29/2018,0,1,1,0,2,4,143,0,0
130,2,3,5/29/2018,0,2,0,0,3,3,106,0,5
131,2,4,5/29/2018,0,2,0,0,3,3,106,0,5
132,2,6,5/29/2018,1,0,0,0,1,2,74,0,0
133,2,9,5/29/2018,4,1,0,0,0,0,8,6,14
134,2,9,5/29/2018,4,1,0,0,0,0,8,6,39
135,3,1,5/29/2018,4,5,0,0,2,0,0,0,0
136,3,2,5/29/2018,0,0,0,0,1,4,107,1,0
137,3,3,5/29/2018,2,0,0,0,2,7,75,0,9
138,3,4,5/29/2018,2,0,0,0,2,7,75,0,9
139,3,6,5/29/2018,2,0,0,0,1,2,30,0,0
140,3,9,5/29/2018,4,5,0,0,0,2,19,13,13
141,3,9,5/29/2018,4,5,0,0,0,2,19,13,0
142,4,1,5/29/2018,2,0,0,0,2,0,25,2,0
143,4,2,5/29/2018,1,0,0,0,2,1,83,0,3
144,4,3,5/29/2018,0,0,0,0,0,10,209,0,6
145,4,4,5/29/2018,0,0,0,0,0,10,209,0,6
146,4,6,5/29/2018,0,0,0,0,0,2,35,0,2
147,4,9,5/29/2018,1,3,0,0,0,3,10,5,11
148,4,9,5/29/2018,1,3,0,0,0,3,10,5,0
149,5,1,5/29/2018,3,3,1,0,0,0,70,3,0
150,5,2,5/29/2018,0,4,0,0,1,2,36,0,6
151,5,3,5/29/2018,0,2,0,0,1,10,49,3,0
152,5,4,5/29/2018,0,2,0,0,1,10,49,3,0
153,5,6,5/29/2018,2,1,0,0,0,2,65,0,1
154,5,9,5/29/2018,11,6,0,0,0,0,51,4,12
155,5,9,5/29/2018,11,6,0,0,0,0,51,4,5
156,6,1,5/29/2018,1,2,0,0,4,0,44,5,0
157,6,2,5/29/2018,1,0,0,0,1,1,49,0,0
158,6,3,5/29/2018,1,1,0,0,0,10,80,3,5
159,6,4,5/29/2018,1,1,0,0,0,10,80,3,5
160,6,6,5/29/2018,0,0,0,0,0,1,30,0,4
161,6,9,5/29/2018,12,2,0,0,1,0,13,4,6
162,6,9,5/29/2018,12,2,0,0,1,0,13,4,8
163,7,1,5/29/2018,2,7,0,0,1,0,0,0,0
164,7,2,5/29/2018,0,2,0,0,0,3,83,1,4
165,7,3,5/29/2018,2,0,2,0,4,2,182,0,6
166,7,4,5/29/2018,2,0,2,0,4,2,182,0,6
167,7,6,5/29/2018,0,0,0,0,0,3,76,0,7
168,7,9,5/29/2018,4,1,0,0,0,3,35,6,8
169,7,9,5/29/2018,4,1,0,0,0,3,35,6,6
170,8,1,5/29/2018,1,3,4,0,1,0,0,0,0
171,8,2,5/29/2018,0,0,0,0,0,7,112,0,6
172,8,3,5/29/2018,1,3,0,0,1,9,97,0,0
173,8,4,5/29/2018,1,3,0,0,1,9,97,0,0
174,8,6,5/29/2018,0,0,0,0,0,0,20,0,2
175,8,9,5/29/2018,0,0,0,0,0,0,11,2,3
176,8,9,5/29/2018,0,0,0,0,0,0,11,2,11
177,9,1,5/29/2018,0,6,0,0,1,0,41,5,0
178,9,2,5/29/2018,0,0,0,0,0,7,101,0,0
179,9,3,5/29/2018,0,1,0,0,0,5,49,0,7
180,9,4,5/29/2018,0,1,0,0,0,5,49,0,7
181,9,6,5/29/2018,1,0,0,0,0,4,57,0,0
182,9,9,5/29/2018,2,3,0,0,0,0,47,10,13
183,9,9,5/29/2018,2,3,0,0,0,0,47,10,0
184,10,1,5/29/2018,1,4,0,0,0,0,0,0,0
185,10,2,5/29/2018,0,0,0,0,1,2,0,4,4
186,10,3,5/29/2018,2,0,0,0,1,4,112,0,22
187,10,4,5/29/2018,2,0,0,0,1,4,112,0,22
188,10,6,5/29/2018,2,0,0,0,0,1,22,0,3
189,10,9,5/29/2018,7,0,0,0,0,0,10,1,5
190,10,9,5/29/2018,7,0,0,0,0,0,10,1,0
191,1,1,6/4/2018,1,1,0,0,0,0,0,0,0
192,1,2,6/4/2018,2,1,0,0,3,3,26,0,1
193,1,4,6/4/2018,0,0,0,0,0,0,0,0,0
194,1,6,6/4/2018,0,1,0,0,0,3,23,0,3
195,1,9,6/4/2018,4,0,0,0,0,1,11,0,8
196,1,9,6/4/2018,4,0,0,0,0,1,11,0,0
197,2,1,6/4/2018,1,1,0,0,2,0,14,5,0
198,2,2,6/4/2018,1,1,0,0,5,1,67,0,12
199,2,4,6/4/2018,0,0,0,0,0,0,0,0,0
200,2,6,6/4/2018,1,0,0,0,0,1,28,0,5
201,2,9,6/4/2018,4,0,0,0,0,0,29,0,7
202,2,9,6/4/2018,4,0,0,0,0,0,29,0,2
203,3,1,6/4/2018,1,2,0,0,2,0,0,0,0
204,3,2,6/4/2018,1,1,1,0,2,4,94,0,4
205,3,4,6/4/2018,0,0,0,0,0,0,0,0,0
206,3,6,6/4/2018,3,0,0,0,0,23,15,0,5
207,3,9,6/4/2018,6,0,1,0,0,1,40,0,16
208,3,9,6/4/2018,6,0,1,0,0,1,40,0,0
209,4,1,6/4/2018,7,7,2,0,0,0,37,6,0
210,4,2,6/4/2018,1,3,0,0,1,4,86,0,2
211,4,4,6/4/2018,0,0,0,0,0,0,0,0,0
212,4,6,6/4/2018,0,1,0,0,0,1,16,0,0
213,4,9,6/4/2018,2,0,1,0,1,0,33,0,7
214,4,9,6/4/2018,2,0,1,0,1,0,33,0,12
215,5,1,6/4/2018,3,3,0,0,0,0,0,0,0
216,5,2,6/4/2018,0,0,0,0,0,0,30,1,2
217,5,4,6/4/2018,0,0,0,0,0,0,0,0,0
218,5,6,6/4/2018,2,0,0,0,1,5,59,0,6
219,5,9,6/4/2018,4,0,0,0,0,1,27,0,0
220,5,9,6/4/2018,4,0,0,0,0,1,27,0,7
221,6,1,6/4/2018,0,3,1,0,1,0,25,4,0
222,6,2,6/4/2018,0,0,0,0,1,4,38,0,4
223,6,4,6/4/2018,0,0,0,0,0,0,0,0,0
224,6,6,6/4/2018,0,0,0,0,0,0,17,1,2
225,6,9,6/4/2018,14,0,0,0,0,2,67,0,12
226,6,9,6/4/2018,14,0,0,0,0,2,67,0,10
227,7,1,6/4/2018,1,2,0,0,2,0,0,0,0
228,7,2,6/4/2018,0,0,0,0,3,1,42,1,2
229,7,4,6/4/2018,0,0,0,0,0,0,0,0,0
230,7,6,6/4/2018,2,0,0,0,0,4,41,0,4
231,7,9,6/4/2018,13,1,0,0,0,2,44,0,18
232,7,9,6/4/2018,13,1,0,0,0,2,44,0,5
233,8,1,6/4/2018,2,2,0,0,1,0,36,0,0
234,8,2,6/4/2018,0,1,0,0,3,3,36,0,3
235,8,4,6/4/2018,0,0,0,0,0,0,0,0,0
236,8,6,6/4/2018,1,0,0,0,2,0,66,0,3
237,8,9,6/4/2018,6,2,0,0,1,1,20,0,22
238,8,9,6/4/2018,6,2,0,0,1,1,20,0,0
239,9,1,6/4/2018,0,2,3,0,1,0,0,0,0
240,9,2,6/4/2018,0,0,0,0,2,1,30,0,4
241,9,4,6/4/2018,0,0,0,0,0,0,0,0,0
242,9,6,6/4/2018,2,0,0,0,0,0,22,0,1
243,9,9,6/4/2018,3,4,0,0,0,1,33,0,36
244,9,9,6/4/2018,3,4,0,0,0,1,33,0,3
245,10,1,6/4/2018,2,3,0,0,0,0,0,0,0
246,10,2,6/4/2018,0,0,0,0,1,2,25,0,2
247,10,4,6/4/2018,0,0,0,0,0,0,0,0,0
248,10,6,6/4/2018,0,0,0,0,1,0,31,1,0
249,10,9,6/4/2018,3,2,0,0,1,2,22,0,18
250,10,9,6/4/2018,3,2,0,0,1,2,22,0,0
251,NA,1,6/4/2018,0,0,0,0,0,0,0,0,0
252,1,1,6/11/2018,0,1,0,0,1,0,0,0,0
253,1,2,6/11/2018,2,1,0,0,0,1,41,0,9
254,1,4,6/11/2018,0,0,0,0,0,0,0,0,0
255,1,6,6/11/2018,2,0,0,0,1,3,15,0,4
256,1,9,6/11/2018,15,0,0,0,0,0,26,0,2
257,1,9,6/11/2018,15,0,0,0,0,0,26,0,0
258,2,1,6/11/2018,1,1,0,0,1,0,0,0,0
259,2,2,6/11/2018,3,2,0,0,0,2,43,1,14
260,2,4,6/11/2018,0,0,0,0,0,0,0,0,0
261,2,6,6/11/2018,1,1,0,0,0,1,28,1,6
262,2,9,6/11/2018,2,0,0,0,0,1,27,0,5
263,2,9,6/11/2018,2,0,0,0,0,1,27,0,13
264,3,1,6/11/2018,0,0,0,0,0,0,21,9,0
265,3,2,6/11/2018,0,1,0,0,0,1,35,0,12
266,3,4,6/11/2018,0,0,0,0,0,0,0,0,0
267,3,6,6/11/2018,1,1,0,0,1,4,42,1,11
268,3,9,6/11/2018,2,1,0,0,0,2,70,0,7
269,3,9,6/11/2018,2,1,0,0,0,2,70,0,6
270,4,1,6/11/2018,2,3,0,0,0,0,0,0,0
271,4,2,6/11/2018,1,1,0,0,0,1,33,1,9
272,4,4,6/11/2018,0,0,0,0,0,0,0,0,0
273,4,6,6/11/2018,0,0,0,0,0,0,18,1,1
274,4,9,6/11/2018,0,3,0,0,1,0,31,0,4
275,4,9,6/11/2018,0,3,0,0,1,0,31,0,18
276,5,1,6/11/2018,2,1,0,0,0,0,28,3,0
277,5,2,6/11/2018,2,0,0,0,0,3,15,0,9
278,5,4,6/11/2018,0,0,0,0,0,0,0,0,0
279,5,6,6/11/2018,1,0,0,0,0,0,18,0,0
280,5,9,6/11/2018,0,3,0,0,1,0,13,0,4
281,6,1,6/11/2018,3,4,0,0,0,0,43,11,0
282,6,2,6/11/2018,2,1,0,0,1,2,35,0,0
283,6,4,6/11/2018,0,0,0,0,0,0,0,0,0
284,6,6,6/11/2018,0,0,0,0,0,0,24,0,4
285,6,9,6/11/2018,6,1,0,0,1,3,55,0,24
286,6,9,6/11/2018,6,1,0,0,1,3,55,0,12
287,7,1,6/11/2018,4,1,1,0,0,0,28,8,0
288,7,2,6/11/2018,0,0,0,0,0,3,43,0,5
289,7,4,6/11/2018,0,0,0,0,0,0,0,0,0
290,7,6,6/11/2018,0,0,0,0,0,0,87,5,9
291,7,9,6/11/2018,3,1,0,0,0,0,14,0,3
292,7,9,6/11/2018,3,1,0,0,0,0,14,0,53
293,8,1,6/11/2018,6,3,0,0,0,0,0,0,0
294,8,2,6/11/2018,4,0,1,0,0,3,35,0,2
295,8,4,6/11/2018,0,0,0,0,0,0,0,0,0
296,8,6,6/11/2018,2,0,0,0,0,0,14,0,1
297,8,9,6/11/2018,4,2,0,0,0,0,77,0,8
298,8,9,6/11/2018,4,2,0,0,0,0,77,0,0
299,9,1,6/11/2018,2,3,0,0,0,0,0,0,0
300,9,2,6/11/2018,1,0,0,0,0,1,23,0,4
301,9,4,6/11/2018,0,0,0,0,0,0,0,0,0
302,9,6,6/11/2018,0,0,0,0,0,0,36,0,1
303,9,9,6/11/2018,2,0,0,0,0,1,35,0,4
304,9,9,6/11/2018,2,0,0,0,0,1,35,0,7
305,10,1,6/11/2018,2,0,0,0,0,0,0,0,0
306,10,2,6/11/2018,2,0,0,0,1,0,48,0,9
307,10,4,6/11/2018,0,0,0,0,0,0,0,0,0
308,10,6,6/11/2018,0,0,0,0,0,4,78,0,2
309,10,9,6/11/2018,1,0,0,0,0,0,11,0,2
310,10,9,6/11/2018,1,0,0,0,0,0,11,0,31
311,1,1,6/18/2018,0,4,0,0,1,0,0,0,0
312,1,2,6/18/2018,0,0,0,0,0,6,25,0,10
313,1,4,6/18/2018,0,0,0,0,0,0,0,0,0
314,1,6,6/18/2018,0,1,0,0,1,5,19,1,11
315,1,9,6/18/2018,1,0,0,0,1,3,20,0,6
316,1,9,6/18/2018,1,0,0,0,1,3,20,0,7
317,2,1,6/18/2018,1,14,0,0,1,0,41,15,0
318,2,2,6/18/2018,4,0,0,0,0,5,36,0,11
319,2,4,6/18/2018,0,0,0,0,0,0,0,0,0
320,2,6,6/18/2018,4,1,0,0,0,2,47,1,10
321,2,9,6/18/2018,3,0,0,0,1,2,27,0,4
322,2,9,6/18/2018,3,0,0,0,1,2,27,0,7
323,3,1,6/18/2018,2,10,1,0,1,0,0,0,0
324,3,2,6/18/2018,0,2,3,0,0,3,48,0,15
325,3,4,6/18/2018,0,0,0,0,0,0,0,0,0
326,3,6,6/18/2018,5,0,0,0,1,4,19,3,10
327,3,9,6/18/2018,4,1,1,0,0,4,66,0,8
328,3,9,6/18/2018,4,1,1,0,0,4,66,0,13
329,4,1,6/18/2018,2,5,0,0,1,0,24,17,0
330,4,2,6/18/2018,3,0,0,0,0,3,79,0,20
331,4,4,6/18/2018,0,0,0,0,0,0,0,0,0
332,4,6,6/18/2018,2,0,0,0,2,3,52,0,25
333,4,9,6/18/2018,3,2,0,0,0,7,41,0,0
334,5,1,6/18/2018,2,9,1,0,2,0,0,0,0
335,5,2,6/18/2018,3,1,0,0,0,3,23,1,20
336,5,4,6/18/2018,0,0,0,0,0,0,0,0,0
337,5,6,6/18/2018,0,0,0,0,0,0,32,2,14
338,5,9,6/18/2018,3,3,0,0,0,4,45,0,36
339,5,9,6/18/2018,3,3,0,0,0,4,45,0,0
340,6,1,6/18/2018,3,6,0,0,2,0,0,0,0
341,6,2,6/18/2018,1,0,1,0,0,0,30,0,8
342,6,4,6/18/2018,0,0,0,0,0,0,0,0,0
343,6,6,6/18/2018,6,0,0,0,1,4,30,0,14
344,6,9,6/18/2018,3,3,1,0,3,0,56,0,34
345,6,9,6/18/2018,3,3,1,0,3,0,56,0,0
346,7,1,6/18/2018,0,9,0,0,1,0,0,0,0
347,7,2,6/18/2018,3,0,1,0,2,4,41,2,15
348,7,4,6/18/2018,0,0,0,0,0,0,0,0,0
349,7,6,6/18/2018,0,2,0,0,0,5,32,1,6
350,7,9,6/18/2018,4,8,2,0,3,0,41,0,0
351,7,9,6/18/2018,4,8,2,0,3,0,41,0,25
352,8,1,6/18/2018,1,8,0,0,0,0,0,0,0
353,8,2,6/18/2018,3,0,0,0,0,5,50,5,25
354,8,4,6/18/2018,0,0,0,0,0,0,0,0,0
355,8,6,6/18/2018,1,0,0,0,5,5,25,7,12
356,8,9,6/18/2018,3,1,1,0,0,1,45,0,31
357,8,9,6/18/2018,3,1,1,0,0,1,45,0,12
358,9,1,6/18/2018,1,5,0,0,2,0,8,8,0
359,9,2,6/18/2018,2,0,0,0,0,5,28,0,9
360,9,4,6/18/2018,0,0,0,0,0,0,0,0,0
361,9,6,6/18/2018,1,1,0,0,0,8,5,2,8
362,9,9,6/18/2018,3,1,0,0,0,0,21,0,0
363,10,1,6/18/2018,1,3,0,0,1,0,19,9,0
364,10,2,6/18/2018,2,0,1,0,0,11,34,0,24
365,10,4,6/18/2018,0,0,0,0,0,0,0,0,0
366,10,6,6/18/2018,3,1,0,0,0,8,11,0,11
367,10,9,6/18/2018,2,0,0,0,0,3,64,0,18
368,10,9,6/18/2018,2,0,0,0,0,3,64,0,36
369,1,1,6/25/2018,0,4,3,0,0,0,8,15,0
370,1,2,6/25/2018,1,0,0,0,0,0,36,0,18
371,1,4,6/25/2018,0,0,0,0,0,0,0,0,0
372,1,6,6/25/2018,1,0,0,0,0,0,38,0,15
373,1,9,6/25/2018,6,8,0,0,0,4,30,0,25
374,1,9,6/25/2018,6,8,0,0,0,4,30,0,5
375,2,1,6/25/2018,1,9,2,0,4,0,0,0,0
376,2,2,6/25/2018,3,1,0,0,0,0,50,0,14
377,2,4,6/25/2018,0,0,0,0,0,0,0,0,0
378,2,6,6/25/2018,1,0,0,0,1,2,25,0,7
379,2,9,6/25/2018,1,0,1,0,0,1,27,0,62
380,2,9,6/25/2018,1,0,1,0,0,1,27,0,18
381,3,1,6/25/2018,3,7,1,0,1,0,0,0,0
382,3,2,6/25/2018,2,1,0,0,1,2,37,0,5
383,3,4,6/25/2018,0,0,0,0,0,0,0,0,0
384,3,6,6/25/2018,1,0,0,0,0,2,24,3,6
385,3,9,6/25/2018,6,6,0,0,1,1,30,0,48
386,3,9,6/25/2018,6,6,0,0,1,1,30,0,22
387,4,1,6/25/2018,0,2,1,0,0,0,12,12,0
388,4,2,6/25/2018,0,0,0,0,1,3,57,1,7
389,4,4,6/25/2018,0,0,0,0,0,0,0,0,0
390,4,6,6/25/2018,2,0,0,0,1,0,25,0,15
391,4,9,6/25/2018,2,7,0,0,1,1,11,0,13
392,4,9,6/25/2018,2,7,0,0,1,1,11,0,2
393,5,1,6/25/2018,2,8,0,0,1,0,49,10,0
394,5,2,6/25/2018,2,2,0,0,0,2,50,0,6
395,5,4,6/25/2018,0,0,0,0,0,0,0,0,0
396,5,6,6/25/2018,0,0,4,0,2,3,61,0,10
397,5,9,6/25/2018,5,1,0,0,0,3,27,0,14
398,5,9,6/25/2018,5,1,0,0,0,3,27,0,3
399,6,1,6/25/2018,2,7,3,0,3,0,0,0,0
400,6,2,6/25/2018,1,0,0,0,1,0,37,0,2
401,6,4,6/25/2018,0,0,0,0,0,0,0,0,0
402,6,6,6/25/2018,2,0,0,0,0,2,27,1,3
403,6,9,6/25/2018,1,1,1,0,0,0,5,0,4
404,6,9,6/25/2018,1,1,1,0,0,0,5,0,57
405,7,1,6/25/2018,2,7,0,0,0,0,43,10,0
406,7,2,6/25/2018,1,0,0,0,1,2,26,0,13
407,7,4,6/25/2018,0,0,0,0,0,0,0,0,0
408,7,6,6/25/2018,2,0,0,0,0,2,14,2,3
409,7,9,6/25/2018,4,1,1,0,0,1,12,0,13
410,7,9,6/25/2018,4,1,1,0,0,1,12,0,8
411,8,1,6/25/2018,0,2,0,0,2,0,47,8,0
412,8,2,6/25/2018,1,0,0,0,0,3,73,0,27
413,8,4,6/25/2018,0,0,0,0,0,0,0,0,0
414,8,6,6/25/2018,2,0,0,0,1,3,22,0,3
415,8,9,6/25/2018,6,1,0,0,0,4,52,0,27
416,8,9,6/25/2018,6,1,0,0,0,4,52,0,48
417,9,1,6/25/2018,0,4,0,0,0,0,0,0,0
418,9,2,6/25/2018,3,0,0,0,0,1,59,0,6
419,9,4,6/25/2018,0,0,0,0,0,0,0,0,0
420,9,6,6/25/2018,2,0,0,0,0,4,18,0,7
421,9,9,6/25/2018,5,0,1,0,0,2,26,0,17
422,9,9,6/25/2018,5,0,1,0,0,2,26,0,4
423,10,1,6/25/2018,0,3,0,0,0,0,0,0,0
424,10,2,6/25/2018,2,0,0,0,0,1,51,0,6
425,10,4,6/25/2018,0,0,0,0,0,0,0,0,0
426,10,6,6/25/2018,3,1,2,0,1,2,22,0,14
427,10,9,6/25/2018,10,5,0,0,0,0,19,0,6
428,10,9,6/25/2018,10,5,0,0,0,0,19,0,28
429,1,3,7/2/2018,5,0,8,0,0,3,37,0,7
430,1,4,7/2/2018,5,0,8,0,0,3,37,0,7
431,1,6,7/2/2018,0,0,0,0,0,2,15,0,3
432,1,9,7/2/2018,11,0,1,0,0,2,18,0,10
433,1,9,7/2/2018,11,0,1,0,0,2,18,0,24
434,2,3,7/2/2018,0,0,1,0,1,0,35,1,3
435,2,4,7/2/2018,0,0,1,0,1,0,35,1,3
436,2,6,7/2/2018,3,0,0,0,0,0,34,0,4
437,2,9,7/2/2018,25,0,0,0,0,2,10,0,12
438,2,9,7/2/2018,25,0,0,0,0,2,10,0,8
439,3,3,7/2/2018,4,1,1,0,2,2,49,0,6
440,3,4,7/2/2018,4,1,1,0,2,2,49,0,6
441,3,6,7/2/2018,0,1,1,0,0,0,35,0,10
442,3,9,7/2/2018,5,1,0,0,0,3,14,0,12
443,3,9,7/2/2018,5,1,0,0,0,3,14,0,34
444,4,3,7/2/2018,1,0,3,1,0,2,45,0,12
445,4,4,7/2/2018,1,0,3,1,0,2,45,0,12
