"Sample","Watershed","Date","Dipteran_Large","Terrestrial_Large","Caddisfly_Large","Mayfly_Large","Stonefly_Large","Other_Large","Dipteran_Small","Terrestrial_Small","Other_Small"
"2","1","8/6/2018",2,1,0,0,0,0,0,0,0
"5","1","8/6/2018",0,2,0,0,0,0,0,0,0
"6","1","8/6/2018",2,3,0,0,0,0,0,0,0
"9","1","8/6/2018",0,11,0,0,4,0,0,0,0
"10","1","8/6/2018",0,5,0,0,0,0,0,0,0
"2","1","8/13/2018",1,11,0,0,0,0,8,0,0
"5","1","8/13/2018",1,7,0,0,0,0,3,0,0
"6","1","8/13/2018",1,5,0,0,0,0,7,0,0
"8","1","8/13/2018",0,6,0,0,0,0,3,0,0
"1","1","8/13/2018",1,3,0,0,1,0,0,0,0
"3","1","8/13/2018",0,1,0,0,0,0,0,0,0
"4","1","8/13/2018",1,4,0,0,0,0,0,0,0
"7","1","8/13/2018",2,3,0,0,0,0,0,0,0
"9","1","8/13/2018",3,1,0,0,0,0,0,0,0
"10","1","8/13/2018",1,2,0,0,0,0,0,0,0
"2","1","8/20/2018",0,5,0,0,0,0,10,2,0
"3","1","8/20/2018",0,2,0,0,0,0,6,0,0
"8","1","8/20/2018",0,2,0,0,0,0,10,2,0
"9","1","8/20/2018",0,2,0,0,0,0,2,0,0
"1","1","8/20/2018",0,0,0,0,0,0,0,0,0
"4","1","8/20/2018",0,3,0,0,0,0,0,0,0
"5","1","8/20/2018",0,2,0,0,0,0,0,0,0
"6","1","8/20/2018",1,4,0,0,0,0,0,0,0
"7","1","8/20/2018",0,5,0,0,1,0,0,0,0
"10","1","8/20/2018",2,1,0,0,0,0,0,0,0
"1","1","9/4/2018",2,2,0,0,1,0,0,0,0
"2","1","9/4/2018",1,4,0,0,0,0,0,0,0
"3","1","9/4/2018",1,3,0,0,0,0,8,2,0
"4","1","9/4/2018",1,0,0,0,0,0,0,0,0
"5","1","9/4/2018",0,7,0,0,0,0,0,0,0
"6","1","9/4/2018",1,4,0,0,0,0,9,0,0
"7","1","9/4/2018",0,9,0,0,0,0,11,0,0
"8","1","9/4/2018",1,3,0,0,0,0,0,0,0
"9","1","9/4/2018",0,0,0,0,0,0,6,0,0
"1","1","9/10/2018",0,2,0,0,0,0,0,0,0
"2","1","9/10/2018",1,1,0,0,0,0,2,0,0
"3","1","9/10/2018",1,1,0,0,0,0,0,0,0
"4","1","9/10/2018",0,0,0,0,0,0,0,0,0
"5","1","9/10/2018",2,0,0,0,1,0,3,0,0
"6","1","9/10/2018",0,1,0,0,0,0,0,0,0
"7","1","9/10/2018",0,0,0,0,0,0,4,1,0
"8","1","9/10/2018",1,1,0,0,1,0,0,0,0
"9","1","9/10/2018",1,2,0,0,0,0,0,0,0
"10","1","9/10/2018",0,1,0,0,0,0,1,0,0
"1","1","9/17/2018",0,0,0,0,0,0,2,0,0
"2","1","9/17/2018",2,0,0,0,0,0,0,0,0
"3","1","9/17/2018",2,4,0,0,0,0,0,0,0
"4","1","9/17/2018",2,0,0,0,0,0,0,0,0
"5","1","9/17/2018",0,0,0,0,0,0,2,0,0
"6","1","9/17/2018",0,1,0,0,0,0,0,0,0
"7","1","9/17/2018",0,0,0,0,0,0,5,5,0
"8","1","9/17/2018",0,0,0,0,0,0,0,0,0
"9","1","9/17/2018",0,0,0,0,0,0,5,2,0
"10","1","9/17/2018",1,2,0,0,0,0,0,0,0
"3","1","9/24/2018",5,3,0,0,0,0,5,0,0
"5","1","9/24/2018",1,0,0,0,0,0,7,0,0
"7","1","9/24/2018",1,1,0,0,0,0,7,0,0
"9","1","9/24/2018",0,0,0,0,0,0,0,0,0
"1","1","9/24/2018",1,0,1,0,0,0,0,0,0
"2","1","9/24/2018",1,1,0,0,0,0,0,0,0
"4","1","9/24/2018",0,0,0,0,0,0,0,0,0
"6","1","9/24/2018",2,0,0,0,0,0,0,0,0
"8","1","9/24/2018",4,1,0,0,0,0,0,0,0
"10","1","9/24/2018",0,0,0,0,0,0,0,0,0
"1","1","10/1/2018",2,7,0,0,0,0,0,0,0
"2","1","10/1/2018",3,2,0,0,0,0,0,0,0
"3","1","10/1/2018",5,0,0,0,0,0,6,0,0
"4","1","10/1/2018",4,1,0,0,0,0,0,0,0
"5","1","10/1/2018",4,4,0,0,0,0,5,0,0
"6","1","10/1/2018",1,2,1,0,0,0,0,0,0
"7","1","10/1/2018",3,1,0,0,0,0,3,0,0
"8","1","10/1/2018",6,0,0,0,0,0,0,0,0
"9","1","10/1/2018",6,0,0,0,0,0,8,2,0
"10","1","10/1/2018",6,0,0,0,0,0,0,0,0
"1","1","10/8/2018",1,0,0,0,0,0,0,0,0
"2","1","10/8/2018",0,1,0,0,0,0,0,0,0
"3","1","10/8/2018",3,0,0,0,0,0,0,0,0
"4","1","10/8/2018",1,4,0,0,0,0,3,2,0
"5","1","10/8/2018",1,0,0,0,0,0,6,0,0
"6","1","10/8/2018",4,4,0,0,0,0,0,0,0
"7","1","10/8/2018",7,3,0,0,0,0,0,0,0
"8","1","10/8/2018",15,1,0,0,0,0,8,0,0
"9","1","10/8/2018",5,1,0,0,0,0,2,1,0
"10","1","10/8/2018",6,0,0,0,0,0,0,0,0
"1","1","10/15/2018",6,1,0,0,0,0,0,0,0
"2","1","10/15/2018",2,0,0,0,0,0,0,0,0
"3","1","10/15/2018",5,3,0,0,0,0,7,0,0
"4","1","10/15/2018",5,2,0,0,0,0,0,0,0
"5","1","10/15/2018",15,2,0,0,0,0,0,0,0
"6","1","10/15/2018",2,0,0,0,0,0,4,1,0
"7","1","10/15/2018",0,2,0,0,0,0,0,0,0
"8","1","10/15/2018",3,1,0,0,0,0,8,0,0
"9","1","10/15/2018",5,3,0,0,0,0,6,0,0
"10","1","10/15/2018",1,1,0,0,0,0,0,0,0
"1","1","10/22/2018",1,1,0,0,0,0,0,0,0
"2","1","10/22/2018",14,1,0,0,0,0,0,0,0
"3","1","10/22/2018",3,0,0,0,0,0,6,1,0
"4","1","10/22/2018",6,2,0,0,0,0,6,0,0
"5","1","10/22/2018",3,0,0,0,0,0,0,0,0
"6","1","10/22/2018",3,4,0,0,0,0,5,3,0
"7","1","10/22/2018",7,6,0,0,0,0,0,0,0
"8","1","10/22/2018",11,0,0,0,0,0,5,0,0
"9","1","10/22/2018",8,0,0,0,0,0,0,0,0
"10","1","10/22/2018",11,2,0,0,0,0,0,0,0
"ST190441","1","6/17/2019",0,0,1,0,2,1,21,2,0
"ST190441","1","6/17/2019",1,0,0,0,1,0,20,2,0
"ST190442","1","6/17/2019",0,0,0,0,1,0,0,0,0
"ST190442","1","6/17/2019",0,0,0,0,0,0,0,0,0
"ST190443","1","6/17/2019",1,0,0,0,1,0,19,0,0
"ST190443","1","6/17/2019",0,0,0,0,3,0,23,2,1
"ST190444","1","6/17/2019",0,0,1,0,1,0,25,1,0
"ST190444","1","6/17/2019",0,1,0,0,1,2,18,1,0
"ST190445","1","6/17/2019",1,2,0,0,1,0,28,5,0
"ST190445","1","6/17/2019",0,0,0,0,1,0,19,0,0
"ST190481","1","6/24/2019",0,2,0,0,0,1,25,3,0
"ST190481","1","6/24/2019",0,2,1,0,2,0,17,0,1
"ST190482","1","6/24/2019",1,0,0,0,3,2,47,1,3
"ST190482","1","6/24/2019",0,1,0,0,1,5,27,1,0
"ST190483","1","6/24/2019",0,1,0,0,1,1,57,2,0
"ST190483","1","6/24/2019",1,0,1,0,0,3,27,1,0
"ST190484","1","6/24/2019",0,3,0,0,3,3,33,2,0
"ST190484","1","6/24/2019",0,2,0,0,1,0,17,0,0
"ST190485","1","6/24/2019",2,0,3,0,0,1,56,0,0
"ST190485","1","6/24/2019",2,0,0,0,0,3,44,0,0
"ST190521","1","7/1/2019",1,0,1,0,0,1,17,0,0
"ST190521","1","7/1/2019",0,2,0,0,0,2,26,1,0
"ST190522","1","7/1/2019",2,0,2,0,0,2,25,2,0
"ST190522","1","7/1/2019",1,0,1,0,0,1,47,1,2
"ST190523","1","7/1/2019",0,1,0,0,1,1,35,2,1
"ST190523","1","7/1/2019",0,1,2,0,0,1,31,1,0
"ST190524","1","7/1/2019",0,4,2,0,2,1,22,6,3
"ST190524","1","7/1/2019",4,5,0,0,2,2,40,13,1
"ST190525","1","7/1/2019",0,2,1,0,1,1,28,0,0
"ST190525","1","7/1/2019",1,0,0,0,0,3,56,1,2
"ST190561","1","7/8/2019",2,1,0,0,2,2,35,1,1
"ST190561","1","7/8/2019",1,0,1,0,1,1,38,4,7
"ST190562","1","7/8/2019",1,0,1,0,1,0,22,1,6
"ST190562","1","7/8/2019",1,0,0,0,0,2,22,1,8
"ST190563","1","7/8/2019",0,1,0,0,1,2,20,2,3
"ST190563","1","7/8/2019",3,2,1,0,0,1,45,2,6
"ST190564","1","7/8/2019",0,2,0,0,0,1,18,1,2
"ST190564","1","7/8/2019",1,1,0,0,0,1,19,3,4
"ST190565","1","7/8/2019",0,2,1,0,1,2,30,3,7
"ST190565","1","7/8/2019",1,2,0,0,0,2,26,0,5
"ST190601","1","7/15/2019",4,0,1,0,0,3,22,4,7
"ST190601","1","7/15/2019",0,2,0,0,0,1,12,1,2
"ST190602","1","7/15/2019",4,3,0,0,1,0,29,2,6
"ST190602","1","7/15/2019",0,0,0,0,0,1,15,1,5
"ST190603","1","7/15/2019",1,1,0,0,0,1,13,2,3
"ST190603","1","7/15/2019",6,0,1,0,0,0,9,3,4
"ST190604","1","7/15/2019",1,1,0,0,0,3,18,0,6
"ST190604","1","7/15/2019",4,1,2,0,1,1,23,1,6
"ST190605","1","7/15/2019",2,0,0,0,0,3,15,0,8
"ST190605","1","7/15/2019",4,1,0,0,0,0,13,2,11
"ST190641","1","7/22/2019",2,4,1,0,2,3,8,1,2
"ST190641","1","7/22/2019",0,1,0,0,0,1,12,3,5
"ST190642","1","7/22/2019",2,1,1,0,0,0,13,1,4
"ST190642","1","7/22/2019",3,0,0,0,0,0,9,0,3
"ST190643","1","7/22/2019",0,1,0,0,0,0,11,2,3
"ST190643","1","7/22/2019",0,0,0,0,0,0,17,2,2
"ST190644","1","7/22/2019",0,0,0,0,0,1,9,2,2
"ST190644","1","7/22/2019",1,1,0,0,0,3,7,0,2
"ST190645","1","7/22/2019",0,0,1,0,0,6,16,1,0
"ST190645","1","7/22/2019",1,0,0,0,0,2,10,1,0
"ST190681","1","7/29/2019",0,0,0,0,0,0,6,2,0
"ST190681","1","7/29/2019",1,0,0,0,1,1,12,3,0
"ST190682","1","7/29/2019",3,1,0,0,0,0,8,1,2
"ST190682","1","7/29/2019",2,0,0,0,0,1,10,3,2
"ST190683","1","7/29/2019",2,2,1,0,0,1,8,1,0
"ST190683","1","7/29/2019",3,1,0,0,0,0,19,1,0
"ST190684","1","7/29/2019",3,0,0,0,0,1,10,0,0
"ST190684","1","7/29/2019",1,0,0,0,0,1,11,5,1
"ST190685","1","7/29/2019",3,0,0,0,2,0,10,2,3
"ST190685","1","7/29/2019",5,7,0,0,1,0,13,5,1
"ST190721","1","8/5/2019",0,1,0,0,0,0,11,2,1
"ST190721","1","8/5/2019",0,5,0,0,0,1,14,0,0
"ST190722","1","8/5/2019",0,0,0,0,0,1,7,1,0
"ST190722","1","8/5/2019",0,4,1,0,0,1,7,3,2
"ST190723","1","8/5/2019",0,3,0,0,0,0,9,2,1
"ST190723","1","8/5/2019",0,2,0,0,1,2,7,1,1
"ST190724","1","8/5/2019",0,2,0,0,0,0,9,2,0
"ST190724","1","8/5/2019",1,1,0,0,0,2,9,3,3
"ST190725","1","8/5/2019",0,0,0,0,1,1,8,2,0
"ST190725","1","8/5/2019",2,16,0,0,4,0,4,3,0
"ST190761","1","8/12/2019",0,1,0,0,1,0,14,1,2
"ST190761","1","8/12/2019",0,17,0,0,1,1,5,5,2
"ST190762","1","8/12/2019",0,3,0,0,0,1,8,3,0
"ST190762","1","8/12/2019",1,5,0,0,0,0,15,4,1
"ST190763","1","8/12/2019",0,2,1,0,0,1,5,0,0
"ST190763","1","8/12/2019",0,4,0,0,1,0,8,4,1
"ST190764","1","8/12/2019",0,8,1,0,0,2,5,0,2
"ST190764","1","8/12/2019",0,2,0,0,0,2,9,0,1
"ST190765","1","8/12/2019",0,3,0,0,0,2,14,2,2
"ST190765","1","8/12/2019",2,2,0,0,0,1,10,3,1
"ST190801","1","8/19/2019",1,3,0,0,0,0,11,4,0
"ST190801","1","8/19/2019",0,2,0,0,0,1,10,0,0
"ST190802","1","8/19/2019",0,3,0,0,1,0,8,1,0
"ST190802","1","8/19/2019",1,4,0,0,0,0,6,0,0
"ST190803","1","8/19/2019",1,9,1,0,0,0,9,0,0
"ST190803","1","8/19/2019",0,0,0,0,1,1,6,2,0
"ST190804","1","8/19/2019",0,5,0,0,1,0,6,2,2
"ST190804","1","8/19/2019",1,14,0,0,0,0,3,2,0
"ST190805","1","8/19/2019",0,3,0,0,0,0,10,3,0
"ST190805","1","8/19/2019",1,4,0,0,0,1,12,4,0
"ST190841","1","8/26/2019",0,2,0,0,0,1,4,1,2
"ST190841","1","8/26/2019",0,2,0,0,0,0,2,2,0
"ST190842","1","8/26/2019",0,4,0,0,0,0,5,1,1
"ST190842","1","8/26/2019",0,3,0,0,0,0,7,6,0
"ST190843","1","8/26/2019",0,5,2,0,1,0,7,2,0
"ST190843","1","8/26/2019",0,1,1,0,1,0,5,1,0
"ST190844","1","8/26/2019",0,2,0,0,0,0,5,2,1
"ST190844","1","8/26/2019",1,4,0,0,0,1,4,0,0
"ST190845","1","8/26/2019",0,7,2,0,2,2,7,3,0
"ST190845","1","8/26/2019",0,4,0,0,4,1,11,3,0
"ST190041","1","4/1/2019",0,3,0,0,0,0,1,0,0
"ST190041","1","4/1/2019",0,0,0,0,0,0,1,0,0
"1","1","4/8/2019",1,0,0,0,0,0,1,0,0
"2","0","4/8/2019",1,0,0,0,0,0,0,0,1
"ST190081","0","4/15/2019",1,0,0,0,0,0,0,0,0
"ST190081","0","4/15/2019",2,0,0,0,0,0,0,0,0
"ST190121","0","4/22/2019",0,2,0,0,0,0,0,0,0
"ST190121","0","4/22/2019",0,0,0,0,0,0,1,0,0
"ST190161","0","4/29/2019",4,0,0,0,0,0,4,0,5
"ST190161","0","4/29/2019",2,0,0,0,0,1,2,1,1
"ST190162","0","4/29/2019",0,0,0,0,0,0,6,0,4
"ST190162","0","4/29/2019",1,0,0,0,0,0,11,0,0
"ST190163","0","4/29/2019",2,0,0,0,0,0,7,0,1
"ST190163","0","4/29/2019",3,0,0,0,0,0,7,0,0
"ST190164","0","4/29/2019",2,0,0,0,1,0,6,0,3
"ST190164","0","4/29/2019",0,0,0,0,0,0,3,0,5
"ST190165","0","4/29/2019",0,0,0,0,0,1,2,0,0
"ST190165","0","4/29/2019",1,0,0,0,0,0,0,0,0
"ST190361","0","6/2/2019",1,0,0,0,1,0,34,0,1
"ST190361","0","6/2/2019",1,0,1,0,1,0,38,0,1
"ST190362","0","6/2/2019",0,0,0,0,3,0,33,0,3
"ST190362","0","6/2/2019",1,0,0,0,0,1,41,0,6
"ST190363","0","6/2/2019",1,0,0,0,0,0,27,0,0
"ST190363","0","6/2/2019",2,0,0,0,0,0,24,0,1
"ST190364","0","6/2/2019",6,0,0,0,0,0,52,0,0
"ST190364","0","6/2/2019",1,0,0,0,0,0,31,0,1
"ST190365","0","6/2/2019",2,1,0,0,0,0,26,0,0
"ST190365","0","6/2/2019",0,1,0,0,0,0,39,0,1
"ST190401","0","6/10/2019",0,4,0,0,1,1,80,0,1
"ST190401","0","6/10/2019",2,5,0,0,1,1,46,0,1
"ST190402","0","6/10/2019",6,0,0,0,2,1,53,0,4
"ST190402","0","6/10/2019",9,0,0,0,2,2,35,0,5
"ST190403","0","6/10/2019",1,1,0,0,0,0,52,0,3
"ST190403","0","6/10/2019",3,0,0,0,5,0,40,0,2
"ST190404","0","6/10/2019",4,2,0,0,0,2,46,0,4
"ST190404","0","6/10/2019",3,0,0,0,0,1,63,1,2
"ST190405","0","6/10/2019",4,0,0,0,0,1,92,0,7
"ST190405","0","6/10/2019",0,0,0,0,1,2,89,0,1
"ST190201","0","5/6/2019",6,1,0,0,0,0,12,0,1
"ST190201","0","5/6/2019",3,0,0,0,0,0,10,0,0
"ST190202","0","5/6/2019",3,0,0,0,0,0,8,0,1
"ST190202","0","5/6/2019",5,1,0,0,0,0,16,0,0
"ST190203","0","5/6/2019",3,2,0,0,0,0,25,0,0
"ST190203","0","5/6/2019",2,0,0,0,0,0,33,0,1
"ST190204","0","5/6/2019",0,0,0,0,0,0,11,0,2
"ST190204","0","5/6/2019",2,0,0,0,0,1,6,0,0
"ST190205","0","5/6/2019",4,0,0,0,0,0,14,0,1
"ST190205","0","5/6/2019",2,0,0,0,0,2,15,0,1
"ST190241","0","5/13/2019",0,0,0,0,0,0,23,0,0
"ST190241","0","5/13/2019",0,0,0,0,0,0,38,0,2
"ST190242","0","5/13/2019",0,0,0,0,0,0,94,0,4
"ST190242","0","5/13/2019",10,0,0,0,0,1,159,0,4
"ST190243","0","5/13/2019",0,1,0,0,0,1,55,0,1
"ST190243","0","5/13/2019",0,0,0,0,0,2,67,0,1
"ST190244","0","5/13/2019",1,0,0,0,0,1,47,0,2
"ST190244","0","5/13/2019",3,0,0,0,0,2,32,0,2
"ST190245","0","5/13/2019",4,1,0,0,1,1,94,0,1
"ST190245","0","5/13/2019",8,0,0,0,0,0,59,0,2
"ST190281","0","5/20/2019",3,0,0,0,0,1,108,0,8
"ST190281","0","5/20/2019",0,0,0,0,0,1,78,0,4
"ST190282","0","5/20/2019",0,0,0,0,0,0,0,0,0
"ST190282","0","5/20/2019",0,0,0,0,0,0,0,0,0
"ST190283","0","5/20/2019",6,0,0,0,0,3,67,0,2
"ST190283","0","5/20/2019",3,0,0,0,0,0,100,0,5
"ST190284","0","5/20/2019",1,0,0,0,0,1,156,0,14
"ST190284","0","5/20/2019",3,0,0,0,0,1,188,0,10
"ST190285","0","5/20/2019",1,0,0,0,0,1,169,0,3
"ST190285","0","5/20/2019",3,0,0,0,0,1,78,0,1
"ST190321","0","5/28/2019",5,0,0,0,0,1,27,0,3
"ST190321","0","5/28/2019",1,0,0,0,0,1,142,0,5
"ST190322","0","5/28/2019",6,0,0,0,0,2,174,0,11
"ST190322","0","5/28/2019",4,0,0,0,0,4,165,0,8
"ST190323","0","5/28/2019",1,0,0,0,2,2,211,0,8
"ST190323","0","5/28/2019",7,0,0,0,2,1,219,0,3
"ST190324","0","5/28/2019",4,3,0,0,1,1,268,0,2
"ST190324","0","5/28/2019",5,0,0,0,0,0,66,0,0
"ST190325","0","5/28/2019",7,0,0,0,3,0,280,0,7
"ST190325","0","5/28/2019",12,0,0,0,0,0,145,0,8
"ST190881","0","9/3/2019",1,2,0,0,0,0,10,1,0
"ST190881","0","9/3/2019",0,4,0,0,0,0,8,3,0
"ST190882","0","9/3/2019",0,2,0,0,0,0,8,2,0
"ST190882","0","9/3/2019",2,4,0,0,0,1,4,2,1
"ST190883","0","9/3/2019",0,3,0,0,1,1,16,1,0
"ST190883","0","9/3/2019",0,4,0,0,0,1,6,1,0
"ST190884","0","9/3/2019",0,4,0,0,0,1,5,5,0
"ST190884","0","9/3/2019",0,1,0,0,0,1,7,3,1
"ST190885","0","9/3/2019",0,0,0,0,0,1,10,4,0
"ST190885","0","9/3/2019",0,0,0,0,0,1,9,4,0
"ST190921","0","9/9/2019",0,1,0,0,0,0,5,1,0
"ST190921","0","9/9/2019",0,0,0,0,0,1,8,0,0
"ST190922","0","9/9/2019",0,1,0,0,0,0,3,1,0
"ST190922","0","9/9/2019",0,0,0,0,0,0,4,1,0
"ST190923","0","9/9/2019",0,0,0,0,0,0,10,0,0
"ST190923","0","9/9/2019",1,1,0,0,0,0,6,3,0
"ST190924","0","9/9/2019",0,0,0,0,0,0,17,1,0
"ST190924","0","9/9/2019",0,1,0,0,0,1,4,3,0
"ST190925","0","9/9/2019",0,1,1,0,0,0,6,0,0
"ST190925","0","9/9/2019",0,0,1,0,0,0,12,1,0
"ST190961","0","9/16/2019",0,0,0,0,0,1,6,1,1
"ST190961","0","9/16/2019",2,1,0,0,0,0,2,1,0
"ST190962","0","9/16/2019",1,0,0,0,1,0,7,2,0
"ST190962","0","9/16/2019",2,1,0,0,0,0,9,0,0
"ST190963","0","9/16/2019",1,1,0,0,0,0,4,1,0
"ST190963","0","9/16/2019",0,0,0,0,0,1,5,4,0
"ST190964","0","9/16/2019",0,1,0,0,1,1,8,7,2
"ST190964","0","9/16/2019",0,0,1,0,0,2,6,3,0
"ST190965","0","9/16/2019",0,0,0,0,0,1,11,1,0
"ST190965","0","9/16/2019",1,0,1,0,0,0,6,2,0
"ST191001","0","9/23/2019",1,1,0,0,0,2,6,0,1
"ST191001","0","9/23/2019",3,0,0,0,0,0,5,0,1
"ST191002","0","9/23/2019",1,2,0,0,0,0,4,0,0
"ST191002","0","9/23/2019",0,2,0,0,0,0,9,1,0
"ST191003","0","9/23/2019",0,0,0,0,0,0,7,1,2
"ST191003","0","9/23/2019",0,1,0,0,0,1,7,1,0
"ST191004","0","9/23/2019",4,0,1,0,0,1,4,5,0
"ST191004","0","9/23/2019",0,0,0,0,0,1,8,2,1
"ST191005","0","9/23/2019",0,2,0,0,0,0,7,1,0
"ST191015","0","9/23/2019",0,1,0,0,0,0,7,1,0
"ST191041","0","9/30/2019",0,0,0,0,0,0,7,1,0
"ST191041","0","9/30/2019",1,0,0,0,0,0,6,1,0
"ST191042","0","9/30/2019",1,0,0,0,0,0,3,0,0
"ST191042","0","9/30/2019",0,0,0,0,0,0,3,0,0
"ST191043","0","9/30/2019",2,0,0,0,0,0,7,0,0
"ST191043","0","9/30/2019",0,0,0,0,0,0,7,1,0
"ST191044","0","9/30/2019",0,0,0,0,0,0,4,1,0
"ST191044","0","9/30/2019",0,1,0,0,0,0,3,2,0
"ST191045","0","9/30/2019",0,0,0,0,0,1,3,2,3
