Sample ID,Trap #,Date,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,,Other
ST190414,B,6/10/2019,3,6/10/2019,5,9,2,,1,7,216,,,21
ST190415,A,6/10/2019,3,6/10/2019,1,8,2,,1,5,239,,,10
ST190415,B,6/10/2019,3,6/10/2019,3,14,3,,1,6,204,,,
ST190051,A,4/1/2019,3,4/1/2019,,1,,,,,,,,
ST190051,B,4/1/2019,3,4/1/2019,,,,,,1,,,,
3,A,4/8/2019,3,4/8/2019,1,2,,,,,,,,
4,B,4/8/2019,3,4/8/2019,2,1,,,,,,,,
ST190091,A,4/15/2019,3,4/15/2019,1,,,,,,,,,
ST190091,B,4/15/2019,3,4/15/2019,1,,,,,,,,,
ST190031,A,4/22/2019,3,4/22/2019,0,,,,,,,,,
ST190031,B,4/22/2019,3,4/22/2019,2,,,,,,,,,
ST190171,A,4/29/2019,3,4/29/2019,8,1,,,,1,7,,,2
ST190171,B,4/29/2019,3,4/29/2019,9,,,,1,1,6,,,2
ST190172,A,4/29/2019,3,4/29/2019,2,1,,,,,3,,,2
ST190172,B,4/29/2019,3,4/29/2019,1,,,,,,5,,,2
ST190173,A,4/29/2019,3,4/29/2019,4,,1,,,,4,1,,1
ST190173,B,4/29/2019,3,4/29/2019,2,2,,,1,,4,,,2
ST190174,A,4/29/2019,3,4/29/2019,2,,,,,,4,,,5
ST190174,B,4/29/2019,3,4/29/2019,3,,,,,,4,,,4
ST190175,A,4/29/2019,3,4/29/2019,5,,,,1,1,5,,,2
ST190175,B,4/29/2019,3,4/29/2019,3,5,,,,,11,,,5
ST190211,A,5/6/2019,3,5/6/2019,2,1,,,,,11,,,2
ST190211,B,5/6/2019,3,5/6/2019,10,,,,,,15,,,2
ST190212,A,5/6/2019,3,5/6/2019,7,,,,,,12,1,,1
ST190212,B,5/6/2019,3,5/6/2019,6,1,,,,,18,,,3
ST190213,A,5/6/2019,3,5/6/2019,7,,,,,,10,1,,1
ST190213,B,5/6/2019,3,5/6/2019,8,,,,,,25,,,1
ST190214,A,5/6/2019,3,5/6/2019,19,1,,,1,,27,,,3
ST190214,B,5/6/2019,3,5/6/2019,4,1,,,,,13,,,
ST190215,A,5/6/2019,3,5/6/2019,4,1,,,,,6,1,,1
ST190215,B,5/6/2019,3,5/6/2019,10,1,,,,,10,,,5
ST190251,A,5/13/2019,3,5/13/2019,5,,,,,1,83,,,1
ST190251,B,5/13/2019,3,5/13/2019,1,,,,,,52,1,,1
ST190252,A,5/13/2019,3,5/13/2019,6,,1,,,,65,,,4
ST190252,B,5/13/2019,3,5/13/2019,4,3,,,,,67,1,,2
ST190253,A,5/13/2019,3,5/13/2019,5,1,1,,,,41,1,,
ST190253,B,5/13/2019,3,5/13/2019,3,1,,,,,28,,,1
ST190254,A,5/13/2019,3,5/13/2019,2,2,,,,,63,3,,2
ST190254,B,5/13/2019,3,5/13/2019,,,,,,,24,,,3
ST190255,A,5/13/2019,3,5/13/2019,4,,,,,,25,1,,2
ST190255,B,5/13/2019,3,5/13/2019,4,,,,,,58,,,5
ST190291,A,5/20/2019,3,5/20/2019,4,1,,,,1,158,,,7
ST190291,B,5/20/2019,3,5/20/2019,5,,,,,1,162,,,6
ST190292,A,5/20/2019,3,5/20/2019,1,1,,,,3,119,,,11
ST190292,B,5/20/2019,3,5/20/2019,2,,,,1,,90,3,,7
ST190293,A,5/20/2019,3,5/20/2019,7,,,,,1,110,8,,5
ST190293,B,5/20/2019,3,5/20/2019,12,,,,,3,219,11,,13
ST190294,A,5/20/2019,3,5/20/2019,2,1,,,,1,143,4,,10
ST190294,B,5/20/2019,3,5/20/2019,4,2,,,,2,92,5,,8
ST190295,A,5/20/2019,3,5/20/2019,6,1,,,,2,116,3,,11
ST190295,B,5/20/2019,3,5/20/2019,12,1,,,,4,158,7,,4
ST190331,A,5/28/2020,3,5/28/2019,2,,,,1,3,134,13,,8
ST190331,B,5/28/2019,3,5/28/2019,7,2,,,1,,194,5,,11
ST190332,A,5/28/2019,3,5/28/2019,2,1,,1,,2,293,11,,13
ST190332,B,5/28/2019,3,5/28/2019,4,1,,,2,2,76,,,2
ST190333,A,5/28/2019,3,5/28/2019,5,,1,,,1,329,,,11
ST190333,B,5/28/2019,3,5/28/2019,12,,,,,6,221,5,,9
ST190334,A,5/28/2019,3,5/28/2019,19,4,,,,4,263,11,,4
ST190334,B,5/28/2019,3,5/28/2019,10,7,,,,,149,2,,5
ST190335,A,5/28/2019,3,5/28/2019,5,,,,1,1,192,12,,
ST190335,B,5/28/2019,3,5/28/2019,13,1,,,,7,186,9,,7
