Sample ID,y-m-d,Side,Watershed,m/d/y,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other,
ST190808,8/19/2019,B,2,8/19/2019,,1,,,,,7,,,,
ST190809,8/19/2019,A,2,8/19/2019,,,,,,1,13,1,,2,
ST190809,8/19/2019,B,2,8/19/2019,1,5,,,,3,19,1,,1,
ST190810,8/19/2019,A,2,8/19/2019,,2,4,,,,24,5,,1,
ST190810,8/19/2019,B,2,8/19/2019,1,3,3,,,,6,2,,1,
ST190766,8/12/2019,A,2,8/12/2019,,,,,2,,16,1,,1,
ST190766,8/12/2019,B,2,8/12/2019,1,5,,,3,1,16,14,,1,
ST190767,8/12/2019,A,2,8/12/2019,,5,1,,,1,16,2,,,
ST190767,8/12/2019,B,2,8/12/2019,,3,2,,,2,6,2,,1,
ST190768,8/12/2019,A,2,8/12/2019,,,1,,,,17,1,,1,
ST190768,8/12/2019,B,2,8/12/2019,3,3,,,,5,15,,,2,
ST190769,8/12/2019,A,2,8/12/2019,4,2,,,,2,25,3,,2,
ST190769,8/12/2019,B,2,8/12/2019,,4,1,,1,1,15,3,,2,
ST190770,8/12/2019,A,2,8/12/2019,1,1,,,,2,17,3,,1,
ST190770,8/12/2019,B,2,8/12/2019,,3,,,,,21,14,,2,
ST190726,8/5/2019,A,2,8/5/2019,,2,,,,1,12,8,,,
ST190726,8/5/2019,B,2,8/5/2019,6,,,,,,25,7,,1,
ST190727,8/5/2019,A,2,8/5/2019,,,1,,1,,12,5,,2,
ST190727,8/5/2019,B,2,8/5/2019,,2,,,,1,13,3,,4,
ST190728,8/5/2019,A,2,8/5/2019,2,,,,2,1,13,4,,,
ST190728,8/5/2019,B,2,8/5/2019,2,1,,,1,1,5,48,,,
ST190729,8/5/2019,A,2,8/5/2019,3,4,,,,,17,6,,,
ST190729,8/5/2019,B,2,8/5/2019,,2,,,,1,21,3,,1,
ST190730,8/5/2019,A,2,8/5/2019,,3,,,,1,30,6,,1,
ST190730,8/5/2019,B,2,8/5/2019,,,,,,3,22,2,,1,
ST190686,7/29/2019,A,2,7/29/2019,5,1,,,,1,15,20,,1,
ST190686,7/29/2019,B,2,7/29/2019,7,,1,,,,17,14,1,2,
ST190687,7/29/2019,A,2,7/29/2019,2,,,,,,23,5,,2,
ST190687,7/29/2019,B,2,7/29/2019,5,1,,,,1,40,5,,,
ST190688,7/29/2019,A,2,7/29/2019,6,2,1,,,,10,4,,4,
ST190688,7/29/2019,B,2,7/29/2019,4,1,,,,1,21,10,,,
ST190689,7/29/2019,A,2,7/29/2019,3,2,,,,1,5,5,,5,
ST190689,7/29/2019,B,2,7/29/2019,5,2,,,1,,21,10,,,
ST190690,7/29/2019,A,2,7/29/2019,1,,,,,,9,2,1,1,
ST190690,7/29/2019,B,2,7/29/2019,1,,,,,,10,5,,,
ST190646,7/22/2019,A,2,7/22/2019,4,1,,,,2,9,3,1,3,
ST190646,7/22/2019,B,2,7/22/2019,7,,1,,1,2,26,15,1,7,
ST190647,7/22/2019,A,2,7/22/2019,2,,,,,3,16,12,1,3,
ST190647,7/22/2019,B,2,7/22/2019,1,,,,,2,30,1,,5,
ST190648,7/22/2019,A,2,7/22/2019,6,2,,,,2,19,8,,4,
ST190648,7/22/2019,B,2,7/22/2019,1,,,,2,3,17,4,,11,
ST190649,7/22/2019,A,2,7/22/2019,3,,,,1,,13,4,1,13,
ST190649,7/22/2019,B,2,7/22/2019,5,,,,,4,32,3,1,11,
ST190650,7/22/2019,A,2,7/22/2019,5,1,,,,1,7,7,,2,
ST190650,7/22/2019,B,2,7/22/2019,,3,1,,1,1,24,7,,6,
ST190606,7/15/2019,A,2,7/15/2019,1,1,1,,,,35,8,,44,
ST190606,7/15/2019,B,2,7/15/2019,,1,1,,1,4,16,4,,31,
ST190607,7/15/2019,A,2,7/15/2019,12,1,,,,,30,9,,18,
ST190607,7/15/2019,B,2,7/15/2019,3,,,,,1,23,8,,10,
ST190608,7/15/2019,A,2,7/15/2019,1,1,1,,,2,15,,1,5,
ST190608,7/15/2019,B,2,7/15/2019,12,,1,,,1,28,7,,18,
ST190609,7/15/2019,A,2,7/15/2019,,,,,,1,34,7,,7,
ST190609,7/15/2019,B,2,7/15/2019,5,,,,,3,35,6,,12,
ST190610,7/15/2019,A,2,7/15/2019,3,,,,2,,33,9,1,17,
ST190610,7/15/2019,B,2,7/15/2019,1,2,,,4,6,16,10,,28,
ST190566,7/8/2019,A,2,7/8/2019,,,,,,,23,1,,1,
ST190566,7/8/2019,B,2,7/8/2019,4,,,,1,1,51,7,,4,
ST190567,7/8/2019,A,2,7/8/2019,,,,,1,1,44,3,,10,
ST190567,7/8/2019,B,2,7/8/2019,,1,,,,2,61,7,,11,
ST190568,7/8/2019,A,2,7/8/2019,3,1,1,,,1,51,24,,17,
ST190568,7/8/2019,B,2,7/8/2019,,,,,,1,25,6,,7,
ST190569,7/8/2019,A,2,7/8/2019,1,2,2,,,8,56,7,1,20,
ST190569,7/8/2019,B,2,7/8/2019,,3,,,3,,50,1,,16,
ST190570,7/8/2019,A,2,7/8/2019,1,,1,,3,3,22,1,,17,
ST190570,7/8/2019,B,2,7/8/2019,2,4,,,,5,51,3,,18,
ST190526,7/1/2019,A,2,7/1/2019,,2,,,3,5,70,,,1,
ST190526,7/1/2019,B,2,7/1/2019,,3,,,2,3,53,6,,4,
ST190527,7/1/2019,A,2,7/1/2019,,,1,,,1,90,9,,,
ST190527,7/1/2019,B,2,7/1/2019,1,4,,,,2,37,1,,1,
ST190528,7/1/2019,A,2,7/1/2019,1,,,,,,18,1,,3,
ST190528,7/1/2019,B,2,7/1/2019,4,4,,,,2,43,3,,,
ST190529,7/1/2019,A,2,7/1/2019,3,1,,,1,5,77,10,,,
ST190529,7/1/2019,B,2,7/1/2019,3,,,,1,6,64,7,,,
ST190530,7/1/2019,A,2,7/1/2019,,2,,,3,4,58,9,,3,
ST190530,7/1/2019,B,2,7/1/2019,,,2,,1,2,27,5,,1,
ST190486,6/24/2019,A,2,6/24/2019,1,2,,1,,1,94,9,,,
ST190486,6/24/2019,B,2,6/24/2019,1,,,,,,14,1,,1,
ST190487,6/24/2019,A,2,6/24/2019,5,1,1,,,3,69,1,,,
ST190487,6/24/2019,B,2,6/24/2019,1,1,1,,1,,39,5,,1,
ST190488,6/24/2019,A,2,6/24/2019,1,,4,,,4,94,7,,,
ST190488,6/24/2019,B,2,6/24/2019,2,,2,,1,1,71,6,,,
ST190489,6/24/2019,A,2,6/24/2019,4,1,,,,4,75,4,,,
ST190489,6/24/2019,B,2,6/24/2019,,,4,,,1,109,,,,
ST190490,6/24/2019,A,2,6/24/2019,5,,1,,1,2,55,8,,1,
ST190490,6/24/2019,B,2,6/24/2019,1,1,2,,,1,43,5,,,
ST190446,6/17/2019,A,2,6/17/2019,5,4,,,1,,31,2,,,
ST190446,6/17/2019,B,2,6/17/2019,,,,,2,,35,5,,1,
ST190447,6/17/2019,A,2,6/17/2019,2,,,,1,1,29,5,,1,
ST190447,6/17/2019,B,2,6/17/2019,5,1,,,,1,36,1,,1,
ST190448,6/17/2019,A,2,6/17/2019,2,,,,,,40,4,,1,
ST190448,6/17/2019,B,2,6/17/2019,5,2,,,1,1,46,1,,2,
ST190449,6/17/2019,A,2,6/17/2019,,,,,,,35,6,,1,
ST190449,6/17/2019,B,2,6/17/2019,6,4,,,,1,35,7,,,
ST190450,6/17/2019,A,2,6/17/2019,2,,,,,1,42,5,,,
ST190450,6/17/2019,B,2,6/17/2019,3,3,,,,1,44,4,,,
ST190406,6/10/2019,A,2,6/10/2019,,13,,,2,1,101,,,5,
ST190406,6/10/2019,B,2,6/10/2019,3,7,2,,2,2,161,1,,3,
ST190407,6/10/2019,A,2,6/10/2019,5,7,1,,2,3,89,1,,1,
ST190407,6/10/2019,B,2,6/10/2019,3,1,,,,1,62,,,5,
ST190408,6/10/2019,A,2,6/10/2019,,1,1,,,2,45,,,1,
ST190408,6/10/2019,B,2,6/10/2019,,5,2,,5,2,141,,,,
ST190409,6/10/2019,A,2,6/10/2019,1,4,1,1,1,1,175,,,4,
ST190409,6/10/2019,B,2,6/10/2019,4,3,,,,3,97,,,3,
ST190410,6/10/2019,A,2,6/10/2019,3,11,,,1,1,91,2,,4,
ST190410,6/10/2019,B,2,6/10/2019,5,5,1,,1,1,132,,,3,
ST190411,6/10/2019,A,2,6/10/2019,15,15,5,1,2,5,178,2,,14,
ST190411,6/10/2019,B,2,6/10/2019,15,14,1,,1,9,105,,,1,
ST190412,6/10/2019,A,2,6/10/2019,18,8,1,,1,21,213,,,5,
ST190412,6/10/2019,B,2,6/10/2019,7,11,,,2,17,242,,,4,
ST190413,6/10/2019,A,2,6/10/2019,10,10,3,,1,6,298,,,9,
ST190413,6/10/2019,B,2,6/10/2019,10,18,5,,5,7,139,,,9,
ST190414,6/10/2019,A,2,6/10/2019,8,19,2,,1,9,230,,,5,
ST190414,6/10/2019,B,2,6/10/2019,5,9,2,,1,7,216,,,21,
ST190415,6/10/2019,A,2,6/10/2019,1,8,2,,1,5,239,,,10,
ST190415,6/10/2019,B,2,6/10/2019,3,14,3,,1,6,204,,,,
ST190366,6/2/2019,A,2,6/2/2019,5,2,,,,,50,1,,,
ST190366,6/2/2019,B,2,6/2/2019,1,2,,,1,2,96,,,5,
ST190367,6/2/2019,A,2,6/2/2019,8,,,,1,,87,,,4,
ST190367,6/2/2019,B,2,6/2/2019,1,1,,,,,61,,,1,
ST190368,6/2/2019,A,2,6/2/2019,1,2,,,,,54,,,,
ST190368,6/2/2019,B,2,6/2/2019,2,,,,2,,60,,,2,
ST190369,6/2/2019,A,2,6/2/2019,,,,,2,2,58,,,2,
ST190369,6/2/2019,B,2,6/2/2019,3,,,,5,,82,,,,
ST190370,6/2/2019,A,2,6/2/2019,4,1,,,2,1,75,1,,1,
ST190370,6/2/2019,B,2,6/2/2019,3,,,,,,77,,,1,
ST190371,6/2/2019,A,2,6/2/2019,6,1,,,1,2,71,,,5,
ST190371,6/2/2019,B,2,6/2/2019,,,,,,2,64,,,4,
ST190372,6/2/2019,A,2,6/2/2019,12,4,,,,3,82,1,,2,
ST190372,6/2/2019,B,2,6/2/2019,7,4,,,,,55,,,1,
ST190373,6/2/2019,A,2,6/2/2019,3,1,,,,,65,,,4,
ST190373,6/2/2019,B,2,6/2/2019,4,4,,,,1,91,,,1,
ST190374,6/2/2019,A,2,6/2/2019,4,,1,,,,72,,,,
ST190374,6/2/2019,B,2,6/2/2019,6,1,,,,,61,,,,
ST190375,6/2/2019,A,2,6/2/2019,16,2,,,,,59,,,4,
ST190375,6/2/2019,B,2,6/2/2019,18,,,,,,78,,,1,
ST190326,5/28/2019,A,2,5/28/2019,3,4,,,3,2,138,,,12,
ST190326,5/28/2019,B,2,5/28/2019,6,,,,2,2,172,,,8,
ST190327,5/28/2019,A,2,5/28/2019,8,1,,,1,,181,,,14,
ST190327,5/28/2019,B,2,5/28/2019,11,,,,2,1,165,,,11,
ST190328,5/28/2019,A,2,5/28/2019,47,,,,,1,63,,,,
ST190328,5/28/2019,B,2,5/28/2019,,,,,,,32,,,2,
ST190329,5/28/2019,A,2,5/28/2019,4,,,,,1,151,,,9,
ST190329,5/28/2019,B,2,5/28/2019,12,,,,3,1,129,,,9,
ST190330,5/28/2019,A,2,5/28/2019,4,,,,,2,60,,,4,
ST190330,5/28/2019,B,2,5/28/2019,12,2,,,,2,180,,,15,
ST190286,5/20/2019,A,2,5/20/2019,1,1,,,,,57,,,3,
ST190286,5/20/2019,B,2,5/20/2019,1,,,,,,155,2,,7,
ST190287,5/20/2019,A,2,5/20/2019,3,2,,,,,77,,,4,
ST190287,5/20/2019,B,2,5/20/2019,7,1,,,,2,99,,,4,
ST190288,5/20/2019,A,2,5/20/2019,3,1,,,1,2,162,,,6,
ST190288,5/20/2019,B,2,5/20/2019,3,1,,,1,2,145,,,4,
ST190289,5/20/2019,A,2,5/20/2019,2,,1,,1,1,127,,,4,
ST190289,5/20/2019,B,2,5/20/2019,3,,,,2,,116,,,5,
ST190290,5/20/2019,A,2,5/20/2019,15,1,,,,1,153,,,11,
ST190290,5/20/2019,B,2,5/20/2019,5,2,,,,,132,1,,9,
ST190291,5/20/2019,B,2,5/20/2019,5,,,,,1,162,,,6,
ST190292,5/20/2019,A,2,5/20/2019,1,1,,,,3,119,,,11,
ST190292,5/20/2019,B,2,5/20/2019,2,,,,1,,90,3,,7,
ST190293,5/20/2019,A,2,5/20/2019,7,,,,,1,110,8,,5,
ST190293,5/20/2019,B,2,5/20/2019,12,,,,,3,219,11,,13,
ST190294,5/20/2019,A,2,5/20/2019,2,1,,,,1,143,4,,10,
ST190294,5/20/2019,B,2,5/20/2019,4,2,,,,2,92,5,,8,
ST190295,5/20/2019,A,2,5/20/2019,6,1,,,,2,116,3,,11,
ST190295,5/20/2019,B,2,5/20/2019,12,1,,,,4,158,7,,4,
ST190331,5/20/2019,A,2,5/20/2019,2,,,,1,3,134,13,,8,
ST190331,5/20/2019,B,2,5/20/2019,7,2,,,1,,194,5,,11,
ST190332,5/20/2019,A,2,5/20/2019,2,1,,1,,2,293,11,,13,
ST190332,5/20/2019,B,2,5/20/2019,4,1,,,2,2,76,,,2,
ST190333,5/20/2019,A,2,5/20/2019,5,,1,,,1,329,,,11,
ST190333,5/20/2019,B,2,5/20/2019,12,,,,,6,221,5,,9,
ST190334,5/20/2019,A,2,5/20/2019,19,4,,,,4,263,11,,4,
ST190334,5/20/2019,B,2,5/20/2019,10,7,,,,,149,2,,5,
ST190335,5/20/2019,A,2,5/20/2019,5,,,,1,1,192,12,,,
ST190335,5/20/2019,B,2,5/20/2019,13,1,,,,7,186,9,,7,
ST190246,5/13/2019,A,2,5/13/2019,2,,,,,,74,,,1,
ST190246,5/13/2019,B,2,5/13/2019,3,,,,1,,31,,,2,
ST190247,5/13/2019,A,2,5/13/2019,3,,,,,,53,,,4,
ST190247,5/13/2019,B,2,5/13/2019,2,,,,,,12,,,2,
ST190248,5/13/2019,A,2,5/13/2019,3,,,,,1,40,1,,2,
ST190248,5/13/2019,B,2,5/13/2019,1,1,,,,,26,,,2,
ST190249,5/13/2019,A,2,5/13/2019,4,,,,,,47,,,,
ST190249,5/13/2019,B,2,5/13/2019,3,1,,,,,56,,,1,
ST190250,5/13/2019,A,2,5/13/2019,,,,,,1,20,,,2,
ST190250,5/13/2019,B,2,5/13/2019,1,,,,,,66,,,3,
ST190251,5/13/2019,A,2,5/13/2019,5,,,,,1,83,,,1,
ST190251,5/13/2019,B,2,5/13/2019,1,,,,,,52,1,,1,
ST190252,5/13/2019,A,2,5/13/2019,6,,1,,,,65,,,4,
ST190252,5/13/2019,B,2,5/13/2019,4,3,,,,,67,1,,2,
ST190253,5/13/2019,A,2,5/13/2019,5,1,1,,,,41,1,,,
ST190253,5/13/2019,B,2,5/13/2019,3,1,,,,,28,,,1,
ST190254,5/13/2019,A,2,5/13/2019,2,2,,,,,63,3,,2,
ST190254,5/13/2019,B,2,5/13/2019,,,,,,,24,,,3,
ST190255,5/13/2019,A,2,5/13/2019,4,,,,,,25,1,,2,
ST190255,5/13/2019,B,2,5/13/2019,4,,,,,,58,,,5,
ST190211,5/6/2019,A,2,5/6/2019,2,1,,,,,11,,,2,
ST190211,5/6/2019,B,2,5/6/2019,10,,,,,,15,,,2,
ST190212,5/6/2019,A,2,5/6/2019,7,,,,,,12,1,,1,
ST190212,5/6/2019,B,2,5/6/2019,6,1,,,,,18,,,3,
ST190213,5/6/2019,A,2,5/6/2019,7,,,,,,10,1,,1,
ST190213,5/6/2019,B,2,5/6/2019,8,,,,,,25,,,1,
ST190214,5/6/2019,A,2,5/6/2019,19,1,,,1,,27,,,3,
ST190214,5/6/2019,B,2,5/6/2019,4,1,,,,,13,,,,
ST190215,5/6/2019,A,2,5/6/2019,4,1,,,,,6,1,,1,
ST190215,5/6/2019,B,2,5/6/2019,10,1,,,,,10,,,5,
ST190166,4/29/2019,A,2,4/29/2019,2,2,,,,,13,1,,1,
ST190166,4/29/2019,B,2,4/29/2019,1,2,,,,,6,,,2,
ST190167,4/29/2019,A,2,4/29/2019,,3,,,,,4,3,,3,
ST190167,4/29/2019,B,2,4/29/2019,2,,,,,,9,2,,1,
ST190168,4/29/2019,A,2,4/29/2019,,,,,,,2,1,,,
ST190168,4/29/2019,B,2,4/29/2019,3,,,,,3,10,,,5,
ST190169,4/29/2019,A,2,4/29/2019,1,4,,,,1,1,,,,
ST190169,4/29/2019,B,2,4/29/2019,2,2,,,,,5,,,1,
ST190170,4/29/2019,A,2,4/29/2019,2,,,,,1,,,,2,
ST190170,4/29/2019,B,2,4/29/2019,2,3,,,,,2,,,1,
ST190176,4/29/2019,A,2,4/29/2019,5,1,,,,,3,,,3,
ST190176,4/29/2019,B,2,4/29/2019,1,,,,,,1,,,,
ST190177,4/29/2019,A,2,4/29/2019,,,,,,,,,,,
ST190177,4/29/2019,B,2,4/29/2019,,,,,,,,,,,
ST190178,4/29/2019,A,2,4/29/2019,,,,,,,,,,,
ST190178,4/29/2019,B,2,4/29/2019,,,,,,,,,,,
ST190179,4/29/2019,A,2,4/29/2019,,,,,,,,,,,
ST190179,4/29/2019,B,2,4/29/2019,,,,,,,,,,,
ST190180,4/29/2019,A,2,4/29/2019,,,,,,,,,,,
ST190180,4/29/2019,B,2,4/29/2019,,,,,,,,,,,
ST190171,4/29/2019,A,2,4/29/2019,8,1,,,,1,7,,,2,
ST190171,4/29/2019,B,2,4/29/2019,9,,,,1,1,6,,,2,
ST190172,4/29/2019,A,2,4/29/2019,2,1,,,,,3,,,2,
ST190172,4/29/2019,B,2,4/29/2019,1,,,,,,5,,,2,
ST190173,4/29/2019,A,2,4/29/2019,4,,1,,,,4,1,,1,
ST190173,4/29/2019,B,2,4/29/2019,2,2,,,1,,4,,,2,
ST190174,4/29/2019,A,2,4/29/2019,2,,,,,,4,,,5,
ST190174,4/29/2019,B,2,4/29/2019,3,,,,,,4,,,4,
ST190175,4/29/2019,A,2,4/29/2019,5,,,,1,1,5,,,2,
ST190175,4/29/2019,B,2,4/29/2019,3,5,,,,,11,,,5,
ST190126,4/22/2019,A,2,4/22/2019,1,,,,,,,,,,
ST190126,4/22/2019,B,2,4/22/2019,0,,,,,,,,,,
ST190031,4/22/2019,A,2,4/22/2019,0,,,,,,,,,,
ST190031,4/22/2019,B,2,4/22/2019,2,,,,,,,,,,
ST190086,4/15/2019,A,2,4/15/2019,2,1,,,,,,,,,
ST190086,4/15/2019,B,2,4/15/2019,,,,,,,1,,,,
ST190096,4/15/2019,A,2,4/15/2019,1,,,,,,,,,,
ST190096,4/15/2019,B,2,4/15/2019,0,,,,,,,,,,
ST190091,4/15/2019,A,2,4/15/2019,1,,,,,,,,,,
ST190091,4/15/2019,B,2,4/15/2019,1,,,,,,,,,,
NA,4/8/2019,A,2,4/8/2019,1,,,,,,,,,,
NA,4/8/2019,B,2,4/8/2019,3,1,,,,,,,,,
,4/8/2019,A,2,4/8/2019,2,,,,,,,,,,
,4/8/2019,B,2,4/8/2019,2,,,,,,,,,,
,4/8/2019,A,2,4/8/2019,1,2,,,,,,,,,
,4/8/2019,B,2,4/8/2019,2,1,,,,,,,,,
ST190046,4/1/2019,A,2,4/1/2019,1,,,,,,,,,,
ST190046,4/1/2019,B,2,4/1/2019,1,,,,,,,,,,
ST190051,4/1/2019,A,2,4/1/2019,,1,,,,,,,,,
ST190051,4/1/2019,B,2,4/1/2019,,,,,,1,,,,,
ST190016,3/25/2019,A,2,3/25/2019,1,,,,,,,,,,
ST190016,3/25/2019,B,2,3/25/2019,0,,,,,,,,,,
1,11/12/2018,,2,11/12/2018,19,,,,,,10,2,,,
2,11/12/2018,,2,11/12/2018,23,,,,,,27,,,2,
3,11/12/2018,,2,11/12/2018,9,,,,,,8,,,,
4,11/12/2018,,2,11/12/2018,3,,,,,,5,,,1,15042
5,11/12/2018,,2,11/12/2018,2,1,,,,,11,,,1,986
6,11/12/2018,,2,11/12/2018,3,1,,,,,9,,,1,
7,11/12/2018,,2,11/12/2018,4,,,,,,8,,,1,
8,11/12/2018,,2,11/12/2018,1,1,,,,,4,,,1,
9,11/12/2018,,2,11/12/2018,2,,,,,,2,,,1,
10,11/12/2018,,2,11/12/2018,2,,,,,,5,,,,
1,11/5/2018,,2,11/5/2018,2,,,,,,12,1,,2,
2,11/5/2018,,2,11/5/2018,2,,,,,,9,,,,
3,11/5/2018,,2,11/5/2018,,,,,,,6,,,,
4,11/5/2018,,2,11/5/2018,,,,,,,8,2,,,
5,11/5/2018,,2,11/5/2018,2,,,,1,,7,,,,
6,11/5/2018,,2,11/5/2018,4,,,,,,19,,,,
7,11/5/2018,,2,11/5/2018,4,,,,,,10,,,,
8,11/5/2018,,2,11/5/2018,4,,,,,,15,,,,
9,11/5/2018,,2,11/5/2018,4,,,,,,7,,,1,
10,11/5/2018,,2,11/5/2018,2,,,,,,6,,,,
1,10/29/2018,,2,10/29/2018,1,,,,,,1,1,,1,
2,10/29/2018,,2,10/29/2018,2,,,,,,1,1,,,
3,10/29/2018,,2,10/29/2018,1,,,,,,2,,,,
4,10/29/2018,,2,10/29/2018,8,,,,,,4,,,,
5,10/29/2018,,2,10/29/2018,2,,,,,,2,,,,
6,10/29/2018,,2,10/29/2018,,,,,,,1,,,,
7,10/29/2018,,2,10/29/2018,,,,,,,,,,,
8,10/29/2018,,2,10/29/2018,,,,,,,,,,,
9,10/29/2018,,2,10/29/2018,,,,,,,,,,,
10,10/29/2018,,2,10/29/2018,,,,,,,,,,,
1,10/22/2018,,2,10/22/2018,2,,,,,,5,,,1,
2,10/22/2018,,2,10/22/2018,2,,,,,1,4,,,2,
3,10/22/2018,,2,10/22/2018,1,,,,,,19,,,4,
4,10/22/2018,,2,10/22/2018,1,,,,1?,,18,,,3,
5,10/22/2018,,2,10/22/2018,4,,,,1,1,7,,,1,
6,10/22/2018,,2,10/22/2018,,,,,,,6,,,1,
7,10/22/2018,,2,10/22/2018,2,1,,,,,9,1,,,
8,10/22/2018,,2,10/22/2018,3,,,,,1,2,,,5,
9,10/22/2018,,2,10/22/2018,2,,,,,,4,,,2,
10,10/22/2018,,2,10/22/2018,1,,,,,,8,,,,
1,10/15/2018,,2,10/15/2018,7,1,,,,1,17,,,9,
2,10/15/2018,,2,10/15/2018,2,,,,,,10,1,,9,
3,10/15/2018,,2,10/15/2018,1,1,,,,,11,6,,8,
4,10/15/2018,,2,10/15/2018,3,,,,,,16,5,,9,
5,10/15/2018,,2,10/15/2018,5,,,,,,13,,,5,
6,10/15/2018,,2,10/15/2018,10,,,,,,15,,,4,
7,10/15/2018,,2,10/15/2018,6,,,,,,16,1,,5,
8,10/15/2018,,2,10/15/2018,6,,,,,,11,,,12,
9,10/15/2018,,2,10/15/2018,5,,,,,,11,2,,18,
10,10/15/2018,,2,10/15/2018,2,,,,,,10,,,3,
1,10/8/2018,,2,10/8/2018,2,,,,,1,2,,,3,
2,10/8/2018,,2,10/8/2018,1,,,,,,4,3,,4,
3,10/8/2018,,2,10/8/2018,3,,,,,,4,1,,2,
4,10/8/2018,,2,10/8/2018,2,,,,,,3,1,,5,
5,10/8/2018,,2,10/8/2018,4,,,,,2,12,,,6,
6,10/8/2018,,2,10/8/2018,3,1,,,,1,19,,,11,
7,10/8/2018,,2,10/8/2018,3,,,,,,17,1,,6,
8,10/8/2018,,2,10/8/2018,5,,,,,1,10,,,3,
9,10/8/2018,,2,10/8/2018,,,,,,,11,,,5,
10,10/8/2018,,2,10/8/2018,3,,,,,,8,,,11,
1,10/1/2018,,2,10/1/2018,6,2,,,,,4,,,1,
2,10/1/2018,,2,10/1/2018,4,,,,,,11,3,,5,
3,10/1/2018,,2,10/1/2018,4,,,,,,10,2,,5,
4,10/1/2018,,2,10/1/2018,3,1,,,,,9,2,,4,
5,10/1/2018,,2,10/1/2018,,,,,,,3,4,,5,
6,10/1/2018,,2,10/1/2018,1,1,,,,,4,2,,4,
7,10/1/2018,,2,10/1/2018,3,,,,,,9,2,,1,
8,10/1/2018,,2,10/1/2018,,,,,,,5,2,,7,
9,10/1/2018,,2,10/1/2018,6,1,,,,1,9,,,4,
10,10/1/2018,,2,10/1/2018,4,,,,,,7,2,,9,
1,9/24/2018,,2,9/24/2018,,,,,,,3,,,,
2,9/24/2018,,2,9/24/2018,5,1,,,,,4,5,,6,
3,9/24/2018,,2,9/24/2018,4,,,,,,15,7,,13,
4,9/24/2018,,2,9/24/2018,1,1,,,,,15,1,,4,
5,9/24/2018,,2,9/24/2018,,,,,,1,12,1,,4,
6,9/24/2018,,2,9/24/2018,,,,,,,5,2,,2,
7,9/24/2018,,2,9/24/2018,3,,,,,,5,2,,3,
8,9/24/2018,,2,9/24/2018,1,,,,,1,3,1,,3,
9,9/24/2018,,2,9/24/2018,1,,,,,,14,2,,3,
10,9/24/2018,,2,9/24/2018,5,,,,,1,8,4,,,
1,9/17/2018,,2,9/17/2018,,2,,,,1,,1,,3,
2,9/17/2018,,2,9/17/2018,2,,,,,,,,,,
3,9/17/2018,,2,9/17/2018,1,,,,,,4,1,,,
4,9/17/2018,,2,9/17/2018,2,,,,,,,2,,,
5,9/17/2018,,2,9/17/2018,3,,,,,,4,6,,,
6,9/17/2018,,2,9/17/2018,4,,,,,1,10,1,,4,
7,9/17/2018,,2,9/17/2018,1,,,,,,2,1,,4,
8,9/17/2018,,2,9/17/2018,2,,,,,,6,2,,3,
9,9/17/2018,,2,9/17/2018,1,,,,,1,18,3,,1,
10,9/17/2018,,2,9/17/2018,5,,,,,,7,5,,1,
