"","Watershed","date","Date","invert","size","count_zero","month","year","week"
"70","9",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"71","9",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"72","1",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"73","2",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"74","3",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"75","4",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"76","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"77","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"78","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"79","1",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"80","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"81","3",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"82","4",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"83","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"84","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"85","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"86","1",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"87","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"88","3",2018-05-21,"5/21/2018","aDipteran","Large",7,5,2018,21
"89","4",2018-05-21,"5/21/2018","aDipteran","Large",7,5,2018,21
"90","6",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"91","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"92","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"93","1",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"94","2",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"95","3",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"96","4",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"97","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"98","9",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"99","9",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"100","1",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"101","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"102","3",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"103","4",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"104","6",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"105","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"106","9",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"107","1",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"108","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"109","3",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"110","4",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"111","6",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"112","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"113","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"114","1",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"115","2",2018-05-21,"5/21/2018","aDipteran","Large",13,5,2018,21
"116","3",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"117","4",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"118","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"119","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"120","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"121","1",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"122","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"123","3",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"124","4",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"125","6",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"126","9",2018-05-29,"5/29/2018","aDipteran","Large",5,5,2018,22
"127","9",2018-05-29,"5/29/2018","aDipteran","Large",5,5,2018,22
"128","1",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"129","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"130","3",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"131","4",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"132","6",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"133","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"134","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"135","1",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"136","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"137","3",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"138","4",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"139","6",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"140","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"141","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"142","1",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"143","2",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"144","3",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"145","4",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"146","6",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"147","9",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"148","9",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"149","1",2018-05-29,"5/29/2018","aDipteran","Large",3,5,2018,22
"150","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"151","3",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"152","4",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"153","6",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"154","9",2018-05-29,"5/29/2018","aDipteran","Large",11,5,2018,22
"155","9",2018-05-29,"5/29/2018","aDipteran","Large",11,5,2018,22
"156","1",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"157","2",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"158","3",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"159","4",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"160","6",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"161","9",2018-05-29,"5/29/2018","aDipteran","Large",12,5,2018,22
"162","9",2018-05-29,"5/29/2018","aDipteran","Large",12,5,2018,22
"163","1",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"164","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"165","3",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"166","4",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"167","6",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"168","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"169","9",2018-05-29,"5/29/2018","aDipteran","Large",4,5,2018,22
"170","1",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"171","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"172","3",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"173","4",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"174","6",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"175","9",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"176","9",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"177","1",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"178","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"179","3",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"180","4",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"181","6",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"182","9",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"183","9",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"184","1",2018-05-29,"5/29/2018","aDipteran","Large",1,5,2018,22
"185","2",2018-05-29,"5/29/2018","aDipteran","Large",0,5,2018,22
"186","3",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"187","4",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"188","6",2018-05-29,"5/29/2018","aDipteran","Large",2,5,2018,22
"189","9",2018-05-29,"5/29/2018","aDipteran","Large",7,5,2018,22
"190","9",2018-05-29,"5/29/2018","aDipteran","Large",7,5,2018,22
"191","1",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"192","2",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"193","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"194","6",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"195","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"196","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"197","1",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"198","2",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"199","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"200","6",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"201","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"202","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"203","1",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"204","2",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"205","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"206","6",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"207","9",2018-06-04,"6/4/2018","aDipteran","Large",6,6,2018,23
"208","9",2018-06-04,"6/4/2018","aDipteran","Large",6,6,2018,23
"209","1",2018-06-04,"6/4/2018","aDipteran","Large",7,6,2018,23
"210","2",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"211","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"212","6",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"213","9",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"214","9",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"215","1",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"216","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"217","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"218","6",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"219","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"220","9",2018-06-04,"6/4/2018","aDipteran","Large",4,6,2018,23
"221","1",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"222","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"223","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"224","6",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"225","9",2018-06-04,"6/4/2018","aDipteran","Large",14,6,2018,23
"226","9",2018-06-04,"6/4/2018","aDipteran","Large",14,6,2018,23
"227","1",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"228","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"229","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"230","6",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"231","9",2018-06-04,"6/4/2018","aDipteran","Large",13,6,2018,23
"232","9",2018-06-04,"6/4/2018","aDipteran","Large",13,6,2018,23
"233","1",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"234","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"235","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"236","6",2018-06-04,"6/4/2018","aDipteran","Large",1,6,2018,23
"237","9",2018-06-04,"6/4/2018","aDipteran","Large",6,6,2018,23
"238","9",2018-06-04,"6/4/2018","aDipteran","Large",6,6,2018,23
"239","1",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"240","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"241","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"242","6",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"243","9",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"244","9",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"245","1",2018-06-04,"6/4/2018","aDipteran","Large",2,6,2018,23
"246","2",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"247","4",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"248","6",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"249","9",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"250","9",2018-06-04,"6/4/2018","aDipteran","Large",3,6,2018,23
"251","1",2018-06-04,"6/4/2018","aDipteran","Large",0,6,2018,23
"252","1",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"253","2",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"254","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"255","6",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"256","9",2018-06-11,"6/11/2018","aDipteran","Large",15,6,2018,24
"257","9",2018-06-11,"6/11/2018","aDipteran","Large",15,6,2018,24
"258","1",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"259","2",2018-06-11,"6/11/2018","aDipteran","Large",3,6,2018,24
"260","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"261","6",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"262","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"263","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"264","1",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"265","2",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"266","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"267","6",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"268","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"269","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"270","1",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"271","2",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"272","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"273","6",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"274","9",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"275","9",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"276","1",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"277","2",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"278","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"279","6",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"280","9",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"281","1",2018-06-11,"6/11/2018","aDipteran","Large",3,6,2018,24
"282","2",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"283","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"284","6",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"285","9",2018-06-11,"6/11/2018","aDipteran","Large",6,6,2018,24
"286","9",2018-06-11,"6/11/2018","aDipteran","Large",6,6,2018,24
"287","1",2018-06-11,"6/11/2018","aDipteran","Large",4,6,2018,24
"288","2",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"289","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"290","6",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"291","9",2018-06-11,"6/11/2018","aDipteran","Large",3,6,2018,24
"292","9",2018-06-11,"6/11/2018","aDipteran","Large",3,6,2018,24
"293","1",2018-06-11,"6/11/2018","aDipteran","Large",6,6,2018,24
"294","2",2018-06-11,"6/11/2018","aDipteran","Large",4,6,2018,24
"295","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"296","6",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"297","9",2018-06-11,"6/11/2018","aDipteran","Large",4,6,2018,24
"298","9",2018-06-11,"6/11/2018","aDipteran","Large",4,6,2018,24
"299","1",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"300","2",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"301","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"302","6",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"303","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"304","9",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"305","1",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"306","2",2018-06-11,"6/11/2018","aDipteran","Large",2,6,2018,24
"307","4",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"308","6",2018-06-11,"6/11/2018","aDipteran","Large",0,6,2018,24
"309","9",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"310","9",2018-06-11,"6/11/2018","aDipteran","Large",1,6,2018,24
"311","1",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"312","2",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"313","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"314","6",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"315","9",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"316","9",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"317","1",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"318","2",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"319","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"320","6",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"321","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"322","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"323","1",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"324","2",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"325","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"326","6",2018-06-18,"6/18/2018","aDipteran","Large",5,6,2018,25
"327","9",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"328","9",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"329","1",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"330","2",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"331","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"332","6",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"333","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"334","1",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"335","2",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"336","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"337","6",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"338","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"339","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"340","1",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"341","2",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"342","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"343","6",2018-06-18,"6/18/2018","aDipteran","Large",6,6,2018,25
"344","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"345","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"346","1",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"347","2",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"348","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"349","6",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"350","9",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"351","9",2018-06-18,"6/18/2018","aDipteran","Large",4,6,2018,25
"352","1",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"353","2",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"354","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"355","6",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"356","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"357","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"358","1",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"359","2",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"360","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"361","6",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"362","9",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
"363","1",2018-06-18,"6/18/2018","aDipteran","Large",1,6,2018,25
"364","2",2018-06-18,"6/18/2018","aDipteran","Large",2,6,2018,25
"365","4",2018-06-18,"6/18/2018","aDipteran","Large",0,6,2018,25
"366","6",2018-06-18,"6/18/2018","aDipteran","Large",3,6,2018,25
