Watershed,date,invert,size,count_zero,month,year,,,
4,5/14/2018,Terrestrial,Large,2,5,2018,,,
4,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,2,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
6,5/14/2018,Terrestrial,Large,0,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Caddisfly,Large,1,5,2018,,,
1,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
2,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
4,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
6,5/14/2018,Caddisfly,Large,NA,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
2,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
4,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
6,5/14/2018,Mayfly,Large,0,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,1,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
2,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
4,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
6,5/14/2018,Stonefly,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
1,5/14/2018,Other,Large,NA,5,2018,,,
2,5/14/2018,Other,Large,3,5,2018,,,
2,5/14/2018,Other,Large,4,5,2018,,,
2,5/14/2018,Other,Large,NA,5,2018,,,
2,5/14/2018,Other,Large,2,5,2018,,,
2,5/14/2018,Other,Large,NA,5,2018,,,
2,5/14/2018,Other,Large,NA,5,2018,,,
2,5/14/2018,Other,Large,NA,5,2018,,,
2,5/14/2018,Other,Large,2,5,2018,,,
2,5/14/2018,Other,Large,1,5,2018,,,
2,5/14/2018,Other,Large,2,5,2018,,,
4,5/14/2018,Other,Large,1,5,2018,,,
4,5/14/2018,Other,Large,NA,5,2018,,,
4,5/14/2018,Other,Large,3,5,2018,,,
4,5/14/2018,Other,Large,2,5,2018,,,
4,5/14/2018,Other,Large,NA,5,2018,,,
4,5/14/2018,Other,Large,2,5,2018,,,
4,5/14/2018,Other,Large,NA,5,2018,,,
4,5/14/2018,Other,Large,NA,5,2018,,,
4,5/14/2018,Other,Large,NA,5,2018,,,
4,5/14/2018,Other,Large,2,5,2018,,,
6,5/14/2018,Other,Large,NA,5,2018,,,
6,5/14/2018,Other,Large,2,5,2018,,,
6,5/14/2018,Other,Large,4,5,2018,,,
6,5/14/2018,Other,Large,3,5,2018,,,
6,5/14/2018,Other,Large,NA,5,2018,,,
6,5/14/2018,Other,Large,3,5,2018,,,
6,5/14/2018,Other,Large,NA,5,2018,,,
6,5/14/2018,Other,Large,NA,5,2018,,,
6,5/14/2018,Other,Large,NA,5,2018,,,
6,5/14/2018,Other,Large,2,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,48,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,45,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,54,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,0,5,2018,,,
1,5/14/2018,Dipteran,Small,47,5,2018,,,
2,5/14/2018,Dipteran,Small,64,5,2018,,,
2,5/14/2018,Dipteran,Small,23,5,2018,,,
2,5/14/2018,Dipteran,Small,39,5,2018,,,
2,5/14/2018,Dipteran,Small,48,5,2018,,,
2,5/14/2018,Dipteran,Small,79,5,2018,,,
2,5/14/2018,Dipteran,Small,42,5,2018,,,
2,5/14/2018,Dipteran,Small,43,5,2018,,,
2,5/14/2018,Dipteran,Small,36,5,2018,,,
2,5/14/2018,Dipteran,Small,16,5,2018,,,
2,5/14/2018,Dipteran,Small,15,5,2018,,,
4,5/14/2018,Dipteran,Small,90,5,2018,,,
4,5/14/2018,Dipteran,Small,53,5,2018,,,
4,5/14/2018,Dipteran,Small,82,5,2018,,,
4,5/14/2018,Dipteran,Small,24,5,2018,,,
4,5/14/2018,Dipteran,Small,9,5,2018,,,
4,5/14/2018,Dipteran,Small,20,5,2018,,,
4,5/14/2018,Dipteran,Small,6,5,2018,,,
4,5/14/2018,Dipteran,Small,127,5,2018,,,
4,5/14/2018,Dipteran,Small,50,5,2018,,,
4,5/14/2018,Dipteran,Small,135,5,2018,,,
6,5/14/2018,Dipteran,Small,45,5,2018,,,
6,5/14/2018,Dipteran,Small,44,5,2018,,,
6,5/14/2018,Dipteran,Small,41,5,2018,,,
6,5/14/2018,Dipteran,Small,26,5,2018,,,
6,5/14/2018,Dipteran,Small,43,5,2018,,,
6,5/14/2018,Dipteran,Small,207,5,2018,,,
6,5/14/2018,Dipteran,Small,57,5,2018,,,
6,5/14/2018,Dipteran,Small,65,5,2018,,,
6,5/14/2018,Dipteran,Small,272,5,2018,,,
6,5/14/2018,Dipteran,Small,42,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,28,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,15,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,34,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Terrestrial,Small,15,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
2,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
4,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
6,5/14/2018,Terrestrial,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
1,5/14/2018,Other,Small,0,5,2018,,,
2,5/14/2018,Other,Small,10,5,2018,,,
2,5/14/2018,Other,Small,0,5,2018,,,
2,5/14/2018,Other,Small,0,5,2018,,,
2,5/14/2018,Other,Small,5,5,2018,,,
2,5/14/2018,Other,Small,11,5,2018,,,
2,5/14/2018,Other,Small,10,5,2018,,,
2,5/14/2018,Other,Small,0,5,2018,,,
2,5/14/2018,Other,Small,6,5,2018,,,
2,5/14/2018,Other,Small,2,5,2018,,,
2,5/14/2018,Other,Small,3,5,2018,,,
4,5/14/2018,Other,Small,5,5,2018,,,
4,5/14/2018,Other,Small,2,5,2018,,,
4,5/14/2018,Other,Small,1,5,2018,,,
4,5/14/2018,Other,Small,5,5,2018,,,
4,5/14/2018,Other,Small,1,5,2018,,,
4,5/14/2018,Other,Small,1,5,2018,,,
4,5/14/2018,Other,Small,2,5,2018,,,
4,5/14/2018,Other,Small,10,5,2018,,,
4,5/14/2018,Other,Small,6,5,2018,,,
4,5/14/2018,Other,Small,6,5,2018,,,
6,5/14/2018,Other,Small,0,5,2018,,,
6,5/14/2018,Other,Small,4,5,2018,,,
6,5/14/2018,Other,Small,8,5,2018,,,
6,5/14/2018,Other,Small,10,5,2018,,,
6,5/14/2018,Other,Small,8,5,2018,,,
6,5/14/2018,Other,Small,10,5,2018,,,
6,5/14/2018,Other,Small,6,5,2018,,,
6,5/14/2018,Other,Small,13,5,2018,,,
6,5/14/2018,Other,Small,14,5,2018,,,
6,5/14/2018,Other,Small,9,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
2,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
4,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
6,5/14/2018,Caddisfly,Small,0,5,2018,,,
1,5/21/2018,Dipteran,Large,2,5,2018,,,
1,5/21/2018,Dipteran,Large,1,5,2018,,,
1,5/21/2018,Dipteran,Large,0,5,2018,,,
1,5/21/2018,Dipteran,Large,3,5,2018,,,
1,5/21/2018,Dipteran,Large,2,5,2018,,,
1,5/21/2018,Dipteran,Large,1,5,2018,,,
1,5/21/2018,Dipteran,Large,1,5,2018,,,
1,5/21/2018,Dipteran,Large,1,5,2018,,,
1,5/21/2018,Dipteran,Large,4,5,2018,,,
1,5/21/2018,Dipteran,Large,2,5,2018,,,
2,5/21/2018,Dipteran,Large,1,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,2,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,2,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,0,5,2018,,,
2,5/21/2018,Dipteran,Large,13,5,2018,,,
4,5/21/2018,Dipteran,Large,2,5,2018,,,
4,5/21/2018,Dipteran,Large,5,5,2018,,,
4,5/21/2018,Dipteran,Large,2,5,2018,,,
4,5/21/2018,Dipteran,Large,4,5,2018,,,
4,5/21/2018,Dipteran,Large,2,5,2018,,,
4,5/21/2018,Dipteran,Large,7,5,2018,,,
4,5/21/2018,Dipteran,Large,0,5,2018,,,
4,5/21/2018,Dipteran,Large,0,5,2018,,,
4,5/21/2018,Dipteran,Large,0,5,2018,,,
4,5/21/2018,Dipteran,Large,1,5,2018,,,
6,5/21/2018,Dipteran,Large,4,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
6,5/21/2018,Dipteran,Large,3,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
6,5/21/2018,Dipteran,Large,1,5,2018,,,
6,5/21/2018,Dipteran,Large,1,5,2018,,,
6,5/21/2018,Dipteran,Large,0,5,2018,,,
9,5/21/2018,Dipteran,Large,10,5,2018,,,
9,5/21/2018,Dipteran,Large,3,5,2018,,,
9,5/21/2018,Dipteran,Large,2,5,2018,,,
9,5/21/2018,Dipteran,Large,4,5,2018,,,
9,5/21/2018,Dipteran,Large,4,5,2018,,,
9,5/21/2018,Dipteran,Large,3,5,2018,,,
9,5/21/2018,Dipteran,Large,2,5,2018,,,
9,5/21/2018,Dipteran,Large,4,5,2018,,,
9,5/21/2018,Dipteran,Large,3,5,2018,,,
9,5/21/2018,Dipteran,Large,3,5,2018,,,
1,5/21/2018,Terrestrial,Large,1,5,2018,,,
1,5/21/2018,Terrestrial,Large,0,5,2018,,,
1,5/21/2018,Terrestrial,Large,1,5,2018,,,
1,5/21/2018,Terrestrial,Large,0,5,2018,,,
1,5/21/2018,Terrestrial,Large,3,5,2018,,,
1,5/21/2018,Terrestrial,Large,1,5,2018,,,
1,5/21/2018,Terrestrial,Large,4,5,2018,,,
1,5/21/2018,Terrestrial,Large,6,5,2018,,,
1,5/21/2018,Terrestrial,Large,1,5,2018,,,
1,5/21/2018,Terrestrial,Large,3,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,1,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
2,5/21/2018,Terrestrial,Large,1,5,2018,,,
2,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
4,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,1,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
6,5/21/2018,Terrestrial,Large,0,5,2018,,,
9,5/21/2018,Terrestrial,Large,2,5,2018,,,
9,5/21/2018,Terrestrial,Large,1,5,2018,,,
9,5/21/2018,Terrestrial,Large,3,5,2018,,,
9,5/21/2018,Terrestrial,Large,1,5,2018,,,
9,5/21/2018,Terrestrial,Large,1,5,2018,,,
