"Watershed","date","invert","Sample","size","count_zero","month","year"
"HBK",2018-08-27,"Dipteran","2","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","3","Large",5,8,2018
"HBK",2018-08-27,"Dipteran","4","Large",4,8,2018
"HBK",2018-08-27,"Dipteran","5","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","6","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","7","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","8","Large",2,8,2018
"HBK",2018-08-27,"Dipteran","9","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","10","Large",2,8,2018
"HBK",2018-09-04,"Dipteran","1","Large",3,9,2018
"HBK",2018-09-04,"Dipteran","2","Large",1,9,2018
"HBK",2018-09-04,"Dipteran","3","Large",2,9,2018
"HBK",2018-09-04,"Dipteran","4","Large",0,9,2018
"HBK",2018-09-04,"Dipteran","5","Large",0,9,2018
"HBK",2018-09-04,"Dipteran","6","Large",2,9,2018
"HBK",2018-09-04,"Dipteran","7","Large",1,9,2018
"HBK",2018-09-04,"Dipteran","8","Large",0,9,2018
"HBK",2018-09-04,"Dipteran","9","Large",0,9,2018
"HBK",2018-09-04,"Dipteran","10","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","1","Large",3,9,2018
"HBK",2018-09-10,"Dipteran","2","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","3","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","4","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","5","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","6","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","7","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","8","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","9","Large",0,9,2018
"HBK",2018-09-10,"Dipteran","10","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","1","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","2","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","3","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","4","Large",1,9,2018
"HBK",2018-09-17,"Dipteran","5","Large",1,9,2018
"HBK",2018-09-17,"Dipteran","6","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","7","Large",1,9,2018
"HBK",2018-09-17,"Dipteran","8","Large",1,9,2018
"HBK",2018-09-17,"Dipteran","9","Large",0,9,2018
"HBK",2018-09-17,"Dipteran","10","Large",0,9,2018
"HBK",2018-09-24,"Dipteran","1","Large",0,9,2018
"HBK",2018-09-24,"Dipteran","2","Large",3,9,2018
"HBK",2018-09-24,"Dipteran","3","Large",0,9,2018
"HBK",2018-09-24,"Dipteran","4","Large",2,9,2018
"HBK",2018-09-24,"Dipteran","5","Large",3,9,2018
"HBK",2018-09-24,"Dipteran","6","Large",2,9,2018
"HBK",2018-09-24,"Dipteran","7","Large",0,9,2018
"HBK",2018-09-24,"Dipteran","8","Large",1,9,2018
"HBK",2018-09-24,"Dipteran","9","Large",0,9,2018
"HBK",2018-09-24,"Dipteran","10","Large",0,9,2018
"HBK",2018-10-01,"Dipteran","1","Large",0,10,2018
"HBK",2018-10-01,"Dipteran","2","Large",2,10,2018
"HBK",2018-10-01,"Dipteran","3","Large",1,10,2018
"HBK",2018-10-01,"Dipteran","4","Large",0,10,2018
"HBK",2018-10-01,"Dipteran","5","Large",4,10,2018
"HBK",2018-10-01,"Dipteran","6","Large",2,10,2018
"HBK",2018-10-01,"Dipteran","7","Large",1,10,2018
"HBK",2018-10-01,"Dipteran","8","Large",2,10,2018
"HBK",2018-10-01,"Dipteran","9","Large",1,10,2018
"HBK",2018-10-01,"Dipteran","10","Large",3,10,2018
"HBK",2018-10-08,"Dipteran","1","Large",1,10,2018
"HBK",2018-10-08,"Dipteran","2","Large",2,10,2018
"HBK",2018-10-08,"Dipteran","3","Large",2,10,2018
"HBK",2018-10-08,"Dipteran","4","Large",4,10,2018
"HBK",2018-10-08,"Dipteran","5","Large",2,10,2018
"HBK",2018-10-08,"Dipteran","6","Large",1,10,2018
"HBK",2018-10-08,"Dipteran","7","Large",2,10,2018
"HBK",2018-10-08,"Dipteran","8","Large",1,10,2018
"HBK",2018-10-08,"Dipteran","9","Large",4,10,2018
"HBK",2018-10-08,"Dipteran","10","Large",5,10,2018
"HBK",2018-10-15,"Dipteran","1","Large",2,10,2018
"HBK",2018-10-15,"Dipteran","2","Large",0,10,2018
"HBK",2018-10-15,"Dipteran","3","Large",2,10,2018
"HBK",2018-10-15,"Dipteran","4","Large",2,10,2018
"HBK",2018-10-15,"Dipteran","5","Large",3,10,2018
"HBK",2018-10-15,"Dipteran","6","Large",3,10,2018
"HBK",2018-10-15,"Dipteran","7","Large",2,10,2018
"HBK",2018-10-15,"Dipteran","8","Large",0,10,2018
"HBK",2018-10-15,"Dipteran","9","Large",2,10,2018
"HBK",2018-10-15,"Dipteran","10","Large",2,10,2018
"HBK",2018-10-22,"Dipteran","1","Large",0,10,2018
"HBK",2018-10-22,"Dipteran","2","Large",1,10,2018
"HBK",2018-10-22,"Dipteran","3","Large",2,10,2018
"HBK",2018-10-22,"Dipteran","4","Large",2,10,2018
"HBK",2018-10-22,"Dipteran","5","Large",2,10,2018
"HBK",2018-10-22,"Dipteran","6","Large",2,10,2018
"HBK",2018-10-22,"Dipteran","7","Large",0,10,2018
"HBK",2018-10-22,"Dipteran","8","Large",4,10,2018
"HBK",2018-10-22,"Dipteran","9","Large",0,10,2018
"HBK",2018-10-22,"Dipteran","10","Large",1,10,2018
"HBK",2018-10-29,"Dipteran","1","Large",1,10,2018
"HBK",2018-10-29,"Dipteran","2","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","3","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","4","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","5","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","6","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","7","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","8","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","9","Large",0,10,2018
"HBK",2018-10-29,"Dipteran","10","Large",1,10,2018
"HBK",2018-11-05,"Dipteran","1","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","2","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","3","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","4","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","5","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","6","Large",0,11,2018
"HBK",2018-11-05,"Dipteran","7","Large",3,11,2018
"HBK",2018-11-05,"Dipteran","8","Large",1,11,2018
"HBK",2018-11-05,"Dipteran","9","Large",1,11,2018
"HBK",2018-11-05,"Dipteran","10","Large",1,11,2018
"HBK",2018-11-12,"Dipteran","1","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","2","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","3","Large",2,11,2018
"HBK",2018-11-12,"Dipteran","4","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","5","Large",4,11,2018
"HBK",2018-11-12,"Dipteran","6","Large",2,11,2018
"HBK",2018-11-12,"Dipteran","7","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","8","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","9","Large",0,11,2018
"HBK",2018-11-12,"Dipteran","10","Large",0,11,2018
"HBK",2019-06-17,"Dipteran","ST190476","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190476","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190477","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190477","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190478","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190478","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190479","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190479","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190480","Large",0,6,2019
"HBK",2019-06-17,"Dipteran","ST190480","Large",0,6,2019
"HBK",2019-06-24,"Dipteran","ST190516","Large",1,6,2019
"HBK",2019-06-24,"Dipteran","ST190516","Large",1,6,2019
"HBK",2019-06-24,"Dipteran","ST190517","Large",0,6,2019
"HBK",2019-06-24,"Dipteran","ST190517","Large",1,6,2019
"HBK",2019-06-24,"Dipteran","ST190518","Large",1,6,2019
"HBK",2019-06-24,"Dipteran","ST190518","Large",2,6,2019
"HBK",2019-06-24,"Dipteran","ST190519","Large",0,6,2019
"HBK",2019-06-24,"Dipteran","ST190519","Large",1,6,2019
"HBK",2019-06-24,"Dipteran","ST190520","Large",2,6,2019
"HBK",2019-06-24,"Dipteran","ST190520","Large",0,6,2019
"HBK",2019-07-01,"Dipteran","ST190556","Large",2,7,2019
"HBK",2019-07-01,"Dipteran","ST190556","Large",2,7,2019
"HBK",2019-07-01,"Dipteran","ST190557","Large",1,7,2019
"HBK",2019-07-01,"Dipteran","ST190557","Large",1,7,2019
"HBK",2019-07-01,"Dipteran","ST190558","Large",1,7,2019
"HBK",2019-07-01,"Dipteran","ST190558","Large",2,7,2019
"HBK",2019-07-01,"Dipteran","ST190559","Large",0,7,2019
"HBK",2019-07-01,"Dipteran","ST190559","Large",0,7,2019
"HBK",2019-07-01,"Dipteran","ST190560","Large",2,7,2019
"HBK",2019-07-01,"Dipteran","ST190560","Large",2,7,2019
"HBK",2019-07-08,"Dipteran","ST190596","Large",0,7,2019
"HBK",2019-07-08,"Dipteran","ST190596","Large",0,7,2019
"HBK",2019-07-08,"Dipteran","ST190597","Large",2,7,2019
"HBK",2019-07-08,"Dipteran","ST190597","Large",2,7,2019
"HBK",2019-07-08,"Dipteran","ST190598","Large",1,7,2019
"HBK",2019-07-08,"Dipteran","ST190598","Large",2,7,2019
"HBK",2019-07-08,"Dipteran","ST190599","Large",1,7,2019
"HBK",2019-07-08,"Dipteran","ST190599","Large",1,7,2019
"HBK",2019-07-08,"Dipteran","ST190600","Large",0,7,2019
"HBK",2019-07-08,"Dipteran","ST190600","Large",1,7,2019
"HBK",2019-07-15,"Dipteran","ST190636","Large",0,7,2019
"HBK",2019-07-15,"Dipteran","ST190636","Large",2,7,2019
"HBK",2019-07-15,"Dipteran","ST190637","Large",0,7,2019
"HBK",2019-07-15,"Dipteran","ST190637","Large",0,7,2019
"HBK",2019-07-15,"Dipteran","ST190638","Large",0,7,2019
"HBK",2019-07-15,"Dipteran","ST190638","Large",1,7,2019
"HBK",2019-07-15,"Dipteran","ST190639","Large",0,7,2019
"HBK",2019-07-15,"Dipteran","ST190639","Large",2,7,2019
"HBK",2019-07-15,"Dipteran","ST190640","Large",1,7,2019
"HBK",2019-07-15,"Dipteran","ST190640","Large",1,7,2019
"HBK",2019-07-22,"Dipteran","ST190676","Large",0,7,2019
"HBK",2019-07-22,"Dipteran","ST190676","Large",2,7,2019
"HBK",2019-07-22,"Dipteran","ST190677","Large",0,7,2019
"HBK",2019-07-22,"Dipteran","ST190677","Large",0,7,2019
"HBK",2019-07-22,"Dipteran","ST190678","Large",0,7,2019
"HBK",2019-07-22,"Dipteran","ST190678","Large",2,7,2019
"HBK",2019-07-22,"Dipteran","ST190679","Large",1,7,2019
"HBK",2019-07-22,"Dipteran","ST190679","Large",2,7,2019
"HBK",2019-07-22,"Dipteran","ST190680","Large",0,7,2019
"HBK",2019-07-22,"Dipteran","ST190680","Large",0,7,2019
"HBK",2019-07-29,"Dipteran","ST190716","Large",12,7,2019
"HBK",2019-07-29,"Dipteran","ST190716","Large",2,7,2019
"HBK",2019-07-29,"Dipteran","ST190717","Large",1,7,2019
"HBK",2019-07-29,"Dipteran","ST190717","Large",0,7,2019
"HBK",2019-07-29,"Dipteran","ST190718","Large",0,7,2019
"HBK",2019-07-29,"Dipteran","ST190718","Large",1,7,2019
"HBK",2019-07-29,"Dipteran","ST190719","Large",1,7,2019
"HBK",2019-07-29,"Dipteran","ST190719","Large",2,7,2019
"HBK",2019-07-29,"Dipteran","ST190720","Large",1,7,2019
"HBK",2019-07-29,"Dipteran","ST190720","Large",0,7,2019
"HBK",2019-08-05,"Dipteran","ST190756","Large",1,8,2019
"HBK",2019-08-05,"Dipteran","ST190756","Large",1,8,2019
"HBK",2019-08-05,"Dipteran","ST190757","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190757","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190758","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190758","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190759","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190759","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190760","Large",0,8,2019
"HBK",2019-08-05,"Dipteran","ST190760","Large",1,8,2019
"HBK",2019-08-12,"Dipteran","ST190796","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190796","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190797","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190797","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190798","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190798","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190799","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190799","Large",0,8,2019
"HBK",2019-08-12,"Dipteran","ST190800","Large",1,8,2019
"HBK",2019-08-12,"Dipteran","ST190800","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190836","Large",2,8,2019
"HBK",2019-08-19,"Dipteran","ST190836","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190837","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190837","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190838","Large",1,8,2019
"HBK",2019-08-19,"Dipteran","ST190838","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190839","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190839","Large",1,8,2019
"HBK",2019-08-19,"Dipteran","ST190840","Large",0,8,2019
"HBK",2019-08-19,"Dipteran","ST190840","Large",2,8,2019
"HBK",2019-08-26,"Dipteran","ST190876","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190876","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190877","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190877","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190878","Large",1,8,2019
"HBK",2019-08-26,"Dipteran","ST190878","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190879","Large",1,8,2019
"HBK",2019-08-26,"Dipteran","ST190879","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190880","Large",0,8,2019
"HBK",2019-08-26,"Dipteran","ST190880","Large",0,8,2019
"HBK",2019-09-03,"Dipteran","ST190916","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190916","Large",2,9,2019
"HBK",2019-09-03,"Dipteran","ST190917","Large",1,9,2019
"HBK",2019-09-03,"Dipteran","ST190917","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190918","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190918","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190919","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190919","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190920","Large",0,9,2019
"HBK",2019-09-03,"Dipteran","ST190920","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190956","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190956","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190957","Large",1,9,2019
"HBK",2019-09-09,"Dipteran","ST190957","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190958","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190958","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190959","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190959","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190960","Large",0,9,2019
"HBK",2019-09-09,"Dipteran","ST190960","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190996","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190996","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190997","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190997","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190998","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190998","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190999","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST190999","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST191000","Large",0,9,2019
"HBK",2019-09-16,"Dipteran","ST191000","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191036","Large",1,9,2019
"HBK",2019-09-23,"Dipteran","ST191036","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191037","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191037","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191038","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191038","Large",2,9,2019
"HBK",2019-09-23,"Dipteran","ST191039","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191039","Large",0,9,2019
"HBK",2019-09-23,"Dipteran","ST191040","Large",1,9,2019
"HBK",2019-09-23,"Dipteran","ST191040","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191076","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191076","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191077","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191077","Large",1,9,2019
"HBK",2019-09-30,"Dipteran","ST191078","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191078","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191079","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191079","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191080","Large",0,9,2019
"HBK",2019-09-30,"Dipteran","ST191080","Large",0,9,2019
"HBK",2019-10-07,"Dipteran","ST191116","Large",1,10,2019
"HBK",2019-10-07,"Dipteran","ST191116","Large",6,10,2019
"HBK",2019-10-07,"Dipteran","ST191117","Large",0,10,2019
"HBK",2019-10-07,"Dipteran","ST191117","Large",0,10,2019
"HBK",2019-10-07,"Dipteran","ST191118","Large",0,10,2019
"HBK",2019-10-07,"Dipteran","ST191118","Large",1,10,2019
"HBK",2019-10-07,"Dipteran","ST191119","Large",2,10,2019
"HBK",2019-10-07,"Dipteran","ST191119","Large",1,10,2019
"HBK",2019-10-07,"Dipteran","ST191120","Large",0,10,2019
"HBK",2019-10-07,"Dipteran","ST191120","Large",0,10,2019
"HBK",2019-10-15,"Dipteran","ST191156","Large",0,10,2019
"HBK",2019-10-15,"Dipteran","ST191156","Large",3,10,2019
"HBK",2019-10-15,"Dipteran","ST191157","Large",0,10,2019
"HBK",2019-10-15,"Dipteran","ST191157","Large",3,10,2019
"HBK",2019-10-15,"Dipteran","ST191158","Large",1,10,2019
"HBK",2019-10-15,"Dipteran","ST191158","Large",2,10,2019
"HBK",2019-10-15,"Dipteran","ST191159","Large",0,10,2019
"HBK",2019-10-15,"Dipteran","ST191159","Large",3,10,2019
"HBK",2019-10-15,"Dipteran","ST191160","Large",5,10,2019
"HBK",2019-10-15,"Dipteran","ST191160","Large",5,10,2019
"HBK",2019-10-21,"Dipteran","ST191196","Large",0,10,2019
"HBK",2019-10-21,"Dipteran","ST191196","Large",11,10,2019
"HBK",2019-10-21,"Dipteran","ST191197","Large",2,10,2019
"HBK",2019-10-21,"Dipteran","ST191197","Large",3,10,2019
"HBK",2019-10-21,"Dipteran","ST191198","Large",1,10,2019
"HBK",2019-10-21,"Dipteran","ST191198","Large",1,10,2019
"HBK",2019-10-21,"Dipteran","ST191199","Large",9,10,2019
"HBK",2019-10-21,"Dipteran","ST191199","Large",8,10,2019
"HBK",2019-10-21,"Dipteran","ST191200","Large",16,10,2019
"HBK",2019-10-21,"Dipteran","ST191200","Large",10,10,2019
"HBK",2019-10-28,"Dipteran","ST191236","Large",1,10,2019
"HBK",2019-10-28,"Dipteran","ST191236","Large",3,10,2019
"HBK",2019-10-28,"Dipteran","ST191237","Large",5,10,2019
"HBK",2019-10-28,"Dipteran","ST191237","Large",2,10,2019
"HBK",2019-10-28,"Dipteran","ST191238","Large",0,10,2019
"HBK",2019-10-28,"Dipteran","ST191238","Large",1,10,2019
"HBK",2019-10-28,"Dipteran","ST191239","Large",7,10,2019
"HBK",2019-10-28,"Dipteran","ST191239","Large",3,10,2019
"HBK",2019-10-28,"Dipteran","ST191240","Large",3,10,2019
"HBK",2019-10-28,"Dipteran","ST191240","Large",2,10,2019
"HBK",2019-11-04,"Dipteran","ST191276","Large",1,11,2019
"HBK",2019-11-04,"Dipteran","ST191276","Large",1,11,2019
"HBK",2019-11-04,"Dipteran","ST191277","Large",2,11,2019
"HBK",2019-11-04,"Dipteran","ST191277","Large",1,11,2019
"HBK",2019-11-04,"Dipteran","ST191278","Large",2,11,2019
"HBK",2019-11-04,"Dipteran","ST191278","Large",2,11,2019
"HBK",2019-11-04,"Dipteran","ST191279","Large",0,11,2019
"HBK",2019-11-04,"Dipteran","ST191279","Large",0,11,2019
"HBK",2019-11-04,"Dipteran","ST191280","Large",2,11,2019
"HBK",2019-11-04,"Dipteran","ST191280","Large",3,11,2019
"HBK",2019-11-11,"Dipteran","ST191316","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191316","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191317","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191317","Large",1,11,2019
"HBK",2019-11-11,"Dipteran","ST191318","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191318","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191319","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191319","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191320","Large",0,11,2019
"HBK",2019-11-11,"Dipteran","ST191320","Large",0,11,2019
"HBK",2019-04-29,"Dipteran","ST190196","Large",2,4,2019
"HBK",2019-04-29,"Dipteran","ST190196","Large",2,4,2019
"HBK",2019-05-06,"Dipteran","ST190236","Large",0,5,2019
"HBK",2019-05-06,"Dipteran","ST190236","Large",4,5,2019
"HBK",2019-05-06,"Dipteran","ST190237","Large",1,5,2019
"HBK",2019-05-06,"Dipteran","ST190237","Large",0,5,2019
"HBK",2019-05-06,"Dipteran","ST190238","Large",2,5,2019
"HBK",2019-05-06,"Dipteran","ST190238","Large",2,5,2019
"HBK",2019-05-06,"Dipteran","ST190239","Large",2,5,2019
"HBK",2019-05-06,"Dipteran","ST190239","Large",0,5,2019
"HBK",2019-05-06,"Dipteran","ST190240","Large",3,5,2019
"HBK",2019-05-06,"Dipteran","ST190240","Large",0,5,2019
"HBK",2019-05-13,"Dipteran","ST190276","Large",1,5,2019
"HBK",2019-05-13,"Dipteran","ST190276","Large",7,5,2019
"HBK",2019-05-13,"Dipteran","ST190277","Large",0,5,2019
"HBK",2019-05-13,"Dipteran","ST190277","Large",2,5,2019
